bean curd	豆腐 = tofu
beanbag	お手玉
beanery	安い二流のレストラン
beanie	つばのない小さな帽子
beano	=bingo
beanstalk	豆の茎
bear	〈C〉『クマ』 / 〈C〉乱暴者 / 〈C〉(株式で)売り方 / 《the B-》クマ座 / 《しばしば受動態で》〈子〉を『産む』 / 〈花〉を『つける』,〈実〉を『結ぶ』;〈利子など〉を生む / 〈重さ〉を『支える』,に耐える;〈物〉を載せている / 《通例否定構文で》〈人が〉…を『がまんする』,こらえる / 《通例否定構文で》〈物事が〉…にふさわしい,の価値がある / 〈義務・責任など〉を負う,負担する;〈罰など〉を受ける,こうむる / 《文》…を『運ぶ』,持って行く,連れて行く / 〈情報・うわさなど〉を伝える,広める / 〈力など〉を与える,提供する / 〈武器・紋章など〉を身につけている,帯びている / 〈ある性質・特徴〉を示す,持っている / 〈ある感情〉…を心にいだく,持つ / 《副詞[句]を伴って》…を押す,突く / 《副詞[句]を伴って》(…の方に)向く,進む《+『toward』+『名』》 / 《副詞[句]を伴って》(…の)方向(位置)にある / 子を産む;実を結ぶ / …に向かって努力する / …にぐっと押し寄せる
bear hug	乱暴な抱擁・= bear-hug:ベアハッグ、強い抱擁、強く抱きしめること・強く抱きしめてあいさつする、強く[手荒く]抱きしめる
bearable	耐えられる,がまんできる
beard	〈C〉(人の)『あごひげ』 / (動物の)あごひげ;(一般に)ひげ状のもの / …に勇敢に立ち向かう
bearded	ひげのある
beardless	ひげのない / 青二才の
bearer	《文》運ぶ人,運搬人;(手紙・小切手などの)持参人 / 実のなる木(草) / (位階・官職などの)保有者
bearing	〈U〉『態度』,ふるまい / 〈C〉〈U〉(…に対する)『関係』,関連《+『on』(『upon』)+『名』》 / 〈U〉忍耐,がまん / 〈C〉《複数形で》『方角』,方位 / 〈U〉子を産むこと,出産;実を結ぶこと / 《複数形で》(機械の)軸受け,ベアリング
bearish	クマのような;粗暴な / (株式の取引で)弱気の
bearskin	〈C〉〈U〉クマの皮[製品] / 〈C〉英国近衛兵の黒い毛皮帽
beast	《文》(人間以外の)『動物』,(特に鳥・魚に対して)四足獣;(人間に対する)『けもの』,畜生 / (けもののように)粗暴な人 / 《英話》《~a》(…の)とてもいやなこと(物)《+『of』+『名』》
beast of burden	荷物運搬用の動物(牛・馬など)
beast of prey	猛獣(ライオン・トラなど)
beastly	けもののような;粗暴な,粗野な / 《英話》いやな,ひどい / 《英話》とても,ひどく
