booklet	小冊子,パンフレット
bookmaker	(競馬の)のも屋,賭(か)け業
bookmark	(本の)しおり
bookmobile	移動図書館
bookplate	蔵書票(本の所有者名のはいった小片)
bookrack	書架;書見台
bookseller	書籍商,本屋の主人
bookshelf	本だな
bookshop	書店,本屋(《米》bookstore)
bookstall	[古]本の露店 / 《英》(駅の)新聞[雑誌]売店(《米》newsstand)
bookstand	本の売り場(売台) / =bookrack
bookstore	『書』,本屋(《英》bookshop)
bookwork	(実験・実習に対して)書物による研究,教科書学習
bookworm	シミ(本を食う虫) / 読書狂,本の虫
boom	〈遠雷・砲声・波などが〉とどろく / 『にわか景気,急な人気』,ブーム / (数の)急速な増加,(価格の)急騰 / 〈遠雷・砲声・波などが〉『とどろく』;〈ハチなどが〉ブーンという / 〈商売などが〉にわかに景気づく;急に人気が出る / …をとどろくような音で告げる《+『out』+『名』,+『名』+『out』》 / …を人気(発展)をあおる / 帆げた,ブーム(帆のすそを張る円材) / (港口の)防材,みおぐい / 起重機(derrick)の腕 / (マイクやテレビカメラを支える)クレーンの腕
boomerang	ブーメラン(投げた所へ戻ってくるオーストラリアの原住民の飛び道具) / 《比喩(ひゆ)的に》自分にはね返ってくるもの…やぶへび / 自分の手元へ戻る,やぶへびとなる
boomtown	《米》新興都市
boon	(…にとっての)恩恵,贈り物,利益《+for(to)+名》 / 《古》頼み,願い / 陽気な,愉快な
boondocks	荒地,森林地帯 / 辺境地,片いなか
boondoggle	忙しそうに見せかけるためだけのむだな仕事 / (忙しそうに見せるために)むだな仕事をやる
boondoggler	《話》忙しそうに見せるためにむだな仕事をする人
boor	無作法者,がさつな人
boorish	無作法な,がさつな,いなかくさい
boost	しり押し,後押し / 値上げ,増加 / (後ろ・下から)…を押し上げる / …を後援する,に力を入れる / 〈値段など〉を引き上げる,増やす《+『up』+『名』,+『名』+『up』》
booster	《米》しり押しする人,後援者 / (電気)昇圧器 / (ミサイルの)補助推進装置 / (薬の)効能促進剤
boot	《通例複数形で》(通例皮・ゴム製の)『長ぐつ』;(くるぶしの上までくる)深ぐつ / 《話》蹴り / 《英》(自動車の)トランク(《米》trunk) / …に靴をはかせる / …を蹴る / 長靴, ブーツ;深靴,半長靴 / 利益 (profit); 救助;《交換するための》 おまけ / 戦利品 (booty)
boot camp	新兵訓練所
boot tree	=shoetree
bootblack	(街頭の)靴みがき
booted	靴をはいた
bootee	婦人(子供)用の毛糸編みの靴
bootery	靴屋
booth	(木の枝・帆布などでできた)仮小屋 / 売店,屋台店 / (特定の用途のための)小さく仕切った部屋,ブース / (喫茶店などの)ボックス,仕切席
bootjack	(長ぐつ用)くつ脱ぎ器(かかとを押えるV字型の器具)
bootlace	《通例複数形で》長靴を締めるひも / 《英》靴ひも
bootleg	密造酒,密売酒 / 〈酒類〉を密造する,密売する,密輸する / 酒類を密造(密売,密輸)する / 密造した,密売した,密輸した[もと長ぐつに密造酒を隠したことから]
bootlegger	酒類の密造者,密売者〈組織〉
bootless	《文》無益な,むだな
bootlick	におべっかを使う,追従(ついしょう)する / おべっかを使う,追従する
bootlicker	《米話》おべっか使い
boots	《英》(荷物も運ぶホテルの)靴みがき
bootstraps	(編上靴の)つまみ革 / 《話》独力,自力
booty	〈U〉(戦争における)ぶんどり品,戦利品 / 〈U〉(強盗などによる)略奪品,強奪品 / 〈U〉〈C〉(事業の)もうけ,利得;獲物
booze	大酒を飲む / 《俗》(一般に)アルコール飲料
boozer	大酒飲み
boozy	《話》酔っぱらった,大酒飲み
bop	(げんこつ・棒などで)…をなぐる,打つ《+『名』+『with』+『名』》 / 打撃,殴打
bor.	borough
boracic	硼砂(ほうしゃ)を含んだ
boracic acid	=boric acid
borate	硼酸塩,硼酸エステル
borax	硼砂
bordello	売春宿
