barnacle	エボシガイ,フジツボ(船底や岩に付着する) / 物事にかじりついて離れない人
barnacled	フジツボ・エボシガイなどのくっついた / しつこくくっついた
barnstorm	芝居の地方巡業をする / 《米》地方遊説する
barnstormer	地方を遊説する人 / どさ回り,旅役者
barnyard	納屋(なや)(《米》家畜小屋)の周囲の庭(《英》farmyard)
barograph	自動記録気圧計
barometer	晴雨計,気圧計 / (世論・市場などの)指標
barometric, barometrical	気圧上の,気圧計の
baron	男爵(英国ではviscount(子爵)に次ぐ貴族) / 《米》大実業家,…王
baroness	男爵夫人;男爵にあたる女性の爵位
baronet	准男爵,従男爵(英国世襲位階の最下級でbaronの下knightの上)
baronetcy	准男爵の位(身分)
baronial	男爵の / 堂堂とした
barony	男爵の位,男爵領
baroque	バロック式の(16世紀の半ばから18世紀にかけてヨーロッパに流行した美術・建築様式) / 《時にB-》バロック[風]の(特にBachやHandelの時代の音楽についていう) / 《しばしばthe B-》〈U〉バロック式建築;バロック音楽 / 〈C〉バロック式の作品
barouche	(普通2頭立ての)ほろつき四輪馬車
barque	〈C〉船の一種,帆船,バーク船
barquentine	=barkentine
barrack	『兵営』,営舎 / バラック,仮小屋
barracuda	カマス(熱帯産の食用魚)
barrage	〈C〉(友軍援護のための)弾幕 / 《a~》質問(打撃など)の連続
barratry	(船主または荷主に損害を与える)船長(船員)の不法行為 / 訴訟教唆[罪] / 聖職の売買
barred	横木で囲んだ;かんぬきをかけた / (織物など)しま模様の[ある]
barrel	(胴のふくれた)『たる』 / (…の)1たる[の量]《+『of』+『名』》 / 銃身,砲身 / 《単数扱い》(…の)多量《+『of』+『名』》《話》 / …をたるに入れる,たるに詰める
barrel organ	(携帯用)手回しオルガン(大道音楽師がハンドルを回して鳴らす)
barrel roll	(飛行機の)バレル横転(機首が地平線上の基準点を中心に円を描く旋回)
barren	(土地が)『やせた』,『不毛の』 / (女・動物のめすが)子を産めない,不妊の;(植物が)実を結ばない / (計画・努力が)実を結ばない,むだな / 《補語にのみ用いて》(…が)ない《+『of』+『名』》 / 不毛の地,やせ地
barrenness	実を結ばないこと;不妊;(土地の)不毛
barrette	後ろ髪を留めるピン
barricade	(市街戦などで街路に急造した)『バリケード』,防塞(ぼうさい) / (一般に)障害物,行く手をはばむ物 / 《複数形で》(解決・突破がむずかしい)難関 / 〈道路など〉にバリケードを築く,バリケードでさまたげる
barrier	(通行をはばむ)『さく』,『障壁』;関門;《ふざけて》改札口 / (…の)『難関』,障害《+『to』+『名』》
barrier reef	堡礁(ほしょう)(海岸線に平行して続くさんご礁)
barring	…を除いて(except) / …にじゃまされずに,…なしで
barrio	《米》おもにスペイン語系の人が住む市街区域
barrister	《英》法廷弁護士 / 《米話》弁護士(lawyer)
barroom	《米》(ホテル・レストラン・クラブなどの)バー,酒場室
barrow	=wheelbarrow / (各種の)手押し車 / 塚(つか);(英国にある有史前の)墓,古墳
barrow boy	《英》(手押し車でものを売る)呼び売り商人
barstool	固くて座席が丸い酒場の腰掛
bartender	(通例男性の)バーテン
barter	(…と)…を『物々交換する』,交換する《+『名』+『for』(《英》『against』)+『名』》 / (人と)物々交換する《+『with』+『名』》 / 物々交換;〈C〉物々交換する物
bas-relief	浅浮き彫り
basal	基底の,基部の / 基礎的な,基本的な
basal metabolism	基礎代謝(完全な安静時の生体の最小限エネルギー代謝)
basalt	玄武岩(げんぶがん)
basaltic	玄武岩の,玄武岩を含む
base	《文》(人や人の行動・考えが)『卑しい』,下劣な / (金属が)質の劣った;(貨幣が)粗悪な / 『基礎』,根拠 / 『基部』,基底,土台 / 『根拠地』,基地 / (野球の)塁,ベース / 主成分;塩基(酸と反応して塩(えん)を生じる化合物) / (数学で図形の)底;底辺;基線 / (…に)…の『基礎をおく』《+『名』+『on』(『upon』)+『名』》
base exchange	米空軍基地の物品販売所
base on balls	(野球で)四球出塁
base runner	(野球の)走者,ランナー
baseball	〈U〉『野球』
baseboard	(壁下の床の)幅木(はばき)(《英》skirting board)
baseborn	身分の低い(卑しい)生まれの
baseless	基礎(根拠)のない
baseline	基線 / (テニスコートの)ベースライン / (野球の)ベースライン
baseman	(野球の)…塁手
basement	地階,地下室
bases	basisの複数形
bash	…をぶんなぐる,強く打つ《+『名』+『in』(『up』),+『in』(『up』)+『名』》 / 強打
bashful	(特に子供が)はにかみやの,内気な(very shy)
basic	『基礎の』,基本的な(fundamental) / 塩基性(アルカリ性)の
basically	基本的に,根本的に;元来は
basics	基本,基礎
basil	〈C〉メボウキ(芳香のある草) / 〈U〉バジル(メボウキの葉.香辛料)
basilica	バシリカ(古代ローマで裁判や集会に用いられた長方形の建物) / (キリスト教の初期・中期の)バシリカ風の教会堂
basilisk	バシリスク / 蛇・トカゲに似た伝説上の怪物;その息や眼光で人を殺したといわれる / イグアナ科Basiliscus属のトカゲの総称;熱帯アメリカ産
basin	『たらい』,はち(bowl);洗面器 / (…の)たらい1杯[分]《+『of』+『名』》 / (自然または人工の)水たまり,池 / (川の)流域;くぼ地,盆地 / 入江,内湾,船だまり
basis	『根拠』,基準;…制 / (混合物の)主成分
bask	(日光で)暖まる《+『in』+『名』》 / (愛情・恩恵などに)浴する,恵まれる《+『in』+『名』》
basket	『かご』,『バスケット』 / (…の)かご1杯(basketful)《+『of』+『名』》 / (バスケットボールで)ゴールの網 / 得点
basket case	両手両足を切断された患者 / 手も足も出ない人
basket weave	バスケット織り(すきまのあらい平織り)
basketball	〈U〉『バスケットボール』,篭(ろう)球 / 〈C〉バスケットボール用のボール
basketful	(…の)かご1杯[の量],1かご分《+『of』+『名』》
basketry	かご細工の技術 / (また『basketwork』)《集合的に》かご細工
basketwork	=basketry2
bass	低音の / 〈U〉,低音,バス(男声の最低音域) / 〈C〉低音歌手 / シナノキ(リンデン島の植物) / バス(スズキの類の魚)
bass clef	(楽譜の)低音部記号
bass drum	バスドラム,大太鼓
bass reflex	バスレフ(良質の低音を出すためスピーカーセットに設ける開口部)
bass viol	=contrabass
basset	バセット犬(胴長・短足の耳の大きな猟犬)
basset horn	バセットホルン(クラリネットに似た音色を出す管楽器)
bassinet	ほろ付きゆりかご;ほろ付きのうば車
bassist	低音楽器(特に,ダブルベース)の奏者
basso	〈C〉低音歌手(オペラなどで低音を歌う役割); 〈V〉低音(音楽用語で低音を指す)
bassoon	バスーン,ファゴット(低音の木管楽器)
basswood	セイヨウシナノキ,バスウッド(樹木の一種)/ バスウッド材(木材)
bast	靱皮(じんぴ)繊維(植物の木質部の繊維でなわやかごの原料)
bastard	私生児,庶子 / 《俗》きらわれ者,いやな野郎
bastardization	(言語/文化/作品などの)劣化,堕落,質の低下 / (古風)私生児として扱うこと
bastardize,bastardise	〈品質・状態・価値〉を落とす,悪くする
baste	(焼くとき)〈肉など〉にバターをぬる,油(たれ)をかける / 〈布・服〉を仮縫いする
bastinado	(昔の)むち打ちの刑,杖刑 / 〈罪人〉をむち打ちの刑にする
basting	〈U〉仮縫い,しつけ縫い / 《複数形で》仮縫の縫い目;仮縫い用の糸
bastion	稜堡(りょうほ)(要塞(さい)の突出して部分) / 要塞
bat	『コウモリ』 / (野球・クリケットの)『バット』;(特にバドミントン・スカッシュなどの)ラケット / 打者;打順 / バットによる一撃 / 〈ボール〉をバットで打つ / 〈走者〉を打って進める / バットで打つ;打者に立つ / 〈目,まぶた〉をぱちくりする
batch	(パンなどの)一焼き分《+『of』+『名』》 / (…の)1度分の[の分量]《+『of』+『名』》 / 《話》(…の)束;群,組《+『of』+『名』》
bate	…を減らす,減ずる,弱める
bateau	〈C〉両頭の平底のこぎ舟
