belle	美女,美人;(会合などで)一番の美人[もとフランス語]
belles-lettres	純文学
bellflower	ツリガネソウ
bellhop	=bellboy
bellicose	好戦的な,けんか好きの
belligerence	好戦的であること / 戦闘,交戦
belligerency	=belligerence
belligerent	好戦的な,けんか好きの,けんか腰の / 戦争中の,交戦中の / 交戦国,交戦国の兵隊
bellman	ホテル・クラブなどで荷物運びや使い走りなどをするボーイ(=bellboy)
bellow	〈牛などが〉低く太い声で鳴く / 〈人が〉大声でどなる / 〈言葉・音〉をわめくように言う;…を大音声でどなる《+『out』(『forth』)+『名』.+『名』+『out』(『forth』)》 / (牛の)大きなうなり声 / (人の)どなり声,大きなうなり声
bellows	ふいご / ふいご状の物;(カメラの)蛇腹,(オルガンの)送風器
bells	らっぱズボン,パンタロン
bellwether	鈴つき羊(首に鈴をつけて群れを先導する雄羊) / 先導する人(物)
belly	『腹』,腹部(abdomen) / 胃 / (物の)内側,内部(inside) / ふくれた部分,胴 / 前面[部],下面[部] / …をふくらませる《+『out』+『名,』+『名』+『out』》 / ふくらむ《+『out』》
belly dance	ベリーダンス(女性を腹部の筋肉を小きざみに震わせて踊るダンス)
belly flop	おなかから飛び込むこと
belly landing	胴体着陸
belly laugh	《話》(腹をゆする)大笑い
belly-land	〈飛行機〉を胴体着陸させる
bellyache	《話》腹痛 / ぶつぶつ不平を言う
bellybutton	《俗》おなかのボタン,へそ
bellyful	(…の)腹いっぱい,十分《+『of』+『名』》
belong	(…の)所有である《+『to』+『名』》 / (…の)『一部』(付属物)である,(…に)属する,所属する,(…の)一員である《+『to』+『名』》 / 《場所を表す副詞[句]を伴って》(…に)本来あるべきである,ふさわしい
belonging	所属
belongings	(個人の)所有物,家財道具,所持品
beloved	最愛の,非常に愛されている / 《文》《詩》最愛の人,愛する人
below	《fly,go,sink など移動を表す動詞と結びつき方向を表して》…『の下方へ』,より低い位置へ / 《位置》…『の下方で』,より低い位置に / (上手・先方に対して)…より下手に,より手前に / (度合・地位・数量などが)…『より以下で』(の) / …にふさわしくない,にさえ値しない / 『下方へ向かって』,低い位置へ / 下方で,低い位置で / (記述で)以下に,下記に / 下級の,下位に / 下記の,後述の
belt	『ベルト』,バンド,帯 / (特徴のある)地帯,地方 / (機械の)ベルト / ベルト状のもの / 《話》ピシャリとたたくと / …をベルトで締めてつける《+『名』+『on,』+『on』+『名』》 / …をベルトで巻く;(ベルトで締めるように)…を取り巻く《+『名』+『up,』+『up』+『名』》 / (革帯などで)…を打つ,たたく / 《話》…をぶんなぐる
belt-tightening	経費引き締め,緊縮[政策],耐乏[生活]
belted	(コートなどが)ベルトのついた / (伯爵などが)礼帯をつれた;礼帯をつける身分の
belting	〈U〉ベルトの材料;ベルト類 / 〈C〉《話》(革帯などで)ひっぱたくこと
beltway	環状道路(《英》ring road)
beluga	シロチョウザメ(黒海,カスピ海およびボルガ川産) / シロイルカ,シロクジラ(北極海産)
belvedere	見晴らし台,展望台
bema	聖堂内陣 / ユダヤ教の会堂内にある壇
bemire	…を泥まみれにする / …を泥にはまらせる
bemoan	…を慨嘆する
bemuse	(ぼんやりするほど)…の心を奪う
bemused	混乱した / 心を奪われた
bench	『ベンチ』,長いす / 〈U〉(職人・技師・科学者の)作業台,実験台,細工台 / 長くて狭い段丘 / 《the~》(スポーツの)選手席,ベンチ;《集合的に》補舌選手たち / 〈C〉裁判官席;〈U〉裁判官の職(地位) / 《集合的に》《the~》裁判官[たち] / 〈C〉(英国議会などの)議席 / 〈選手〉を補欠としてベンチに座らせておく
bench warrant	(裁判官が発行する)逮捕令状,拘引状
bencher	(英国で)法曹学院(Inn of Court)評議員
benchmark	水準点(測量に用いる基準標識) / (評価などの)基準
bend	〈まっすぐな物〉を『曲げる』 / (…に)〈人〉を『従わせる』,屈服させる,〈意志〉を曲げさせる《+『名』+『to』+『名』》 / (…の方向に)〈視線・歩みなど〉を『向ける』,〈心など〉を傾ける《+『名』+『to』(『toward』,『on』)+『名』(do『ing』)》 / 〈物が〉曲がる / 身をかがめる;(…に)かがみこむ《+[『down』]『over』+『名』》 / (運命・意志,人などに)『従う』,屈服する《+『before』(『to』)+『名』》 / (…を方向に)『曲がる』,向かう《+『to』(『toward』)+『名』》 / (仕事などに)取り組む,身を入れる《+『to』+『名』》 / 曲がり,湾曲部,曲がった所 / (…を)曲げる(曲がる)こと,(身を)かがめること《+『of』+『名』》 / (綱の)結び目 / 《話》《the bends》ケーソン病,潜水病
bended	曲がった
bender	酒を飲んでの大騒ぎ,どんちゃん騒ぎ
beneath	《位置・場所》…の下に / …の圧力下に,に支配されて / 《地位・能力・価値など》…より下に(で),より劣って / …に値しない,ふさわしくない / 下に,下方に / 下位に,劣って
benedict	(特に)長い間独身でいた新婚の男子
benedictine	ベネディクティン酒(ベネディクト修道士が作り始めたリキュール酒)
benediction	祝福 / 礼拝式の最後の祈り
benefaction	〈U〉慈善,寄進,寄金 / 〈C〉寄付金[額]
benefactor	恩人 / (社会福祉施設・学校などの)後援者
benefactress	benefactorの女性形
benefice	(牧師,特にvicar, rectorの)聖職禄;受禄職者の地位
beneficence	善行,慈善,親切 / 〈C〉施し物,寄付
beneficent	慈善を行う,情け深い
beneficial	有益な,ためになる
beneficiary	利益(恩恵)を受ける人 / 年金(保険金などの)受取人
