besetting	(誘惑などが)絶えずつきまとう(襲いかかる)
beside	《位置・場所》…『のそばに』,のわきに,の横に / …と比較して(compared with) / (要点など)をはずれて(apart from)
besides	…『に加えて』,のほかにも《+『名』(do『ing』)》 / 《通例否定文・疑問文》…を除いて,以外に / さらに,その上 / そのほかには,ほかには
besiege	…を包囲攻撃する,包囲する;…に取り囲むように押し寄せる / (要求・依頼などで)〈人〉を攻めたてる《+『名』〈人〉+『with』+『名』》
besmear	(…で)…をべたべたに汚す《+『名』+『with』+『名』》
besmirch	《文》…を汚す
besom	竹ぼうき
besotted	(酒・恋などに)酔った,ぼうっとした《+『with』+『名』》
besought	beseechの過去・過去分詞
bespangle	(…で)…をぴかぴか輝かせる《+『名』+『with』+『名』》
bespatter	(泥水などを)…にはねかける《+『名』+『with』+『名』》
bespattered	泥水のはねた;(泥水などを)はねてよごされた《+『with』+『名』》
bespeak	《文》〈物事が〉…を示す,の証拠となる / 《英》…を予約する,注文する
bespectacled	《文》めがねをかけた
bespoke	bespeakの過去・過去分詞 / (服装について)注文で作る
bespread	(…を)…に一面に広げる《『名』+『with』+『名』》
besprinkle	(水・粉などを)…に(一面に)まき散らす,注ぐ《+『名』+『with』+『名』》
best	(『good』の最上級;比較級は『better』)『いちばんよい』,最もよい,最良の / (『well』の最上級;比較級は『better』)『健康状態が最良の』(healthiest) / 最大の,大部分の / 《話》(反語的に)きわめてひどい,徹底した / (『well』の最上級;比較級は『better』)『いちばんよく』,最もよく,最も / 《通例過去分詞と結合して形容詞を作って》最もよく / 『最上』,最善,最良;最もすぐれた人々(物) / (…の)『最もよいもの』(部分)《+『of』+『名』》
best man	(結婚式での)新郎の付き添い人
best-known	(well-knownの最上級)最も有名な
bestial	(人・行為が)卑劣極まる,獣欲的な / (一般に)実に残酷な
bestiality	〈U〉(行為・性格の)獣性,残忍性 / 〈C〉獣のような行動,残忍な行為 / 〈U〉獣姦(かん)
bestialize, bestialise	…を獣のようにする,獣同然にする
bestiary	(ヨーロッパ中世の)動物説話集[の本]
bestir	〈わが身〉を奮起させる
bestow	(…に)…を『授ける』,贈る,与える《+『名』+『on』(『upon』)+『名』》
bestowal	〈U〉贈与 / 〈C〉贈物
bestrew	(物を)…にまき散らす《+『名』+『with』+『名』》 / 〈物が〉…に散らばっている
bestride	…にまたがる;…をまたいで越す
bestseller	ベストセラー(ある期間中に最もよく売れた本) / ベストセラーの著者
bestselling	最もよく売れている
bet	『かけ』,(…との)かけ《+『with』+『名』》 / かけた物(金) / かけの対象 / 〈金・物〉を『かける』 / (かけ事・ゲームなどで)〈人〉と『かけをする』《+『名』〈人〉+『on』+『名』》 / (…に)『かける』《+『on』(『against』)+『名』(one's do『ing』)》
beta	ベータ(ギリシア語アルファベットの第2文字;Β,β;英語のB,b に相当)
beta particle	ベータ粒子(放射性元素から出る放射線の一種)
beta ray	ベータ線(原子核分裂のときのベータ粒子(beta particle)の流れ)
