bitumen	瀝青(れきせい)(天然の炭化水素化合物の総称)
bituminous	瀝青(れきせい)の,瀝青質の;アスファルト(タール)に似た
bituminous coal	瀝青炭
bivalent	二価の(二つの原子価を持つ)
bivalve	二枚目の / 二枚貝(ハマグリ・カキなど)
bivouac	(軍隊の)露営,野宿,ビバーク / 露営する,野宿する
biweekly	2週間に1回の],隔週[の](every two weeks) / 《非標準》毎週2回[の](semiweekly) / 隔週出版物 / 《非標準》毎週2回の刊行物(semi-weekly)
biyearly	2年に1回[の](biennial[ly]) / 《非標準》毎年2回[の](biannual[ly])
bizarre	一風変わった,変な(odd);奇怪な,異様な(grotesque)
bk.	bank
bkt.	basket / bracket
bl.	bale / barrel / black / blue
blab	〈秘密〉をぺらぺらしゃべる / 軽率にしゃべる / 〈U〉おしゃべり / 〈C〉=blabber
blabber	おしゃべりをする人,口の軽い人
blabbermouth	口の軽い人
black	『黒い』,黒色の / 『暗い』,まっ暗な(dark) / (特にアフリカ系)黒人の / 汚い(dirty),汚れた(soiled) / 陰気な(gloomy);不吉な;見通しの暗い / 怒った(angry);不きげんな(sullen) / 腹黒い,邪悪な(wicked, evil) / 《文》不名誉な / (コーヒーに)クリーム(牛乳)を入れない,ブラックの / 〈U〉『黒』,『黒色』 / 〈C〉《しばしば『B-』》黒人 / 〈U〉黒衣,(特に)喪服 / 黒くなる;暗くなる / …を黒くする;…を暗くする(blacken) / (靴墨で)〈靴〉をみがく
black and tan	〈C〉黒と褐色のぶち犬(テリヤ犬の一種) / 〈C〉(アイルランドに派遣された)英国警備官(《略》『B&T』) / 〈U〉《おもに英》ブラックアンタン(強いビールの一種)
black and white	〈U〉書き物,印刷 / 〈C〉白黒写真;ペン画 / (写真・絵・テレビなどが)白黒の / (価値観などが)絶対的な
black art	魔術,魔法(witchcraft)
black bass	クロバス(米国産の淡水魚)
black bear	(北米産の)黒クマ
black belt	(都市・州内で)黒人居住地域(地区) / (柔道の)黒帯
black book	要注意人物・常習犯人の名前を記帳した帳面(本)
black box	ブラックボックス(機能は決められているが内部構成は決められていない電子回路の一部)
black eye	(打撲のためできる)目の縁の黒あざ / 《話》恥辱(不名誉)の種(しるし)
black gold	《話》石油
black hole	ブラックホール(超重力により光さえも吸い込むとされる宇宙空間の穴)
black ice	黒氷(路面などに張るすべりやすい黒光りした氷)
black lead	〈炉の金具など〉に黒鉛を塗る;…を黒鉛でみがく / 黒鉛,石墨
black light	ブラックライト(赤外線・紫外線などの目に見えない光線)
black lung	(炭坑夫がかかる)炭塵(たんじん)肺
black magic	黒魔術;妖術
black mark	(生徒の行状などにつける)罰点,落第点
black market	やみ市場;やみの売買
black marketeer	闇屋(やみや)
black nationalism	(米国の)黒人民族主義
black pepper	黒コショウ
black power	ブラックパワー(アメリカの黒人による黒人独特の文化・政治体制を創造しようとする運動)
black pudding	《英》黒プディング(動物の血・脂肪・穀類の粉で作るソーセージ)
black sheep	(家族や集団の中の)変わり種,もてあまし者,つらよごし
black spot	(道路の)事故多発箇所
black tea	紅茶
black tie	黒のちょうネクタイ(dinner jacket(tuxedo)といっしょに着用する) / 男性用略式夜会服
black water fever	黒水熱(重症のマラリアで尿が黒くなる)
black widow	クロゴケグモ(中央アメリカ・米国南部・西部産の黒色のクモ;交尾の後で雌が雄を食べる習性がある)
black-and-blue	(打撲傷などのために)青黒いあざになった(bruised)
black-eyed	目の黒い,黒い目をした
black-eyed Susan	オオハンゴソンウ(中央が黒く周辺が黄色の花のキク科植物)
black-flag	海賊旗(頭がい骨と交差した2本の骨を黒地に白く染めぬいた旗)
blackamoor	《古》黒人
blackball	〈人が組織の一員になること〉に反対投票する / 〈人〉を排斥する,村八分にする / 反対投票[古代ギリシアで黒い球で反対の意を表したことから]
blackberry	黒イチゴ[の実,木](木イチゴの一種;黒色の実がたくさんできる)
blackbird	黒鳥(ツリスドリ科の鳥);《英》ツグミ[雄が黒い羽をしているところから]
blackboard	『黒板』
blackbody	黒体(その表面に投射するすべての電磁波を吸収すると物理学的に仮定される物体)
blackcap	黒帽(もと死刑宣告時に裁判官が着用した)
blackcurrant	クロスグリ(花は黄色で青黒い実をつける木)
blacken	…を黒くする,暗くする / 〈人〉を中傷する,悪く言う / 黒くなる,暗くなる
blackguard	《軽べつして》げす;悪漢,ごろつき / 〈人〉に悪態をつく,…をののしる
