impedimenta	手荷物;(軍隊の)隊に所属する荷物,行李(こうり) / じゃまになる物
impel	〈ある考え・感情などが〉〈人〉を駆りたてる(urge) / (…へ)…を押し進める《+『名』+『to』+『名』》
impend	〈物事が〉(…の上に)今にも起ころうとしている,切迫している《+『over』+『名』》
impending	(特に,いやな事が)今にも起ころうとしている,差し迫った
impenetrable	(森・沼地などが)通り抜けられない;(岩・鋼鉄などが)(…で)貫通できない,(…を)通さない《+『to』+(『by』)+『名』》 / (人・心などが)(他の思想・影響などを)受け入れない《+『to』(『by』)+『名』》 / 不可解な,測り知れない
impenitence	悔い改めないこと,がん迷
impenitent	悔い改めない,改心しない;がん迷な
imper	imperative
imperative	『命令的な』,断固とした / (行動などが)『避けられない』,のっぴきならない / (文法で動詞が)命令法の / (文法で)命令法;〈C〉命令文
imperceptible	わずかの,かすかな / 知覚(感知)できない(人・感覚などに)感じられない《+『to』+『名』》
imperceptibly	感知できないほどに;かすかに
imperceptive	感知しない,知覚力のない
imperfect	『完全でない』,欠陥のある / (過去時制で動詞が)未完了の / 未完了時制
imperfection	〈U〉不完全,不備 / 〈C〉欠点,欠陥
imperforate	穴のあいていない / (切手に)ミシン目のない / ミシン目のない切手
imperial	『帝国の』 / 『皇帝の』,帝位の,至上権の / 威厳のある,堂々とした / 皇帝ひげ(下唇のすぐ下に生やしたひげ)
imperial gallon	英ガロン(4.546リットル;1.2米ガロンに相当)
imperialism	帝国主義;侵略主義 / 帝政
imperialist	帝国主義者 / 帝国主義[者]の
imperialistic	帝国主義の,帝国主義的な
imperil	〈火災・事故や無思慮な行為などが〉〈生命・財産など〉をあやうくする,危険にさらす
imperious	横柄な,ごう慢な / 一刻も猶予のならない,緊急の
imperishable	不滅の,不朽の
impermanence	永続しないこと,一時性
impermanent	永続しない,一時的な
impermeable	しみ通らない;(水・光・風などを)通とない《+『to』+『名』》
impermissible	許せない
impers.	impersonal
impersonal	特定の人に関係のない,一般的な / 個人的な感情に支配されない / 人格をもたない,人間でない / (動詞・構文が)非人称の
impersonally	個人的でなく,個人的感情なしで
impersonate	〈他人〉のまねをする / 〈俳優が〉…の役を演じる
impersonation	(他人の)まねをすること,(俳優が)(…の)役を演じること《+『of』+『名』》
impersonator	物まねをする人,声帯模写の芸人
impertinence	〈U〉無礼,厚かましさ,生意気;(…する)無礼《+『to』 do》 / 〈C〉無礼な行為,生意気な言葉 / 〈U〉不適切,見当違い
impertinent	無礼な,生意気な;(…に対して)無礼な《+『to』+『名』》 / 不適当な,見当違いの;(…には)適当でない《+『to』+『名』》
imperturbable	動じない,冷静な
impervious	物を通さない;(…を)通さない《+『to』+『名』》 / 《補語にのみ用いて》(人が)(批評などに)影響されない;(…を)感じない《+『to』+『名』》
impetuosity	猛烈さ;〈C〉性急な行動
impetuous	(風・スピード・動作などが)猛烈な,激しい / (人・行為などが)性急な,衝動的な
impetus	〈U〉(運動している物体の)運動力 / 〈C〉勢い,はずみ
impiety	不信心,不敬,不孝
impinge	(…に)ぶつかる,突き当たる《+『on』(『upon』,『against』)+『名』》 / (財産・権利などを)犯す,侵害する《+『on』(『upon』)+『名』》
impious	神を敬わない,不信心な
impish	小悪魔(imp)のような,いたずらな,茶目っ気のある
implacable	なだめるのが難しい,満足させることができない
