Irish Sea	アイルランド海(イングランドとアイルランドとの間の海)
Irish bull	もっともらしいがつじつまの合わない話,とんちんかんな話
Irish coffee	アイリッシュコーヒー(砂糖,生クリームで甘くしたウイスキー入りのコーヒー)
Irish potato	ジャガイモ
Irish stew	アイルランドシチュー(羊肉または牛肉にジャガイモ・玉ねぎを入れた濃厚なシチュー)
Irishman	アイルランド人
Irishwoman	アイルランドの女性
Iron Age	《the~》 / 鉄器時代(Stone Age, Bronze Ageに続く時代) / 《i- a-》(ギリシア神話で)黒鉄時代
Iroquois	イロコイ同盟(族)の一員(モホーク族・オネイダ族などが組織した北米インディアンの政治同盟)・イロコイ族(の一人) (カナダ Quebec, Ontario両州および米国New York州付近に居住していた先住民); イロコイ語族
Is.	Isaiah / Island / Isle
Isa.	Isaiah
Isaac	イサク(旧約聖書で,Abrahamの子でJacobの父)
Isaiah	イザヤ(紀元前8世紀の旧約聖書中のヘブライ民族の預言者) / イザヤ書(旧約聖書の一書;《略》Isa.)
Isis	イシス(農事と受胎をつかさどる古代エジプトの女神)
Islam	イスラム教,回教 / 《集合的に》イスラム教徒
Islamic	イスラム教[徒]の
Isr.	Israel / Israeli
Israel	イスラエル(地中海東端にあるイスラエル共和国;首都はJerusalem) / ヤコブ(Jacob)の異名
Israeli	(現在の)イスラエル人
Israelite	(古代の)イスラエル人,ユダヤ人
Istanbul	イスタンブール(トルコ共和国最大の都市)
Ital.	Italian / Italy
Italian	〈C〉『イタリア人』 / 〈U〉『イタリア語』 / イタリアの;イタリア人の;イタリア語の
Italy	『イタリア』(地中海に臨む共和国;首都はRome)
Ivory Coast	(西部アフリカの)象牙海岸(旧フランス植民地;かつてここで象牙の取引きが行われた) / コートジボアール共和国(1960年,象牙海岸が独立)
i.	interest / intransitive / island / isle; isles
i.d.	inside diameter 内径
i.e.	id est
iamb	=iambus
iambic	(韻律で)弱強格の / =iambus / 《複数形で》弱強格の詩
iambus	(韻律で)弱強格
ib.	ibidem
ibex	アイベックス(アルプス・ピレネー山脈の野生のヤギ)
ibid.	ibidem
ibidem	同じ箇所に,同書に,同章に,同節に
ibis	トキ(サギ・コウノトリに近い温帯産の鳥)
ice	〈U〉『氷』 / 〈U〉《the~》表面に張った氷,氷面 / 〈C〉《米》氷菓子(シャーベット・フラッペなど) / 〈U〉(気持ち・態度などの)冷たさ,よそよそしさ / …を氷でおおう《+『名』+『over』(『up』),+『over』(『up』)+『名』》 / …を氷にする / (特に氷で)…を冷やす,冷たくする / 〈ケーキなど〉に糖衣をかける / 凍る《+『over』(『up』)》
ice age	〈C〉《the~》(地質の)氷河時代 / 《the I- A-》(洪積世の)氷河期
ice axe	アイスアックス(登山で氷壁に足場を作るピッケル)
ice bag	=ice pack2
ice cream,icecream	『アイスクリーム』
ice cube	(電気冷蔵庫でできる)角氷
ice field	(特に南極・北極地方の)氷原
ice floe	浮氷の塊
ice hockey	アイスホッケー
ice milk	アイスミルク(脱脂ミルクで作った一種のアイスクリーム)
ice pick	アイスピック,氷割り用きり
ice skate	アイススケート靴 / 滑り金具,エッジ
ice skater	アイススケートをする人
ice skating	アイススケート
ice water	冷やした飲用水
ice-cold	氷のように冷たい / 冷淡な
ice-cream soda	クリームソーダ
ice-skate	アイススケートをする
iceberg	氷山 / 《話》冷淡な人
icebound	(船などが)氷に閉ざされた,(川・港などが)氷の張り詰めた
icebox	(氷を使用する)冷蔵庫 / 《米話》電気冷蔵庫(refrigerator)
icebreaker	砕氷船
icecap	(高山・極地などの)万年雪
icefall	凍った滝
icehouse	氷室,貯氷庫
iceman	氷屋,氷配達人
icepack	(またpack ice)浮氷群 / (またice bag)《米》氷まくら,氷のう
ichneumon fly	ヒメバチ(幼虫は他の昆虫の幼虫に寄生)
ichor	イコル(ギリシア神話で神の体中を流れているとされる霊液)
icicle	つらら
icily	氷のように;冷たく,冷淡に
icing	(菓子などの)糖衣 / (飛行機の翼などへの)着氷
icky	不快な,いやな / ねばっこい,べたべたする
icon,ikon	像,肖像;(ギリシア教会の)聖画像
iconoclast	聖像(偶像)破壊者(特に8‐9世紀に聖像礼拝に反対した信者) / 因襲を打破する人
ictus	(詩の韻律で)強音,揚音
icy	『氷の』,氷で覆われた / 『氷のように冷たい』 / 冷淡な,よそよそしい
id	イド(精神分析で無意識層にある本能的衝動の源泉)
id est	すなわち,換言すれば(that is)(《略》『i.e』)
idea	(心に浮かんだ)『考え』,思考;考えること / (はっきりとした)『意見』,信念,見解 / 『案』,計画,着想,意図,ねらい / (哲学上の)概念,理念
ideal	『理想』,究極の目的 / 理想の人物(物),(理想とすべき)手本 / 『理想的な』,申し分のない / (実在ではなく)観念的な,頭の中だけの;想像上の
idealism	観念論,唯心論(外界の事物は実在せず,実在するものは観念だけであるとする哲学論) / 理想主義;観念主義
idealist	観念論者 / 理想主義者 / 夢想家
idealistic	理想主義の,観念論的な;現実的でない
idealistically	観念論(唯心論)的に / 理想主義的に
idealization,idealisation	理想化;〈C〉理想化されたもの
idealize,idealise	…を理想化する,理想的に考える / 理想を描く
ideally	理想的に,申し分なく / 観念的に
ideation	観念の形成,観念化
idem	同上,前述の部分 / 同上の,前述の
identical	《the identical》『同一の』,全く同じの / 『等しい』,同様な
identical twins	一卵性双生児
identification	〈U〉同一であることの確認(証明),身元確認,身分証明 / 身分証明書
identification card	=identity card
identification parade	(目撃者が犯人を見わけるため)一列に並ばせた容疑者たち
identification tag	認識票(軍人が持つ姓名などを刻んだ金属製の札)
identify	〈人・物〉を『見分ける』,〈物事〉を確認する / 《『identify』+『名』+『with』+『名』》(二つの異なるものについて)(…と)…を同じものと考える / 《『identify』+『名』+『with』+『名』》《しばしば受動態で》(…に)…を関係づける,密接に結びつける / 《『identify with』+『名』》〈人が〉(…と)一体となる(感じる)
identikit	モンタージュ(複合)顔写真 / {形}ありきたりの
identity	〈U〉『同一であること』 / 〈C〉〈U〉(人・物の)『身元』,正体 / 〈C〉独自性,個性
identity card	身分証明書
identity crisis	(特に思春期の)自己認識の危機
identity disk	=identification tag
ideograph	表意文字(漢字や古代エジプトの象形文字)
ideological	イデオロギーの / 観念的な,空想的な
