growler	うなる人(動物)
grown	growの過去分詞 / 成長した,大きくなった / 《複合語を作って》「…の茂った」「…産の」の意を表す
grownup	『成長した』,成人した / 『おとならしい』,おとなに適した / 『おとな』
growth	〈U〉(…の)『成長』,発育;『発達』,発展《+『of』+『名』》 / 〈U〉(数・量,重要性・力などの)『増加』,増大,拡張《+『of』+『名』》 / 〈U〉《修飾語[句]を伴って》栽培,生産,…産 / 〈C〉成育した物,(草,木,髪,ひげなどの)生えたもの / 〈C〉腫瘍(しゅよう)
grub	〈木・草の根〉を掘り起こす,根こそぎにする《+『up』(『out』+『名』,+『名』+『up』(『out』)》 / 掘る,掘って捜す《+『around』(『about』)》 / あくせく働く / ウジ,昆虫の幼虫 / 〈U〉《話》食い物)
grubbily	汚く,汚れて
grubbiness	汚さ,汚れていること
grubby	汚い
grubstake	《集合的に》(鉱脈を見つけたときに利益を分けてもらうことを条件として)試掘者に与える食糧・道具類 / 新しく事業を始める人に与える物質的援助 / 〈新しく事業を始める人〉に物質的援助を与える
grudge	(…に対する)『恨み』,遺恨《+『against』+『名』》 / …を『与えるのを惜しむ』
grudging	不本意の,いやいやながらの / けちけちした,しみったれの
gruel	(湯または牛乳で料理したオートミールなどの)薄いかゆ
grueling,gruelling	疲れ果てさせる,ひどく厳しい
gruesome	恐ろしい,ぞっとする
gruff	(声が)荒々しい,しわがれた / (人・行動が)ぶっきらぼうな,つっけんどんな,無作法な
grumble	(人に…について)『不平』(『不満』)『をいう』《+『at』〈人〉+『名』+『about』(『over』)+『名』》 / 〈雷などが〉ゴロゴロ鳴る / …をぶつぶつ言う / 『不平』 / (雷などの)ゴロゴロ[鳴る音]
grumbler	ぶつぶつ不平を言う人
grumbling	(虫垂が)不調な,痛む,すっきりしない
grumpy	むっつりとした,気難しい
grunge	不潔なもの、汚いもの / (ファッションで)グランジ (わざと汚れた感じにする); グランジロック (わざと汚い格好で演奏する:シアトル発祥・音も汚いです:Nirvana、Pearl Jamなどが代表)
grunion	イワシ科の食用魚
grunt	〈豚が〉ブーブー鳴く / 〈人が〉ブーブー言う / …をぶつぶつ言う,不平がましく言う / ブーブー言う声
gryphon	=griffin
gt.	great
guacamole	ガカモーリ(アボカド・コショウのきいたメキシコのソース)
guano	グアノ(海鳥のふんのたい積したもので,肥料になる)
guarani	グアラニー(パラグアイの貨幣単位)
guarantee	(またguaranty)(商品に対する品質・修理・期間などの)『保証』;『保証書』 / =guaranty1,2 / 保証を受ける人,被保証人 / =guarantor / 〈商品・品質,契約の履行など〉を『保証する』,請け合う
guarantor	保証(担保)人,引受け人
guaranty	保証;保証書 / 担保,担保物件 / =guarantee 1 / …を保証する(guarantee)
guard	〈C〉『見張り』,番人;歩哨(ほしょう),番兵;護衛兵 / 〈U〉(…を)見張ること,監視すること《+『over』+『名』》;(…を)警戒(用心)すること《+『against』+『名』》 / 〈C〉《英》(列車・電車の)『車掌』(《米》conductor) / 《the Guards》《英》近衛(このえ)連隊 / 〈U〉〈C〉(ボクシング・フェンシングなどで,相手の攻撃に対する)ガード,防御 / 〈C〉(米式フットボール・バスケットボールの)ガード / 〈C〉《しばしば複合語を作って》「(危険などを)防止する物,保護物」の意を表す / …を『見張る』,環視する / (…から)…を『警戒する』,守る《+『against』(『from』)+『名』》 / (…に備えて)『警戒する』,用心する《+『against』+『名』(do『ing』)》
guarded	(特に発言が)用心深い,慎重な(cautious) / 保護された,環視された
guardhouse	衛兵所 / 留置所
guardian	『保護者』,監視人,管理者 / (未成年者などの)後見人
guardian angel	(個人・社会・地方の)守護天使・大いに援助してくれる人・守護神・(親のいない子の)後見人
guardianship	後見人の身分(役目,期間)
guardrail	(階段などの)手すり,(事故防止などのための)ガードレール / (また『checkrail』)(脱線防止用の)補助レール
guardroom	衛兵所の部屋,衛兵詰所
guards van	=caboose
guardsman	番人,番兵(guard),環視員 / 《米》州兵 / 《英》近衛(このえ)兵,近衛士官
guava	バンジロウ[の実](うす桃色の実をつける小さな熱帯樹)
gubernatorial	総督の;(米国の)州知事の
gudgeon	セイヨウカマツカ(釣りやすいコイ科の淡魚;釣りえ,および食用)・《英》だまされやすい人,かも
guerdon	報い,報賞
guerrilla theater	ゲリラ劇場(戦争反対を寸劇で見せる街頭演劇)
guerrilla,guerilla	ゲリラ兵,遊撃兵 / ゲリラの
guess	(十分な根拠なしに)…を『推測する』,推量する / (正確な推測で)…を『言い当てる』,判断する / 《『guess』+『that節』》《米》…と『思う』(think, suppose),信じる(believe) / (…を)『推測する』《+『at』(『about』)+『名』》 / (…についての)『推測』,推量《『at』(『about, as to』)+『名』(『wh-節』)》
guesswork	当て推量,当てずっぽう
guest	(食事・会合・滞在などへの)『招待客』,賓客・(ホテル・下宿などの)泊まり客,宿泊人,(レストランなどの) / (ラジオ・テレビなどの番組の)ゲスト,特別出演者 / (テレビなどに)ゲスト出演する《+『on』+『名』》
guesthouse	《米》迎賓館;貸し別荘 / 《英》[高級]下宿
guestroom	(家庭の)来客用寝室,(ホテルなどの)来客室
