garrulous	おしゃべりの
garter	〈C〉靴下留め,ガーター / 《the G-》ガーター勲章(英国最高の勲章;この所有者がa Knight of the Garter) / 〈靴下〉をガーターで留める
garter snake	ガーターヘビ(中・南米に多い無毒のヘビ)
gas	〈U〉〈C〉『気体』,『ガス』 / 〈U〉(灯用・燃料用)ガス / 〈U〉《米話》=gasoline / 〈U〉(麻酔用の)亜酸化窒素,笑気(laughing gas);毒ガス(mustard gas, tear gasなど) / 〈U〉《話》むだ話,ばか話 / 〈C〉《単数形で》とても楽しいこと / 〈敵など〉を毒ガスで攻撃する / 《米話》〈車〉にガソリンを入れる《+『up』+『名,』+『名』+『up』》 / 長々とむだ話をする
gas bracket	(壁・天井などの)ガス燈受け(腕木)
gas burner	ガスバーナー(ガスこんろなどの火口(ほくち))
gas chamber	ガス処刑室
gas cooker	=gas range
gas fire	ガスストーブ
gas fittings	ガス器具
gas meter	ガス検針メーター
gas range	ガスレンジ(《英》gas cooker)
gas ring	ガスコンロ
gas station	ガソリンスタンド(《英》petrol station)
gasbag	おしゃべりな人
gaseous	ガス[状]の,気体の
gasfitter	ガス工事人
gash	大きく深い傷(切り傷) / …を深く切る,に深い傷を負わせる
gasholder	ガスタンク
gasify	をガス(気体)にする,気化する / ガス(気体)になる
gasket	ガスケット(ガス(水)漏れを防ぐゴム製・金属製のパッキング) / 括帆索(かっぱんさく)(畳んだ帆を帆桁(げた)にくくりつけるロープ)
gaslight	〈C〉ガス灯 / 〈U〉ガス灯の光
gasman	ガス会社員,(特に)ガス料金集金人
gasmask	防毒マスク
gasoline,gasolene	『ガソリン』,揮発油(《英》petrol)
gasp	(…に)(驚き・恐怖・怒りなどで)『はっと息をのむ』《+『with』(『in』)+『名』+『at』+『名』》 / あえぐ,ハアハアと息を切らす / …を『あえぎながら言う』《+『名』+『out,』+『out』+『名』》 / 『あえぎ』,息切れ;(驚きなどで)はっと息をのむこと;息が止まること
gassy	ガスが充満した;ガスを含む / ガス状(質)の
gastric	胃の,胃に発生する
gastric juice	胃液
gastritis	胃炎
gastro camera	胃カメラ
gastroenteritis	胃腸炎
gastrointestinal	胃腸の,胃腸に影響する
gastrology	胃[病]学
gastronomic	美食法の,食通の
gastronomical	=gastronomic
gastronomy	美食法(学)
gastropod	腹足類の動物(カタツムリ・ナメクジなど)
gasworks	ガス工場,ガス製造所
gat	ピストル,はじき
gate	(…への)『門』,通用門《+『to』(『of』)+『名』》;(門の)とびら / (ダム・運河などの)水門 / (競技場・劇場などの)[有料]入場者数 / (またgate money)総入場料
gate money	(競技会などの)入場料(総額)
gate-leg table, gate-legged table	折りたたみテーブル
gateau	クリームケーキの一種
gatecrash	〈パーティー・観劇会など〉に招待されずに(会費を払わずに)もぐり込む
gatecrasher	(パーティー・観劇会などへの)押しかけ客,もぐり込み客
gatefold	(雑誌などの)折り込みページ
gatehouse	(公園・邸宅などの入口に設けた)門番小屋,守衛詰め所
gatekeeper	門番,門衛
gatepost	門柱
gateway	(さく・へいについている門で開閉される)『出入口』;(…への)『入り口』,通路《+『to』+『名』》
gather	〈人・物〉を『集める』,集合させる / 〈事実・情報など〉を収集する / 〈果物・作物など〉を取り入れる,採取する,収穫する / …を徐々に増す,次第に強める / …を推測する(conclude) / 〈子供など〉を抱く,抱きしめる / 〈布〉にひだを取る,ギャザーをつける / 〈多勢の人などが〉『集まる』,集合する《+『around』(《英》『round』)》 / 〈物事が〉徐々に増す,次第に強まる / (布などの)ひだ,ギャザー
gathering	〈U〉(…を)集めること,(…が)集まること《+『of』+『名』》 / 〈C〉集められた(集まった)もの;(特に)集会,群衆
gauche	ぎごちない,気のきかない,無器用な
gaucherie	ぎごちない動作;気のきかない言葉
gaucho	ガウチョ(南米,特にアルゼンチンの草原地方のカウボーイ;インディアンとスペイン人の混血人が多い)
gaudily	けばけばしく,はでに
gaudiness	けばけばしさ,はでさ
gaudy	(色彩などが)けばけばしい,俗っぽくはでな
gauge	(銃砲の口径・鉄板の厚さなどの)標準寸法(規格) / 計器 / (評価・判断の)方法,基準 / (レールの)軌道 / (銃砲の)口径 / (特に,計器を用いて)…を測る / …を評価する
gaunt	(飢え・疲労・病気などで人が)ひどくやせた / (土地・場所が)荒涼とした,寒々とした
gauntlet	(よろいの)こて / (乗馬用の)長手袋 / =gantlet
gauss	ガウス(磁力の強さのcgs単位)
gauze	ガーゼ
gauzy	紗(しゃ)のような;(ガーゼのように)透いて見える
gavage	強制飼養(病人・鳥にゴム管などを用いて食物を与えること)
gave	giveの過去形
gavel	(議長・裁判官・せり売り人などが用いる)つち
gavotte	ガボット(古いフランス舞踊;その曲)
gawk	(…を)ぽかんと見つめる《+『at』+『名』》
gawky	ぶざまな
gawp	(口を開けて)(…を)ぽかんと見詰める《+『at』+『名』》
gay	『陽気な』,愉快な,うきうきした / はでな色の,華やかな / 放蕩な,不身持ちの / 《話》同性愛の,ホモの
gayety	=gaiety
gaz.	gazette / gazetteer
gaze	(…を)『じっと見つめる』,凝視する《+『at』(『into,on,upon』)+『名』》 / 『じっと見詰めること』,凝視
gazebo	見晴らし台,あずまや
gazelle	ガゼル(アフリカ・西アジア産の小型のカモシカ)
gazer	見詰める(凝視する)人
gazette	新聞・官報・《G-》《英》官報 / …を官報に載せる
gazetteer	地名辞典,(地図帳などの巻末につける)地名リスト
gd.	good / guard
gds.	goods
gear	〈C〉(動力を伝動する)『歯車』,ギヤ / 〈U〉歯車装置,伝動装置,ギヤ / 〈U〉(特定の機能を果たす)装置 / 〈U〉(ある仕事・活動のための)道具一式 / …にギヤ(伝動装置)を取り付ける / (…に)…をかみ合わせる,連係させる《+『名』+『to』+『名』》 / (…に)ギヤがかみ合う《+『into』+『名』》
gearbox	(自動車の)変速装置
gearshift	(特に自動車の)ギヤ転換装置
gearwheel	歯車
gecko	ヤモリ(ヤモリ科の爬虫類)
