goodby,goodbye,good-by	『さようなら』,ごきげんよう / 『別れのあいさつ』,いとまごい
goodhearted	親切な,やさしい(kind)
goodish	(質に劣るが)かなりよい,まあまあの;《a goodish+名の形で》(期待したより数量・距離が)かなりの,相当な
goodly	器量よしの,みめ麗しい / (分量・程度など)かなり大きい
goodman	一家のあるじ / 《Goodman》=Mr.
goodness	(一般に)『優秀さ』,質のよさ,よい状態 / (人の)『親切』,優しさ,寛容,親切 / (食物などの)『よいところ』,精髄,滋養分 / 《Godを遠回しに言って驚きを表す句に用いて》
goodnight	『お休みなさい』
goods	(不動産以外の)財産,(金・証券以外の)動産 / 『商品』,品物 / 《米》反物,織物 / 《英》(鉄道で運ばれる)貨物
goods and chattels	個人財産, 家財道具
goodwill	善意,親切;親善,友好 / (商店などの)信用,のれん,のれん料
goody	《話》《おもに複数形で》(キャンディーやクッキーなどの)菓子 / =goody-goody / すてきだ,すごい
goody-goody	道徳家ぶった人,善人ぶった人 / 善人ぶった,殊勝らしい
gooey	(あめなどが)ねばつく,べたつく / 感傷的な,甘ったるい
goof	《俗》ばか,まぬけ / 《米俗》へま,どじ,チョンボ / へまをする,どじを踏む / …をだめにしてしまう,にどじを踏む《+『up』+『名』》
goofball	睡眠薬,精神安定剤 / きわめて風変わりな人
goofy	ばかな,ばかげた
gook	汚物,べとつく物,粘液
goon	《米》(労働争議に雇われる)暴力団員 / まぬけ,とんま
goose	〈C〉『ガチョウ』;ガチョウの雌 / 〈U〉ガチョウの肉 / 〈C〉まぬけ,ばか[な女] / 〈人〉のしりに指を突っ込む
gooseberry	西洋スグリ(小さな丸い緑の実をつける)
gooseflesh	(寒気などによる)鳥肌
goosestep	ひざを曲げずに脚を高く上げて歩調をとる / 脚上げ歩調
gopher	地リス,地ネズミ(北米の草原にすむ穴居性リス)
gore	(特に戦い,けんかなどで傷から流れ出た)血,血の塊 / 三角切れ(こうもり傘・スカートなどに使う) / …に三角切れを入れる / 〈動物が〉…を角(きば)で突く
