saltcellar	(食卓用)塩入れ
salted	塩で味をつけて,塩味の;塩漬けの
saltine	塩ふりクラッカー
saltire	(紋章の)『X』形十字,聖アンドルー十字
saltlick	(また『lick』)動物がなめに集まる岩塩のある所 / (家畜がなめるための)岩塩塊
saltpan	塩田,製塩用塩がま
saltpeter,saltpetre	硝石(火薬・ガラスなどの原料);硝酸カリウム
saltshaker	(上部に振り出し用の小穴のついた)食卓塩容器
saltwater	塩水;海水 / 塩水の;海水産の
salty	塩のきいた,塩辛い / 《話》海の,船乗りの;海上生活の / ぴりっとしたところのある,辛らつな
salubrious	健康によい;健康的な,健全な
salutary	(心・精神の)ためになる,有益な / 健康によい
salutation	(言葉や行為による)『あいさつ』;〈C〉あいさつ言葉(手紙の書きだしの言葉Dear Sirなど)
salutatorian	(高校・大学で)卒業式で開会のあいさつをする次席優等生
salutatory	(特に卒業式の)開会のあいさつ / 開会のあいさつの
salute	(挙手・礼砲などで)…に敬礼する / 《文》(身振り・言葉で)…にあいさつをする;…を歓迎する / 敬礼する / あいさつする / 挙手の礼;礼砲 / あいさつ,敬礼
salvage	(主として船・乗組員・貨物の)海難救助;(一般に)救助 / 救助された貨物 / 救助作業,沈没船引き上げ作業 / (難船・火災などから)〈船・貨物など〉を救出する《+『名』+『from』+『名』》 / 〈負傷者〉を救う,〈けが〉を治療する
salvation	〈U〉(キリストによる)魂の救済,救い《+『of』+『名』》 / 〈C〉《単数形》救うもの,救済手段 / 〈U〉(海難・火災などからの)(…の)救助,救済《+『of』+『名』》
salvationist	救世軍軍人;伝道者
salve	軟こう / 《文》慰め / …に軟こうをはる / 《文》〈悔恨・苦しみなど〉を静める,和らげる
salver	食物・飲料・名刺などを載せて出す昔の金属製の盆
salvia	サルビア(シソ科サルビア属の各種の植物)
salvo	(攻撃,時に礼砲の)一斉(いっせい)射撃;一斉爆撃 / 一斉に起こる拍手かっさい
samarium	サマリウム(銀色の希土類元素;化学記号は『Sm』)
samba	サンバ(ブラジルのダンスの一種;その音楽)
same	《the same》(いつもと)『同じ』,(以前と)変わらない / 《the same》(…と)『同一の』,同じ;同種の《+『as節』(『that節』,『wh-節』)》 / 《this,these,that,thoseと共に》《強調的,時に軽べつして》この,その,例の,前に述べた / 同じ物,同じ事 / 同様に
sameness	同一[性];酷似していること;単調さ
samizdat	(特に旧ソ連における発禁書などの)地下出版[物]
samovar	サモワール(おもにロシアで用いられているお茶用の湯沸かし器)
sampan	サンバン(中国の平底の小舟;通例1枚の帆を持ち,船尾で一人の船頭が櫓(ろ)をこぐ)
sample	(…の)『見本』,標本《+『of』+『名』》 / (…の)『実例』(example)《+『of』+『名』》 / (無料で進呈する)試供品,サンプル / 見本の,標本の / …の見本をとる;(見本をとって)…を試す(調べる,判断する) / …を実際に試す
sampler	(初心者の腕前を見せるための)刺しゅう試作品
sanatorium	サナトリウム,療養所(結核など長期治療患者を収容する病院)
sancta	sanctumの複数形
sanctification	神聖化,奉納 / 罪を清める(清められる)こと
sanctify	〈教会・場所など〉を神に奉納する;…を神聖にする / 〈人・心〉の罪科(とが)を取り除く,を清める / 〈結婚など〉に宗教上の承認を与える;《比喩(ひゆ)的》…を正当なものと認める
sanctimonious	信心ぶった,神聖ぶった
sanctimony	神聖ぶること,信心家ぶること
sanction	〈U〉(支配者・当局の)『認可』,許可,裁可《+『of』+『名』》 / 〈U〉(一般に)(…の)承認,支持《+『for』+『名』》 / 〈C〉《複数形で》(国際法で,国際法違反国に加える)『制裁』 / 〈C〉(正式の)処罰,制裁;(道徳律などの)拘速[力] / 〈支配者・当局が〉…を認可する,裁可する,許可する《+『名』(do『ing』)》 / (一般に)…を承認する,支持する;〈…すること〉を承認する《+do『ing』》
sanctity	〈U〉(生活態度・性格の)清らかさ,気高さ / 〈U〉(場所などの持つ)神聖さ,神々しさ / 《複数形で》神聖な義務(おきて)
sanctuary	〈C〉(教会・寺院など)神聖な場所,聖所 / 〈C〉(教会・寺院などで)最も神聖な場所,聖域(教会堂の内陣,ユダヤ教会の至聖所など) / 〈C〉(犯罪者の)隠れ場,(一般に)安らかな場所 / 〈U〉保護,避難 / 〈C〉(鳥・獣の)保護区,禁猟地
sanctum	神聖な場所 / 《話》(だれにもじゃまされない)私室,個室,自分だけの場所
