smashing	猛烈によい,すばらしくよい
smashup	(車・列車などの)衝突 / 大失敗;崩壊;破産
smattering	《a~》(…の)生かじりの知識《+『of』+『名』》
smear	(油性・粘着性のものを)…に塗る,(…で)…を汚す《+『名』+『with』+『名』〈油など〉》 / (…に)〈油など〉を塗りつける《+『名』〈油など〉+『on』(『over』)+『名』》 / …をこすって不明瞭にする,消す / 〈人の名誉など〉を傷つける,中傷する / 汚れる / かすれる,分鮮明になる / (油などの)汚れ,しみ / 中傷 / (顕微鏡で見るためスライドに塗った)塗布[標本]
smear test	(ガンなどの)組織塗抹検査
smearcase	《米方言》白い柔らかいチーズ(cottage cheese)
smell	(調べたりするために)…を『かぐ』,のにおいをかぐ / …をにおいで気づく,のにおいに感づく / …に感づく,をかぎ出す《+『out』+『名』,+『名』+『out』》 / 〈物が〉『においがする』,におう / 〈人・動物が〉においがわかる;(…の)においをかぐ《+『at』+『名』》 / (特に)いやなにおいがする / 〈物事が〉何かにおう,(…の)感じがする《+『of』+『名』(doing)》 / 〈U〉『嗅覚』(きゅうかく) / 〈C〉(…の)『におい』《+『of』+『名』(do『ing』)》;《形容詞句を伴って》悪臭 / 〈C〉《a smell》(…を)かぐこと《+『at(of)』+『名』》
smelliness	いやなにおいがすること
smelling salts	気つけ薬,嗅(か)ぎ薬(炭酸アンモニアが主剤の芳香剤)
smelly	いやなにおいがする,くさい
smelt	smellの過去・過去分詞 / 〈鉱石〉を溶解する / (溶解して)〈金属〉を精錬する / キュウリウオ(欧州産のサケに類する食用魚)
smelter	精錬工 / 溶解装置工場
smidgen, smidgeon	少量(の…),ごくわずか(の…)《+『of』+『名』》
smilax	サルトリイバラ(ユリ科の植物の一種) / クサナギカズラ(ユリ科のつる草;観賞用)
smile	『ほほえむ』,にっこりする・〈好運・神などが〉(…に)好意を示す《+『on』(『upon』)+『名』》・《a+形容詞+smileを目的語にして》…な笑い方をする・…をほほえんで示す・〈人〉にほほえみかけて(…)させる(させない)《+『名』〈人〉+『into』(『out of』)+『名』(do『ing』)》・『ほほえみ』,微笑
smiling	にこにこした,微笑している
smirch	(どろなどで)…を汚す《+『名』+『with』+『名』》 / (…で)〈名誉など〉を汚す《+『名』+『with』+『名』》 / 汚れ,しみ;(名誉などの)汚点《+『on』+『名』》
smirk	(…を)にやにや(にたにた)笑う《+『at』(『on, upon』+『名』)》 / にやにや笑い
smite	《古・文》(手・武器などで)…の(…を)強く打つ《+『名』+『on』+『名』》 / 《文》〈病気・災難などが〉…をどんと襲う / 《通例受動態に用いて》〈感情・恐怖などが〉…を激しく襲う《+『名』+『by』(『with』)+『名』》
smith	かじ屋;金属細工人 / 製造(製作)人
smithereens	小破片
smithy	かじ屋の仕事場,かじ場
smitten	smiteの過去分詞
smock	上っ張り,スモック(婦人・子供・画家・事務員などがはおる)
smocking	亀甲(きっこう)形ひだ飾り,ダイヤモンド形模様飾り / スモッキング[刺しゅう]
smog	『スモッグ』,煙霧
smoke	〈U〉『煙』;煙状のもの / 〈C〉たばこの一服,喫煙 / 〈C〉《話》たばこ,(特に)紙巻きたばこ / 『煙を出す』,煙る;湯気を立てる / 『たばこを吸う』 / 〈たばこ・麻薬など〉を『吸う』 / 〈肉・魚〉を『薫製』(くんせい)『にする』,いぶす
smokehouse	薫製(くんせい)場
smokeless	(石炭・炉)などが[ほとんど]煙の出ない,無煙の
