stage effect	舞台効果
stage fright	舞台負け,舞台を踏むときの気おくれ,あがること
stage manager	舞台監督(劇の上演中,舞台に関して全責任を負う)
stage whisper	(演劇で観客に聞こえるようにいう)声高のわきぜりふ / 聞こえよがしの私語
stage-struck	舞台生活にあこがれた,俳優熱にかかった
stagecoach	〈C〉駅馬車,乗り合い馬車
stager	経験を積んだ人,老練家
stagflation	スタグフレーション(不況下での物価高)
stagger	《副詞[句]を伴って》『よろめく』,よろよろ歩く / (…で)ためらう,(…に)たじろぐ《+『at』(『in』)+『名』》 / 〈人〉を『よろめかす』,ぐらつかせる / 〈自信・決心など〉を『ぐらつかせる』,動揺させる / …を互い違いに置く;〈休憩時間・始業時間など〉をずらす / 〈C〉よろめき,ぐらつき,千鳥足 / 《the staggers》《単数扱い》(家畜の)暈倒(うんとう)病(盲目・千鳥足・卒倒などを特徴とする病気 )
staggering	よろめく / 驚くほどの
staging	〈U〉足場 / 〈U〉〈C〉(劇の)上演,演出[方法]
staging post	(飛行機の)途中着陸地 / (物事の)発展段階
stagnant	流れない,よどんでいる / 不活発な,不振の,鈍い
stagnate	〈水などが〉よどむ,よどんで腐る / 成長(発達)が止まる,沈滞する,活気を矢う,不景気になる
stagnation	よどみ,停滞 / 不振,沈滞,不景気
stagy	舞台の,芝居の / 芝居がかった,大げさな
staid	落ち着いた,着実な,まじめな
stain	(…で)…を『汚す』,にしみをつける《+『名』+『with』+『名』》 / 〈ガラス・木材・布など〉に『着色する』 / (…で)〈人格・名声など〉を汚す,に傷をつける《+『名』+『with』+『名』》 / 汚れる,しみがつく / 〈C〉〈U〉(…についた)『しみ』,汚れ《+『on』+『名』》 / 〈U〉〈C〉着色剤,染料 / 〈C〉(人格・名声などに対する)汚点,傷《+『on』(『upon』)+『名』》
stained glass	ステンドグラス,焼きつけガラス,色ガラス(色ガラスを組み合わせて教会の窓にキリストや天使の像などの図柄を構成する)
stainless	ステンレス製の / 《文》汚れのない,無傷の
stainless steel	ステンレススチール,さびない鋼鉄,ステンレス鋼
stair	〈C〉(階段の一つの)『段』 / 《複数形で》『階段』
stair carpet	階段用じゅうたん
stair rod	階段のじゅうたんを押さえる金属棒
staircase	(手すりを含めた一続きの)『階段』,はしご段
stairway	=staircase
stairwell	階段吹き抜き
stake	(境界標・植物の支えなどの)『くい』 / 火刑用の柱;《the~》火刑,火あぶり / 《しばしば複数形で》(競馬・ゲーム・かけ事などの)かけ金,賞金;(賞金のかかった)レース,(特に)競馬 / (…に対する)(金銭的・感情的な)利害関係《+『in』+『名』(do『ing』)》 / 〈境界など〉を『くいで印をする』,くいで区画する《+『out』(『off』)+『名』,+『名』+『out』(『off』)》 / 〈動物など〉をくいにつなぐ;〈植物など〉をくい支える / (…に)〈金・名誉・命など〉をかける《+『名』+『on』+『名』》 / 《米》〈人〉に(…の)金を出してやる《+『名』+『to』+『名』》
stakeholder	(勝負がつくまで)賭(かけ)金を預かる人 / 管財人
stalactite	(鍾乳洞の天井から垂れ下がる)鍾乳(しょうにゅう)石
stalagmite	(鍾乳洞の床上に生じる)石筍(せきじゅん)
stale	(食物などが)『新鮮でない』,腐り始めた;(酒などが)気の抜けた;(空気などが)むっとする / 新鮮さを失った,古くさい,陳腐な / (過老・退屈などで)生気がない,頭のぼんやりした,(練習不足などで)調子をくずした / 古くさくなる,気が抜ける;陳腐になる
stalemate	(チェスで)手詰まり / 行き詰まり,窮境 / (チェスで)〈相手〉を手詰まりにさせる / …を行き詰まらせる
stalk	《しばしば複合語を作って》『茎』;葉柄 / 細長い支え / 《副詞[句]を伴って》『大手を振って歩く』,堂々と歩く / (場所に)〈疫病・災害などが〉広がる,はびこる《+『through』(『across』)+『名』》 / 〈敵・獲物など〉に『忍び寄る』,そっと近づく / (災害・疫病などが)〈場所〉に広まる / (敵・獲物などに)忍び寄ること / いばって歩くこと,闊歩(かっぽ)
stalker	(獲物などに)忍び寄る人 / いばって歩く人
stalking-horse	隠れ馬(猟師が身を隠し獲物に忍び寄るための馬または馬形の物) / 口実,だし
