semiquaver	=sixteenth note
semiskilled	(工員などが)半熟練の;(仕事が)半ば熟練を要する
semitone	半音
semitrailer	セミトレーラー(前部をトラクターと接続するトレーラー) = semi-trailer
semitropical	亜熱帯の
semivowel	半母音([w][j]などの音);半母音字
semiweekly	週2回の / 週2回 / 週2回の刊行物
semolina	セモリーナ(マカロニ・プディングの原料となる粗い小麦粉)
sempstress	女裁縫師,お針子
senate	(古代ローマの)元老院 / 《the S-》(米国・カナダ・フランスなどの)『上院』 / (大学の)評議会,理事会
senator	(古代ローマの)元老院議員 / (米国・カナダ・フランスなどの)『上院議員』
senatorial	元老院[議員]の / 上院[議員]の
send	〈物〉を『送る』,届ける;〈人〉を『行かせる』,派遣する / (ある状態に)〈人〉を送りこむ,させる / (…へ)〈弾丸・球・一撃など〉を放つ,送りこむ《+『名』+『to』(『into』)+『名』》 / 〈音・光・芽・手紙・人など〉を出す,送り出す《+『forth』(『off, out』)+『名』》 / 人をやる,使いを送る / 手紙をやる,便りをする
sender	発送人,送り主,差し出し人 / 送信機,送話機
sendoff	(旅・人生の門出などへの)見送り,送別
sendup	物まね(parody) = send-up
senescence	初老,老境
senescent	初老の,老境にかかった
seneschal	(中世の王族・貴族の)執事,家令
senile	老年の,老衰の,(特に)もうろくした
senility	老齢,老衰,もうろく
senior	年上の /先任の, 古参の, 先輩の, 上級の; 上層の, 高級の;四年制大学の》 四年[最上]級の, 《高校の》 最高学年の; #中等教育の; 〈有価証券が〉優先権付きの, 上位の / 本家の / 年長者, 古老, 長老; 先任者, 古参者, 先輩, 上級者; 上官, 上役, 首席者; #《大学の》 上級生; 《大学などの》 最上級生 / 『年上の』,年長の;上級の / 《one's~》『年長者』,年上の人;(地位・身分上の)先輩,先任者,上役 / 《米》(高校・大学の)最上級生(高校3年生または4年生;大学4年生)
senior chief petty officer	(米海軍の)下士官(自衛隊の1等海曹に相当)
senior citizen	《遠回しに》老人,老齢者(特に65歳以上の退職した年金生活者)
senior high school	(日本の高等学校にあたる)上級高等学校
seniority	年長(年上)であること,先輩,先任;先任(古参)者に特権を与える制度(習慣)
senna	〈C〉センナ(マメ科の植物) / 〈U〉センナ(センナの葉から作った緩下剤)
senor	〈C〉セニョール(スペイン語で「～さん、～氏」;男性への敬称)
senora	〈C〉…夫人,奥様(英語の Mrs.に相茶) / 〈C〉既婚婦人,淑女
senorita	〈U〉…嬢(英語の Miss に相当) / 〈C〉未婚婦人,令嬢
sensation	〈U〉〈C〉(五感による)『感覚』,知覚 / 〈C〉(…の)感じ,気持ち / 〈C〉〈U〉大評判,センセーション;大評判になった人(物,事)
sensational	感覚の / (特に悪い意味で)世間をわかせる,人騒がせの / 《話》きわだった,すばらしい
sensationalism	(文学・芸術・政治などでの)扇情主義 / 扇情的な題材(文体,用語)
sensationalist	扇情的な人 / (哲学で)感覚論者
sense	〈C〉(五感による)『感覚』;(…の)感覚《+『of』+『名』》 / 〈U〉《しばしばa~》(…の)『感じ』,気持ち《+『of』+『名』》 / 〈U〉《a~,one's~》(…の)『理解』(『認識』)『力』,観念,センス《+『of』+『名』》 / 《one's senses》正常な感覚,正気 / 〈C〉《しばしば冠詞をつけないで》分別,良識 / 〈C〉(行動・発言・文などの)意義,意味(meaning)《+of(in)+名(do『ing』)》 / 〈U〉(…の)(全体的な)意向,動向《+『of』+『名』》 / …を感ずる,に気づく
sense organ	(目・耳などの)感覚器官
senseless	意識を失った(unconscious) / 意味のない / 無分別な,非常識な
sensibility	〈U〉〈C〉(…に対する)(五感の)『感覚』《+『to』+『名』》・〈U〉(…に対する)『心の感じやすさ』・《しばしば複数形で》感じやすい感情・感性, 感覚力; (時に複数形で)感情, 敏感さ, 感受性 (to)・(計測器の)感度
sensible	『分別』(『良識』)『がある』,ものの分かる / (心・五感によって,容易に)感じられる,感覚できる / 《文》《補語にのみ用いて》(…に)気づいている(…を)意識している(aware, conscious)《+『of』+『名』》
sensibly	感じられるほどに,相当に / 賢明に,分別をもって
sensitive	(五感が)『敏感な』,感じやすい / 物事を非常に気にする,神経過敏な / 感光性の;(器械などが)感度のよい
sensitive plant	おじぎ草,眠り草
sensitivity	敏感,(生理的な)感受性 / 感度,度光度
sensitivity training	集団感受性訓練
sensitize,sensitise	…を敏感にする / 〈フイルムなど〉に感光性を与える
sensitometer	(写真の)感光度計
sensor	(光・温度・放射能などの)感知器
sensory	感覚の
sensual	《文》官能的な,肉欲的な(carnal) / 官能(肉欲)をそそる,肉感的な
sensualist	肉欲にふける人,好色家;官能主義者
sensuality	官能(肉欲)性;好色
sensuous	感覚的,感覚に訴える
sent	sendの過去・過去分詞
sentence	〈C〉『文』,文章 / 〈C〉〈U〉(…に対する)『判決』,(刑の)『宣告』 / 〈人〉に宣告する
sententious	《今はまれ》(表現が)簡潔な(pithy) / (文体などが)説教調の,もったいぶった / 金言(警句)の多い
sentient	知覚力(感覚)のある,感じ得る
sentiment	〈C〉〈U〉『感情』,心情,気持ち / 〈C〉《しばしば複数形で》(自分の感情・主観を加えた)(…に関する)『感想』,所感,意見《+『on』(『about』)+『名』》 / 〈C〉〈U〉織細な感情,情趣;(芸術的)情感 / 〈U〉(…に対する)『感傷』《+『for』+『名』》
sentimental	『感情的な』,情的な / (人が)『感情的な』,情にもろい / (歌・物語などが)感情的な
sentimentalism	感傷(感情)主義;涙もろさ
sentimentalist	感情的な人,涙もろい人
sentimentality	〈U〉涙もろさ / 〈C〉感傷的な言動
