scrumptious	(食物が)実にうまい;すばらしい
scrumpy	強いりんご酒
scrunch	…をボリボリかむ;…をザクザク踏む / バリバリ音をたてる(つぶれる) / バリバリ(ザクザク)砕くこと(音)
scruple	〈C〉《複数形で》良心のとがめ(かしゃく) / 〈U〉《しばしばno, withoutの後に用いて》(…についての)ためらい,ちゅうちょ《+『about』+『名』(do『ing』)》 / 《a scruple》《しばしば否定文で副詞的に》ほんの少し,ごく少量 / 〈C〉スクループル(薬量の単位;20grains=1.296g) / 良心がとがめる;(良心がとがめて)ためらう
scrupulous	良心的な / きちょうめんな,細心の,綿密な
scrutineer	検査官;(特に)開票検査人
scrutinize,scrutinise	…を綿密に(注意深く)調べる
scrutiny	(…の)綿密な調査;(…を)くわしく見ること《+『of』+『名』》
scuba	スキューバ(潜水呼吸用器具) / スキューバの
scud	すばやく動く(走る) / 〈船が〉追い風に乗って走る / 〈U〉《しばしばA~》すばやく動くこと,疾走 / 〈U〉風に吹かれて飛ぶ雲 / 〈C〉《しばしば複数形で》風まじりの激しい雨
scuff	〈物〉の表面をこすって傷つける《+『up』+『名』,+『名』+『up』》 / 足を引きずって歩く / 表面がこすれて傷つく(いたむ)《+『up』》 / 足を引きずって歩くこと / こすり傷
scuffle	乱闘,取っ組み合い,組打ち / (…と)乱闘する,取っ組み合う《+『with』+『名』》
scull	ともがい,櫓(ろ)(舟のともの切込みにはさんで左右にこぐ) / (スカル) / スカル(2のスカルでこぐ競走用の軽いボート) / ともがい(スカル)でこぐ / 〈舟・ボート〉をともがい(スカル)でこぐ
sculler	スカル(競走用の軽いボート) / スカルでこぐ人
scullery	皿洗い場(大きな家の台所に付属した食器を洗ったりしまったりする小部屋)
scullion	(男子の)皿洗い人,台所の下働き / 下劣な人
sculpt	…を彫刻する / 彫刻をする
sculptor	彫刻家
sculptress	女流彫刻家
sculptural	彫刻の;彫刻のような
sculpture	〈U〉『彫刻』,彫刻術 / 〈C〉『彫刻品』,《集合的に》彫刻作品 / 〈石・柱など〉に彫刻する,を彫刻で飾る / …を像(模様など)を作る / (浸食で)〈岩など〉を彫刻したように変形させる / 彫刻する
scum	〈U〉(沸騰などの際に液体の表面にできる)浮きあわ,薄皮;(池などの水面の)浮きごみ,浮きあか / 《集合的に》人間のくず;〈C〉(個々の人間を指して)くず / 浮きあわ(浮きごみ)ができる
scumbag	いやったらしい奴、げす野郎・コンドーム
scummy	浮きあわ(浮きごみ)でおおわれた / 下劣な,くずのような
scupper	(船腹にある)甲板排水口
scurf	(頭の)ふけ,あか,(一般に)薄くてうろこ状にはげ落ちるもの
scurrility	〈U〉下劣,下品 / 〈U〉〈C〉下品な言葉
scurrilous	(言葉づかいの)下品な,野卑な
scurry	ちょこちょこ走る,せかせかと動く / 小走り,急ぎ足[の音]
scurvily	下劣に
scurvy	〈U〉壊血病
scut	(ウサギ・シカなどの)短い尾
scutcheon	盾板 =escutcheon
scuttle	(船の甲板にある)ふたのついた昇降口;おおいのついた船室の小窓 / (昇降口・船室の窓などの)ふた,おおい / 〈船〉に穴をあけて沈没させる / 〈計画など〉をやめる,だめにする / 石炭入れ,バケツ;大かご / (逃げようとして)小走りに急ぐ,せかせか走る / 急ぎ足
scuttlebutt	うわさ,ゴシップ
scythe	(長柄の刃の大きな)草刈りがま / 〈草など〉を大がまで刈る
