skilful	=skillful
skilfully	=skillfully
skill	〈U〉(…の)『熟練』,技量,腕《+『in』+『名』(do『ing』)》 / 〈C〉『特殊技術』,特殊技能
skilled	(人が)熟練した,特殊技術を持った / (仕事が)熟練を要する,特殊技術を要する
skillet	《米》フライパン(frying pan) / 《英》シチューなべ
skillful,skilful	『熟練した』,じょうずな
skillfully,skilfully	熟練して,じょうずに
skim	〈液体〉から『上澄みを取る』,浮遊物をすくい取る / (液体から)〈浮遊物〉を『すくい取る』,〈上澄み〉を取る《+『名』+『from』(『off』)+『名』》 / …を『ざっと読む』 / 〈水面など〉を『滑るように進む』,かすめて飛ぶ;(水面などすれすれに)…を飛ばす(skip) / 《副詞[句]を伴って》『滑るように進む』,かすめて飛ぶ / (…を)ざっと読む《+『through』(over)+『名』(do『ing』)》 / (牛乳が)脱脂の(skimmed)
skim milk	(クリームを除去した)脱脂乳,スキムミルク
skimmer	上澄みをすくい取る道具(網じゃくしなど) / カモメ目の海鳥,アジサシの類(水を切って飛びながらえさを捜す) / スキマー(普通麦わら製のつばの広い帽子)
skimming	(牛乳などの)上皮をすくい取ること / 《米俗》(税金をごまかすため)とばくのもうけの一部を隠すこと
skimp	〈金銭・食物など〉をけちけち与える,出し惜しむ / 〈仕事など〉をいいかげんにやる / けちけちする;(…を)つましくする《+『on』+『名』》
skimpily	けちけちして
skimpiness	乏しさ,貧弱なこと;けちけちしていること
skimpy	(数・量・ゆとりなどが)乏しい,不足の,貧弱な / (人が)けちけちした,物惜しみする
skin	〈U〉〈C〉(人・動物の)『皮膚』,肌 / 〈C〉〈U〉(動物からはいだ)『皮』,『毛皮』;皮製品,皮袋 / 〈C〉(果物・野菜の)皮 / 〈U〉〈C〉(液体の表面にできる)薄い膜,上皮 / 〈C〉(枠組み・表面などを覆う)外皮,外被,外板 / 〈動物・果物など〉の皮をはぐ(むく) / 〈手・脚など〉を擦りむく / 《話》(金などを)〈人〉から巻き上げる《+『名』〈人〉+『of』+『名』》 / 〈傷口などが〉皮で覆われる《+『over』》
skin diving	スキンダイビング(アクアラング・水中眼鏡・ゴムの足びれなどを着けて潜水するスポーツ) = skin-diving
skin flick	ポルノ映画
skin game	《話》いんちき商法,いかさま勝負,詐欺,ぺてん
skin graft	移植用皮膚片
skin-deep	(傷などが)深くない;表面だけの,上っ面の;わずかな
skin-dive	スキンダイビングをする
skin-diver	スキンダイビングをする人
skinflint	けちんぼう(miser)
skinful	(…の)皮袋いっぱい《+『of』+『名』》;《話》人を酔わせるだけの酒[の量]
skinhead	1970年代初期に英国で過激な行動をした短髪の青年
skinless	皮のない;皮をむかれた
skinner	皮をはぐ人;毛皮商人 / 《米》荷車用家畜(ラバ・馬など)を御する人
skinny	骨と皮ばかりの,やせこけた
skinny dip	裸で泳ぐ / 裸で泳ぐこと = skinny-dip
skint	文なしの,すかんぴんの・= flat-ass broke
skintight	(衣服などが)体にぴったりの
skip	《副詞[句]を伴って》『軽く』(ぴょんぴょん)『跳ねる』,ぴょんと跳ぶ / 《英》なわ跳びをする / 《副詞[句]を伴って》(論点などが)飛ぶ,移る / 『省く』,抜かす,飛ばして読む(話す,書く);(…を)省く《+『over』(『through』)+『名』》 / (…の)表面をはずみながら(かすめて)飛ぶ《+『along』(『over』)+『名』》 / 《話》急いでそっと立ち去る《+『off』(『out』)》 / …を『軽く跳び越える』 / …を『省く』,抜かす,飛ばして読む(話す,書く) / …を休む,…に出席しない / 〈石など〉を水面をはずませながら(かすめて)飛ばす(skim) / 《話》〈ある場所〉を急いでそっと立ち去る / 軽く跳ぶ(はねる)こと / 省略すること,飛ばすこと / スキップ(鉱石・れんが・木材など重い材料を運ぶ大きな金属容器) / (curlingまたはbowlsのチームの)主将
skipper	(特に小商船・漁船の)船長 / (チームの)主将 / …の船長(主将)を務める;…を導く / 跳ぶ人;はねる人(もの) / セセリチョウ
skipping	跳ぶこと;縄跳び / 拾い読み;見落とし / 跳び回る / 軽率な(rash)
skipping rope	縄跳びの縄
skirl	バグパイプのピーピーという吹奏の音;金切り声
skirmish	小衝突,小ぜり合い / 小論争,いざこざ / (…と)小ぜり合い(小論争)をする《+『with』+『名』》
skirmisher	小ぜり合い(小論争)をする人;(軍隊で)散兵,前衛
skirt	(女性用の)『スカート』 / (コート・ドレスなどの腰から下の)すそ / (車両・機械などの)すそ部,覆い,スカート / 《複数形で》(…の)周辺,はずれ,郊外《+『of』+『名』》 / 《俗》女,娘(特にa bit of skirt,a piece of skirtの形で快楽の対象としてふざけて) / …の縁(境)にある / …を縁(境)に沿って行く,周辺を回って通る / 〈問題など〉を回避する / (…の)縁(境)にある《+『along』(『around』)+『名』》 / (…の)縁(境)に沿って行く《+『along』(『around』)+『名』》
skirting board	(部屋の壁の基部に回した)幅木(はばき)(《米》baseboard)
skit	(…の)風刺的なお笑い寸劇《+『on』(『upon』)+『名』(『wh-節・句』)》
skitter	〈小さな動物が〉軽やかにすばやく走る,〈野鳥が〉水面すれすれに飛ぶ / 流し釣りをする〈他〉…をかすめて飛ばす
skittish	(特に馬が)驚きやすい,ものおじする / 気まぐれな,移り気な
skittle	《複数形で;単数扱い》九柱戯(ninepins) / 〈C〉九柱戯のピン / (クリケットで)〈打者〉をばたばたとアウトにする
skive	仕事をなまける(さぼる)
skivvy	〈女性が〉家庭内の雑事をする / (男性用の)綿製Tシャツ / 《複数形で》綿製Tシャツとパンツから成る下着
skoal	(健康を祝して)乾杯
skua	オオトウゾクカモメ(北大西洋産の海鳥)
skulduggery,skullduggery	いんちき,不正
skulk	こそこそ隠れる,こそこそ逃げる;こそこそ歩く,こっそり動く
skulker	こそこそ隠れる(逃げる)人
skull	『頭がい骨』,しゃれこうべ / 《話》おつむ,頭
skull and cross bones	しゃれこうべと十字骨(海賊の旗印,または毒薬びんの印)
skullcap	(室内で老人が用いる縁のない)丸ずきん
skullduggery	=skulduggery
skunk	〈C〉スカンク(イタチ科の動物)…〈U〉スカンクの毛皮 / 〈C〉卑劣な人 / 〈相手チーム〉を完敗させる,零敗させる
sky	『空』,上空 / 《しばしば複数形で》空模様,天候,気候 / 《しばしば複数形で》『天国』,天 / 〈ボール〉を高く打ち上げる
sky blue	空色
sky marshal	航空警官(保安官)(航空機の乗っ取り防止などを任務とする)
sky-high	空まで高い,非常に高い:sky-high prices非常に高い物価 / 空まで高く,非常に高く
skycap	(空港の)手荷物運搬係,赤帽
skydive	スカイダイビングをする,曲芸的落下傘降下をする
skydiver	スカイダイビングをする人
skydiving	スカイダイビング(パラシュートで目標地点への降下を競うスポーツ)
skyhook	《米》《おどけて》空からぶらさがっていると想像されているかぎ(支柱) / 《話》宇宙線観測用の風船
skyjack	〈飛行機〉を乗っ取る
skyjacker	飛行機乗っ取り犯人
skyjacking	飛行機乗っ取り
skylark	『ヒバリ』 / (…のことで)ばか騒ぎをする《+『about』》
skylight	(天井の)天窓,明かり窓
skyline	地平線(horizon) / スカイライン(山・都市の建物などの空を背景とした輪郭)
skyrocket	流星花火,のろし / 〈物価・名声などが〉急に上がる,急騰する / …を急に上げる;…を突然有名にする
skyscraper	摩天楼,超高層ビル
skyward	空のほうへ / 空のほうの
skywards	=skyward
skywriting	(飛行機が空中に煙で描く)空中文字;〈U〉空中広告
slab	(木材・石・金属の)厚板,平板;(肉・パン・ケーキ・チーズなどの)平たい厚切り
