shameful	『恥ずべき』,けしからぬ(disgraceful)
shameless	恥知らずな;みだらな
shammy	=chamois シャモア 灰色がかった黄色 シャミー セーム革
shampoo	洗髪剤,シャンプー / 髪を洗うこと / 〈髪〉を洗う / …を髪を洗う / 〈じゅうたんなど〉を洗剤で洗う
shamrock	コメツブツメクサ(アイルランドの国章をかたどるカタバミ・クローバーなど三つ葉の草)
shan't	shall notの短縮形
shandy	シャンディー(ビールとジンジャーエールまたはレモネードとの混合酒)
shanghai	(麻薬・酒・暴力などで)…を意識を失わせ船に連れ込んで水夫にする / 〈人〉に無理やり(…を)やらせる《+『名』+『into』+『名』》
shank	(人や動物の)すね / 脚(あし) / 動物の脚から取った肉 / 道具類の取っ手と頭部をつなぐ細い部分
shantey	=chantey
shantung	山東絹,シャンタン(つむぎ風の平織絹布)
shanty	掘っ建て小屋 / =chantey
shape	〈C〉〈U〉『形』,外形,形状・〈U〉状態、調子・〈U〉申し分のない体調・〈U〉《時にa~》体つき,姿,なり・〈U〉(物事の)状態・…を『形を作る』・を形づける(give form to);(…の形に)…を形作る《+『名』+『into』+『名』》・…を形を整える・を合わせる・(…に)…を形を合わせる《+『名』+『to』+『名』》・〈進路・方針など〉を定める・形ができる・具体化する・発展する《+『up』》
shaped	表面が平らでない / 《複合語を作って》「…を形した」「…形の」の意を表す
shapeless	定形のない,はっきりした形のない / 格好の悪い,ぶざまな
shapeliness	格好のよさ
shapely	格好のよい,つりあいのよい
shapeup	美容体操
shard	瀬戸物(ガラス)のかけら
share	〈U〉《時にa~》『分け前』,取り分 / 〈U〉《時にa ~》(費用・仕事などの)『分担』,割り当て;(割り当てられた)役割 / 〈C〉『株』,株式,株券 / 〈U〉市場占有率(market share) / …を『共にする』,共に使う;…を分け合う / (…の)『分配にあずかる』,分担をする;(…を)共にする《+『in』+『名』》 / =plowshare
sharecropper	小作人
shareholder	株主
shareout	分配,割り当て = share-out
sharer	分配者;共有者
shark	サメ,フカ / 詐欺師,ぺてん師 / 《米俗》名人,達人
sharkskin	シャークスキン(スーツ地の一種) / サメ皮
