Samaritan	サマリア人(サマリア(Samaria)は聖書に出てくる古代パレスチナの一地方;現在のヨルダン西方に当たる) / =Good Samaritan / サマリアの;サマリア人の
Samoa	サモア諸島(南太平洋の小群島;西サモア共和国とアメリカ領サモアに分かれている)
Samoan	サモア島の / サモア人;〈U〉サモア語
Samson	サムソン(旧約聖書「士師記」中の大力無双の勇士) / 〈C〉大力の人
Samuel	サムエル(ヘブライの預言者) / サムエル記(旧約聖書中の一書;《略》Sam.)
San Diego	サンディエゴ(米国California州南部の港市)
San Francisco	『サンフランシスコ』(米国California州西部にある港市)
San Jose	サン・ホセ(中央アメリカ南部にあるコスタ・リカ(Costa Rica)共和国の首都)
San Juan	サンファン(アメリカ領プエルトリコ島(Puerto Rico)北東部の港市で首都)
San Marino	サンマリノ(東部イタリアにある世界最小の共和国)
San Salvador	サルバドル / エルサルバドル共和国(El Salvador)の首都 / コロンブスが最初に発見した西インド諸島の一島
Sanctus	三聖誦(Holy,holy,holyで始まる賛美歌)
Sanforized,Sanforised	(布地が)防縮加工された
Sanskrit	サンスクリット語,梵語(ぼんご)(古代のインド人の言語) / サンスクリット語の,梵語の
Santa Claus	『サンタクロース』
Santa Fe	サンタフェ(米国New Mexico州の州都:ニューメキシコ州内では最も物価の高い町です)
Santiago	サンティアゴ(チリ共和国の首都)
Santo Domingo	サントドミンゴ(ドミニカ共和国の首都)
Sao Paulo	サンパウロ(ブラジル南部の州及びその州都でコーヒーの大産地)
Saracen	(十字軍時代・中世の)イスラム教徒 / サラセン人(古代のアラビア人)
Sarawak	サラワク(ボルネオ北西,マレーシア連邦の一州)
Sat.	Saturday
Satan	(キリスト教でいう)『サタン』,魔王,悪魔(the Devil)
Satanism	悪魔崇拝;悪魔教
Saturday	『土曜日』(Saturn's dayの意;《略》『Sat.』)
Saturday-night Special	安くて入手しやすい小口径短銃 = Saturday night Special
Saturn	サトゥルヌス(ローマ神話の農業の神;ギリシア神話のCronus(クロノス)にあたる) / 〈U〉土星
Saudi Arabia	サウジアラビア(中央アラビアの王国;首都はRiyadh)
Saul	サウル(旧約聖書でイスラエル初代の王;新約聖書で使従パウロのもとの名)
Sauterne, Sauternes	ソーテルヌ
Saxon	〈C〉サクソン人;《the Saxons》サクソン族(アングロ族(the Angles)などと共に5‐6世紀に英国を征服したゲルマン民族) / 〈C〉(現代ドイツの)ザクセン地方(Saxony)の住民 / 〈U〉サクソン語 / サクソン(アングロサクソン)人(語)の / ザクセン地方の
Sb	stibium(=antimony)の化学記号
Sc	scandiumの化学記号
Sc.	Scotch / Scotland / Scots
Scand.	Scandinavia; Scandinavian
Scandinavia	(またNorthland)スカンジナビア半島(ノルウエー・スウェーデンがある半島) / スカンジナビア,北欧(ノルウェー・スウェーデン・デンマーク,時にアイスランド・フィンランドも含める)
Scandinavian	スカンジナビア[人,語]の;北欧[人,語]の / スカンジナビア人;北欧人 / スカンジナビア語,北欧語(Danish,Swedish,Icelandic,Norwegianを含むゲルマン語の一群)
Schick test	シック試験(ジフテリア免疫試験法;発明者Bella Schickにちなむ)
Schiller	シラー(『Johann Christoph Friedrich von Schiller』1759‐1805;ドイツの詩人・劇作家)
