shoot the finger	中指だけを立てて相手を侮辱する
shooter	射手,砲手;銃器
shooting	射撃,発射 / 銃猟 / 銃猟権
shooting box	(狩猟期に使われる)狩猟小屋
shooting brake	=station wagon
shooting gallery	射的場,(屋内の)射撃練習場
shooting iron	火器,銃器,(特に)ピストル
shooting match	(ある事に関した)すべての事,いっさいがっさい・何もかも・事件全部・射撃競技会
shooting star	流星
shooting stick	狩猟用ステッキ(上部が開いて折りたたみ式の腰掛けになる)
shooting war	兵器による戦争 実戦 武力戦争
shootout	銃の撃ちあい
shop	〈C〉《おもに英》『小売店』,『商店』(《米》store) / 《米》(百貨店などの中にある)小さい専門店 / 〈C〉(サービス業の)『店』 / 〈C〉『仕事場』,作業場 / (…で)『買物をする』《+『in』(『at』)+『名』》 / 《英俗》(人を)裏切る,密告する
shop assistant	=salesclerk
shop floor	(管理職ではなく)一般労働者の仕事場,現場 作業現場 生産現場 労働者
shop steward	労働組合の職場代表(委員)
shopkeeper	(小さな)店を経営者,店主
shoplift	…を万引きする / 万引きする
shoplifter	万引き[する人]
shoplifting	万引き[すること]
shoppe	(おもに店の看板に用いて)=shop
shopper	買物客
shopping	『買物』・買物の,買物のための
shopping center	ショッピングセンター(郊外の一区画に多数の商店を集めたもので,駐車場などが完備している)
shopsoiled	= shopworn = shop-soiled 店晒し(たなざらし)の 店頭展示品にしていたために汚れてしまった 古手の 陳腐な
shopwindow	(店の)陳列窓,ショーウインドー(show window)
shopworn	《米》(商品が)たなざらしの,(店に置いて)いたんだ(《英》shopsoiled shop-soiled) / (言葉・考えなどが)陳腐な,おもしろくない
shore	〈C〉(海・湖・河の)『岸』,海岸,湖畔,河岸・〈U〉陸・《しばしば複数形で》地方,国(country) / (建物・船体などの)支柱,つっかい / …を支柱で支える《+『up』+『名,』+『名』+『up』》
shore leave	(船員、水兵などに与える)上陸許可,上陸許可期間(時間)
shore patrol	海軍(海兵隊,沿岸警備隊)憲兵(《略》SP)
shorebird	海辺の鳥(クサシギ・タシギ・チドリなど)
shoreline	海岸線
shoreward	岸のほうへ / 岸(陸)へ向かう,岸(陸)に面した
shorn	shearの過去分詞
short	(長さ・時間・距離などが)『短い』,近い・(人が)『背が低い』・(数量・期間などが)『不足の』,乏しい;目標(標準)に達しない・(文などが)『簡潔な』,手短な・『そっけない』,ぞんぞいな,無愛想な・(ケーキなどが)かりかりする,さくさくする・(母音・音節が)短い;(詩の行の母音が)強勢のない・急に,突然・短いもの;欠けているもの・短篇映画(short movie, short subject) ・=short circuit・《複数形で》不足,欠損 / …を短絡させる,ショートさせる / 短絡する,ショートする
short circuit	(電気の)短絡,ショート 漏電
short division	(計算の)短除法(暗算を主にして行う割り算)
short order	(食堂などで注文に応じてすぐ出される)即席料理
short shrift	(人や物事を扱う際に)ほとんど注意を払わないこと 死刑執行直前の懺悔と赦罪のための短い時間 容赦のない取り扱い
short story	短編小説
short time	操業短縮
short ton	[小]トン(2000pounds=0.907metric ton)
short-circuit	…をショートさせる / 〈手続きなど〉を簡略にする / ショートする
short-lived	短命の;はかない
short-range	距離(時間)が限られた範囲の;射程の短い;短期の
short-tempered	短気な
short-term	短期間の,短期満期の
short-winded	息切れのする,息が続かない
shortage	『不足』,欠乏;〈C〉不足高
shortbread	ショートニング(shortening)を入れて作った薄手のさくさくしたクッキー / バタークッキー 《ショートニングをたくさん入れた厚いビスケットの一種》
shortcake	《米》いちご・甘く味付けした果物などをあしらったケーキ / 《英》厚手の
shortchange	〈人〉につり銭を少なく渡す / 《話》〈人〉をだます(cheat)
shortcoming	欠点,短所(fault) / 《英》《複数形》失敗;(要求された基準)に達しないこと
shortcut	近道
shorten	…を『短くする』,縮める / 〈ケーキなど〉にショートニングを加えてさくさくさせる / 短くなる
shortening	ショートニング(パイやパンなどをさくさくさせるために使うバターやラードなど) / 短縮
shortfall	不足額(量)
shorthand	速記,速記術 / 速記の
shorthand typist	=stenographer
shorthanded	人手(人手)不足の
shorthorn	ショートホーン(短い角を持った英国原産の肉牛)
shortie	=shorty 背の低い人 ちび 短い服(ナイトガウンなど) (衣服などの)丈の短い
shortlist	最終選抜候補者名簿 / 〈人〉を最終的選抜候補者名簿に載せる
shortly	『まもなく』(in a short time),すぐに(soon) / 『手短に』,簡潔に(briefly) / 無愛想に,そっけなく
shortness	短いこと;無愛想;不足
shorts	半ズボン,ショートパンツ / 《おもに米》(男物下着の)パンツ
shortsighted	近視の(near-sighted) / 先見の明がない
shortstop	(野球で)ショート[の位置];遊撃手
shortwave	(ラジオの)短波
shorty	小男,ちび / たけの短い衣服
shot	shootの過去・過去分詞 / 〈C〉(…をねらった)『発砲』,発射;『銃声』《+『at』+『名』》・〈C〉殊手・〈C〉『弾丸,たま』;《集合的に》散弾・〈C〉(砲丸の投げの)砲丸・〈C〉(ロケットなどの)発射・〈U〉射程,着弾距離・〈C〉(テニス・ゴルフ・フットボール・ビリヤードなどで特に得点するための)一打ち,一けり,一突き・〈C〉写真,スナップ;(映画・テレビの)一場面 / 〈C〉《話》皮下注射(injection);種痘(しゅとう) ・〈C〉(…に対する)試み,企て《+『at』+『名』(do『ing』)》・〈C〉(…に対する)当て推量《+『at』+『名』》・〈C〉《話》(酒の)一口《+『of』+『名』》 / 玉虫色の,色が変わって見えるような織り方の;(…に)色が変化する《+『with』+『名』》 / 《補語にのみ用いて》(…が)満ち満ちた《+『through』 『with』+『名』》 / 《補語にのみ用いて》《米話》使い果たした,ぼろぼろになった / 《補語にのみ用いて》(仕事などを)切り上げる《+『of』+『名』》
shot put	砲丸投げ
shote	=shoat
shotgun	猟銃,散弾銃
should	《時制の一致によるshallの過去形》・《単純未来》・《意志未来》・《義務・当然・勧誘》・《should+原形》『すべきである』,するのが当然である,しなくてはならない・《should have+過去分詞》 …『すべきだった[のに]』,するのが当然であった[のに] ・《見込み・当然の結果》・《should+原形》 …『のはずである』,きっと…だろう・《should have+過去分詞》 …『して[しまって]いる(した)はずだ』,きっと…してしまっているだろう・《疑問詞とともに用いて,意外・不可解・驚きなど》『いったい…かしら』・《仮定条件に対する帰結節に用いて》・《一人称主語とともに》《現在または未来に反する仮定に対して》…『だろうに』,なのだが:《should have+過去に反する仮定に対して》 …『だったろうに』,したのだが・《二,三人称主語とともに》…させるのだが,したのだが・《条件節・譲歩節に用いて》『万一…だとしたら』(だとしても) ・《一人称主語とともに用いて,控え目で遠回しな表現として》…『したいが』,…するところが・《感情・判断などの表現に続くthat節に用いて》 …『するとは』,だなんて・《命令・提案・願望などの表現に続くthat節に用いて》 …『するように』,であることを / ・《目的を表す副詞節に用いて》 …する[ように];…しない[ように],してはいけない[から]
