aerodrome	《英》=airdrome
aerodynamic	空気力学の,航空力学の
aerodynamics	《単数扱い》空気力学,航空力学 / 《複数扱い》航空力学的特性
aerofoil	=airfoil
aerogram, aerogramme	航空書簡 / 航空郵便で送られる手紙
aerology	高層気象学
aeron.	aeronautics
aeronaut	軽気球(飛行船)の操縦士(搭乗者)
aeronautic, aeronautical	航空学の,飛行術の
aeronautics	航空学,飛行術
aeroplane	=airplane
aerosol	エアロゾル(気体中に微粒子が分散した状態)
aerosol bomb	(殺虫・殺菌剤などの)噴霧器
aerospace	気圏,航空宇宙(大気圏と大気圏外をまとめた名称) / 気圏の,航空宇宙の
aertex	《英》エアテックス(シャツ・下着用の織り目の粗い生地;商標名)
aery	=ethereal / =aerie
aesthete	唯美主義者
aesthetic	美学の;審美的な
aesthetics	美学
aestivate	夏を過ごす;(カタツムリなどが)夏眠する
aether	=ether
aetiology	(英国)病因学,原因論,原因の研究 / =etiology (米国)
afar	遠くに,はるかに
affability	愛想のよさ,人好きのすること
affable	(人が)近づきやすい,親しみのもてる
affair	〈C〉(個人的に関心・関係のある)『事』,事柄 / 〈C〉『事件』,でき事 / 《複数形で》仕事,業務 / 〈C〉《話》《修飾語を伴って》物,しろもの / 〈C〉(特に一時期の)恋愛事件,情事
affect	{動}…に影響する / 感動させる / (文学的)…のふりをする,装う / (病気などが)…を冒す / {名}(心理学)感情,情動
affectation	〈C〉〈U〉(…の)見せかけ,ふりをすること《+『of』+『名』》 / 〈U〉〈C〉気どり,てらい;〈C〉きざな言動
affected	影響された,作用を受けた / 感動した / (病気などに)冒された / 気どった,きざな
affecting	心を打つ,感動的な
affection	〈U〉(…に対する)『愛情』,好意,《しばしば複数形で》恋情《+『for』(『toward』)+『名』》 / 〈C〉(体のある部分の)病気
affectionate	愛情のこもった,優しい
affectionately	愛情をこめて,優しく
afferent	(神経・血管などが)求心性の(末梢(まっしょう)から中枢に向かうこと)
affiance	(…と)〈人〉を婚約させる《+『名』+『to』+『名』》
affidavit	(法廷などにおける)宣誓供述書
affiliate	(規模がさらに大きいグループに)…を加入させる,合併する,提携させる《+『名』+『with』(『to』)+『名』》 / (…に)加入する《+『to』+『名』》;(…と)合併する,提携する《+『with』+『名』》 / 加入者,会員,《米》支部
affiliation	加入,加盟 / 同盟,合同,提携
affiliation order	《英》非嫡出子扶養命令
affinity	〈C〉(人・物に対する)好み,親近感《+『for』(『to, with』)+『名』》 / 〈U〉〈C〉(2者の間の)密接な関係,類似《+『between』+『名』》;(…との)類縁《+『with』+『名』》 / 〈U〉〈C〉親和力(原子が化学反応を起こしやすい力)
affirm	…を『断言する』,明言する / (正式に)…を確認する,承認する / (法廷で)証言する
affirmation	断言;承認
affirmative	肯定的な / 〈U〉〈C〉肯定,是認;〈C〉肯定語 / 《the ~》(討論会での)賛成者側
affirmative action	公民権推進活動(女性および少数民族の雇用機会均等の促進など,社会正義の実現を目指す活動)
affix	(…に)…をはり付ける,くっ付ける《+『名』+『to』+『名』》 / (…に)〈印〉を押す,〈署名など〉を添える《+『名』+『to』+『名』》 / 接辞(接頭辞(prefix)や接尾辞(suffix)など)
afflatus	《文》霊感;啓示
afflict	(肉体的に,精神的に)(…で)…を『苦しめる』,悩ます(distress)《+『名』+『with』+『名』 (a person's do『ing』)》
affliction	(心身の)苦悩,難儀 / 苦悩(悩み)を引き起こすもの
affluence	(物質的な)裕福 / (思考・言葉などの)豊かさ
affluent	(物質的に)裕福な / (思考・言葉などが)豊富な,たくさんの;(…が)豊富な《+『in』+『名』》 / (川の)支流
afford	《can,could,be able toと共に用いて》〈金・時間〉の『余裕がある』 / 《文》〈物・事が〉…を『与える』,供給する(provide with)
afforest	〈荒地・畑など〉を山林にする;〈土地〉に造林する,植林する
afforestation	造林,植林
affray	《法》(公共の場所での)乱闘,口論,けんか
affricate	破擦音
affright	(古風)(文語)恐怖や恐れを引き起こす
affront	(人前で故意に)…を侮辱する,恥ずかしめる / 公然の侮辱
afft.	affidavit
aficionado	熱愛者,こり屋
afield	《far(farther) afieldの形で》(本来の道筋から)離れて,それて,遠くに / 野外に(で)
afire	(…で)燃えた(on fire)《+『with』+『名』》 / 燃えて
aflame	燃え立った(in flames) / (…で)赤くなった《+『with』+『名』》 / 燃え立って / 赤くなって
afloat	浮かんだ / 海上の;船上の / 水をかぶって,浸水した / (うわさなどが)広まった / (商売など)財政上の危機を抜け出て / 浮かんで / 海上で,船上で / 水をかぶって / (うわさなどが)広まって
aflutter	(旗などが)はためいて,ひらひらして
afoot	《古》徒歩の,歩いて(on foot) / (悪い事が)進行中の(in progress) / 徒歩で / (事が)進行中で
afore	=before
aforementioned	前述の,前記の
aforesaid	前述の
aforethought	《法》(殺意などが)計画的な,故意の
afoul	衝突して;もつれて
afraid	『恐れて』,こわがって / 『気づかって』,心配して / 気が進まない
afresh	あらたに,再び
aft	船尾に,船尾の方に / 《補語にのみ用いて》船尾の
after	《時・順序》…『の後に』,…後に;…の次に / …『を求めて』,の後を追って / …『の名をとって』,にならって;…ふうに(の) / …のことを心配して,に関して / …『だから』,…の結果 / 《前後に同じ名詞を用いて連続・反復など》 / 《時》…『した後で(に)』,してから / 《順序・時》『後に』,後ろから,後で / 後の,次の
after dinner	正餐(せいさん)後の,食後の
afterbirth	後産(あとざん)(出産後,胎盤などが出ること)
afterburner	(ジェットエンジンの)再燃焼装置
aftercare	病後の養生 / (卒業後の)職業指導;(刑務所出所後の)更生指導
afterdeck	後甲板
aftereffect	(事件などの)余波,なごり / (薬などの)後(あと)作用
afterglow	夕焼け,夕映え / (楽しい経験の)後に残った快感,快い後味
afterimage	(心の中に残った)残像
afterlife	死後の命,来世;余生
aftermath	(事件・災害などの)余波,結果
