$	dollar[s] ドル記号(通貨単位)
'em	=them
'll	will, shallの短縮形
'm	amの短縮形
're	areの短縮形
's	所有格を示す接尾辞 / 短縮形(has, is, does)
't	itの短縮形
'tis	it is の短縮形
'twas	=it was
'tween	=between
'twixt	《古詩》betwixtの短縮形(=between)
've	haveの短縮形
10-4	通信で用いられる『了解』の意を表す語
@	単価…で / …につき
A	answer / ampere
A level	〈U〉(大学入学検定試験の)上級試験 / 〈C〉上級試験科目
A&M	Agricultural and Mechanical 農工[大学]
A&R	artists and repertoire レコード会社でアーティストの才能を発掘する部門
A,a	〈C〉英語アルファベットの第1字 / 〈U〉(音階の)イ音,イ調 / 〈C〉《米》(学校で成績優秀を表す)A
A-OK.	申し分のない,抜群な
A-bomb	=atomic bomb
A-frame	A型フレーム(枠組みが三角形・逆V字型の建造物)
A-line	Aラインの(衣服の上部が細く裾が広い)
A-one	第一級の,すぐれた(excellent)
A.A.	=AA / antiaircraft
A.B.	=B.A. / Bachelor of Arts 文学士
A.C.	ラテン語「ante Christum」の略で『紀元前』;ただし「B.C.(Before Christ)」の方が一般的。
A.C.L.U.	American Civil Liberties Union 米国自由人権協会
A.D.	西暦…年
A.E.F.	American Expeditionary Forces(第一次世界大戦中の)米国海外派遣軍
A.F.T.	American Federation of Teachers 米国教員連盟
A.G.	Adjutant General 軍務局長 / Attorney General 検事総長
A.P.A.	American Psychiatric Association 米国精神医学会
A.R.V.	American Revised Version 米国標準改訳聖書(1901年初版)
A.S.V.	American Standard Version 米国標準改訳聖書
A.V.	Authorized Version / 価格に比例して(ad valorem)
A.W.O.L.,a.w.o.l.	absent without leave (軍務の)無断欠勤, 無断外出, 許可なしで休む
A/C	account / account current 取引勘定
A/O,a/o	And/Or (AまたはB、またはその両方) / Account Of …の理由で / As Of …の時点で
A/P	account paid 支払済 / accounts payable 支払勘定
A/R	account receivable 《会計》売掛債権
A/V	audiovisual
A/W	actual weight 実量 / Autumn Winter 秋冬
A1,A-1	=A-one
AA	アルコール中毒患者更生会 / (映画で)14歳以下の児童鑑賞禁止の表示 / 14歳以下鑑賞禁止の / Automobile Association(英国の)自動車協会
AAA	American Automobile Association 米国自動車協会 / antiaircraft artillery 高射砲
AAM	air-to-air missile 空対空ミサイル
ABC	〈U〉アルファベット / 〈U〉〈C〉《the ~》(物事の)初歩,入門,いろは《+『of』+『名』》
ABM	antiballistic missile 対弾道弾ミサイル
AC,A.C.,ac,a.c.	Alternating Current (交流電源) / Air Conditioning (空調) / Account (口座)
ACT	American College Testing / Australian Capital Territory
ACTH	副腎皮質刺激ホルモン[剤]
AD	西暦…年 / 広告 / 広告の
ADA	Americans for Democratic Action 米国人民主行動連盟
AEC	Atomic Energy Commission 米国原子力委員会
AF,A.F.	air force 空軍
AFB	Air Force Base 空軍基地
AFC	automatic frequency control 自動周波数制御(調整)
AFL-CIO	American Federation of Labor and Congress of Industrial Organizations 米国労働総同盟産別会議
AID	artificial insemination by donor 非配偶者間人工受精
AIH	artificial insemination by husband 配偶者間人工受精
AK	Alaska
AL	Alabama
AM,A.M.	ante meridiem 午前 / amplitude modulation 振幅変調
AMA	American Medical Association 米国医師会
AMVETS	(第二次世界大戦および朝鮮戦争の)退役軍人 (American Veterans)
AP	antipersonnel / (またA.P.)Associated Press
APB	all points bulletin 全地点(非常)警戒通報(警察の無線連絡用語)
APC	アスピリン(Aspirin)・フェナセチン(Phenacetin)・カフェイン(Caffeine)混合の鎮痛解熱剤
APO	Army Post Office 陸軍郵便局
AR	Arkansas
AR	Augmented Reality 拡張現実
ARC	American Red Cross アメリカ赤十字 / Automatic Reference Counting 自動参照カウント(プログラミング)
AS	Anglo-Saxon
ATV	all-terrain vehicle 全地形万能車(水陸両用の小型自動車)
AUS	Army of the United States 米国陸軍
AZ	Arizona
Aaron	アロン(モーセの兄;ヘブライ人最初の大祭司とされる)
Abel	アベル(聖書で,AdamとEveの第2子;兄のカイン(Cain)に殺された)
Abominable Snowman	(ヒマラヤに住むといわれる)雪男,イエティ
Abraham	アブラハム(聖書で,ヘブライ族の始祖とされる)
Abyssinia	アビシニア(アフリカ北東部の王国;Ethiopiaの旧名)
Ac	actiniumの化学記号
Academy Award	アカデミー賞(米国で毎年最優秀映画・映画人に与えられる賞)
Achilles	アキレス(Homer作のIliadに出てくるギリシア軍の勇将;右足首以外は不死身であったが,ここに矢を射られ戦死をとげたという.このため,「唯一の弱点」のことを『Achilles' heel』「アキレスのかかと」という.《米》では'(アポストロフィ)をつけない)
Achilles tendon	アキレス腱(けん)
Act.	active
Acts	使徒行伝(新約聖書の中の一書)
Adam	アダム(聖書によれば,神が天地を創造したとき,最初Adamをつくり,その肋骨の1本から最初の女Eveを造ったという)
Adam's apple	のどぼとけ(エデンの園でAdamが食べた禁断の実リンゴの1切れがAdamののどにつかえたという伝説に由来)
Aden	アデン(イエメン民主人民共和国の首都)
Adm.	admiral
Adonis	アドニス(ギリシア神話で,女神アフロディテ(Aphrodite)に愛された美青年) / 〈C〉美青年
Adriatic Sea	アドリア海(イタリアとクロアチア・モンテネグロ・アルバニアの間の海)
Adventist	キリスト再臨論者
Aegean Sea	エーゲ海(小アジアとギリシアの間の海)
Aeneas	アイネアス(トロイ戦争の勇士でローマの建国の祖)
Aeolian	アイオロスの(ギリシア神話の風の神) / 風の,風に吹かれた
Aeolian harp	風琴(かぜごと)(風の吹く所に置くとひとりでに鳴る楽器)
Aeschylus	アイスキュロス(525‐456B.C.;ギリシアの悲劇詩人)
