dowager	(爵位・財産などのある人の)未亡人 / 《話》威厳のある金持ちの老婦人
dowdy	(おもに女性の外見・服装が)だらしない / (おもに女性の服が)やぼったい
dowel	合わせくぎ,目くぎ,だぼ
dower	寡婦(かふ)産(亡夫の遺産のうち未亡人が受ける部分) / 生まれつきの資質,天賦の才 / =dowry / …に寡婦産を与える / (才能・資質などを)…に与える,賦与する(endow)
dowitcher	オオハシシギ(くちばしの長い北米産のシギ)
down	(高い所から)『下へ』,降りて,地面へ / (地理・地図上)南へ,下町へ;(風・流れなどが)『下(しも)手へ』;《英》(都会・大学から)地方へ,離れて / (価格・品質・温度などが)『下がって』,(数量・スピードなどが)少なく,減じて,(濃度が)薄く / (健康・風の勢いなどが)『衰えて』,気分が沈んで / (時代などが)下がって,…に至るまで / (身分・地位が)下がって / (紙面に)書き留めて,記録して / (頭金を)現金で,即金で / 最後まで,徹底的に / しっかりと,動けないように / (高い所から)…『を下がって』;…『に沿って』;…の向こうに / …の下流に / …以来 / 《名詞の前にのみ用いて》『下りの』,下への / 《名詞の前にのみ用いて》(列車・バスなどが)下りの / 《補語にのみ用いて》下に,下がって / 《補語にのみ用いて》弱まった,おさまった;落胆した,元気のない / 《補語にのみ用いて》(勝負で)負けて,すって / 《補語にのみ用いて》《おもに米話》(野球で)アウト / …を打倒する,負かす,撃ち落とす / …を飲み干す,飲み込む / 下り,下降 / 《複数形で》不運,逆境 / (鳥の)綿毛,うぶ毛,下羽 / (植物・果実の表面の)柔らかい毛 / なだらかな草原地,丘陵地帯(特にイングランド南部の小高い白亜質の草原地the Downsを言う)
down payment	(月賦の)頭金
down stroke	(ピストンなどの)下り作動 / (運筆が)下向きの一筆
down under	オーストラリアとニュージーランド
down-and-out	運の悪い,落ちぶれた / 運の悪い人,落ちぶれた人
down-at-heel	(靴の)かかとがすり減った / (人が)かかとのすり減った靴をはいた;(外見が)みすぼらしい,むさ苦しい
down-home	庶民的な,うちとけた,きさくな
down-to-earth	実際的な,現実的な
downbeat	強拍,下拍(小節の第1拍);(指揮者が指揮棒を上から下に振り)強拍を示す動作 / 暗い,悲観的な,みじめな
downcast	〈人が〉意気消沈した,しおれた,ふさぎこんだ / 伏し目の,下に向けた
downcourt	バスケットボールで,相手のゴールに向けた攻撃の方向
downdraft	下降気流
downer	鎮静剤 / 気のめいるような経験(事態)
downfall	(富・名声・地位などの)急落,失墜 / 破滅(没落)の原因 / 降雨,降雪,(特に)大降り,どしゃ降り
downgrade	(丘や道の)下り坂 / 落ち目の,没落しつつある / 〈地位・等級・給与など〉を下げる;〈人〉を降職させる,左遷する / …を軽く見る,見くびる
downhearted	落胆した,元気のない
downhill	丘の下へ,坂の下へ,下の方へ / なお悪い状態に,悪化して / 下り坂の,下りの / 《話》楽な,やさしい
downpour	どしゃ降り,豪雨
downrange	(ロケット・ミサイルなどが)射程に沿って
downright	(悪いことについて)徹底的な,全くの / ざっくばらんな / (悪いことについて)全く,徹底的に
downshift	〈自動車のトランスミッション〉を低速ギアに替える / 低速ギアへの切り替え
downstage	舞台の前方で(へ) / 舞台前方の / 舞台前半分
downstairs	『階下へ』(『に』),下の階へ(で),(特に)1階へ(で) / 『階下の』(にある),(特に)1階の(にある) / 『階下』,下の階
downstate	州の南部 / 州南部へ(で) / 州南部の,州南部特有の
downstream	流れを下って,下流に / 下流の,川下の
downswing	ダウンスイング(ゴルフのクラブを振り降ろす動作) / (商況・出生率などの)下降,減少
downtown	(都市の中心の)商業地区へ(で),町の中心街へ(で) / 商業地区の(にある),町の中心街の(にある) / (市の中心街をなす)商業地区,下町
downtrodden	圧迫された(oppressed);踏みつけられた
downturn	折り返し / (景気などの)下降,下押し
downward	(高さ・状態が)『下の方へ』,低い方へ / …『以来』,このかた / (位置・状態が)『下方への』,下り坂の,下向きの
downwards	=downward
downwind	風の方向に進む,追い風の / 風と同じ向きに,追い風で
downy	綿毛(うぶ毛)のような;綿毛でおおわれた
downy mildew	〈C〉ベト病菌(植物の多くの病気の原因となるかびの一種) / 〈U〉ベト病(葉が黄変する植物の病気)
downy woodpecker	北米の白黒まだらの羽毛の小さなキツツキ
dowry	(花嫁の)持参金
dowse	=douse
dowsing rod	=divining rod
doxology	栄光の賛歌,頌栄(しょうえい)(礼拝で歌う短い賛美歌)
doyen	(団体などの)古参者,長老,大御所
doyley,doyly	=doily
doz.	dozen
doze	うたた寝をする,居眠りをする《+『off』》 / 〈時〉をうとうとと過ごす《+『away』+『名』》 / うたた寝,居眠り
dozen	『ダース』,12個の組(《略》『doz.,dz.』)
dozenth	12番目の(twelfth)
dozy	眠そうな;眠気を催させる / 《英話》(人が)愚かな
dpt	department / deponent
dr.	debit / debtor / drachma / dram[s] / drawer / drum
drab	単調な,退屈な,おもしろくない / くすんだ茶色の / くすんだ茶色,灰色がかったかっ色,土(つち)色
drabs	=dribs
drachm	dram / drachma
drachma	ドラクマ(現代ギリシアの貨幣単位);(古代ギリシアの)ドラクマ銀貨
draft, draught	〈C〉『下絵』,スケッチ,設計図;『草稿』,草案 / 〈C〉為替(かわせ)手形 / 〈C〉(特に部屋などの)『すきま風』,通風 / 〈C〉(ストーブ・煙突の)通気 / 〈U〉(車などを)引くこと / 〈C〉網で引っぱること,一網;一網の漁獲高 / 〈U〉《米》徴兵,徴募;《集合的に》徴集兵,選抜隊,分遣隊;その選抜 / 〈U〉(特にスポーツで人を)引き抜くこと;ドラフト制 / 〈U〉(液体を容器から)つぎ出すこと,(酒などの)たる抜き / 〈C〉『一飲み』[の量],一吸い[の量],(水薬などの)1回の服用量 / 〈C〉(船の)喫水 / 牽引(けんいん)用の / たる出しの,生の / 下絵の;草案の / (特別の目的のために)〈人〉を引き抜く,選抜して派遣する;《特に米》(…に)〈人〉を徴集する《+『名』+『into』+『名』》 / …の草案(草稿)を書く;…の輪郭を描く
draftee	徴集兵,召集兵
draftsman, draughtsman	製図工 / 起草者,立案者
drafty, draughty	すき間風にさらされている
drag	〈重い物〉を『引きずる』(haul) / 《副詞[句]を伴って》…を引っ張ってゆく / (網などで)(…を捜して)〈川・湖など〉の底をさらう《+『名』+『for』+『名』》 / …をだらだらと引き延ばす《+『out』+『名,』+『out』》 / (地面に)『引きずる』《+『along』》 / 〈物が〉重そうに動く;のろのろ進む / だらだらと長引く《+『on』(『out』)》 / 〈C〉〈U〉引っ張ること,引きずること / 〈C〉物事を遅らせる原因になる人(物);(…の)足手まとい,じゃま物《+『on』(『upon』)+『名』》 / 〈C〉水の底を探る物(探り錨,引き網など) / 〈C〉引きずられる物(重いまぐわ,犬ぞりなど) / 〈U〉《a~》(航空機の)抗力 / 《a~》《俗》退屈な人(物,事)
drag race	ドラッグレース(hot rod carを使った加速を競うレース)
drag strip	自動車のドラッグレース(drag race)用の直線コース
draggle	(地面・泥の中を引きずって)…を汚す,ぬらす / 引きずって汚れる
draggled	=bedraggled
draggy	無気力の,不活発な / 非常に退屈な
dragnet	(川や湖の)引き網 / (警察の)捜査網
dragoman	(アラビア・トルコ・ペルシアなどの)通訳
dragon	『リュウ,竜』(翼とうろこがあり,火を吐く伝説上の怪獣)
dragonfly	『トンボ』
dragoon	竜騎兵(重装備をした昔の騎兵) / 〈人〉にむりやり(…)させる《+『名』〈人〉+『into』 do『ing』》
drain	(液体を)…から『排出する』《+『名』+『of』+『名』》;(…から)〈液体〉を『排出する』《+『名』+『from』+『名』》 / …を消耗させる,枯渇させる;(…を)〈人〉から消耗させる《+『名』+『of』+『名』》 / 〈酒など〉を飲み干す,空にする / 〈土地〉を干上がらせる / 〈土地などが〉水はけがよい;(液体を)排出する《+『of』+『名』》 / 〈水・液体などが〉徐々に流れ去る / 〈C〉『排水設備』,排水路 / 〈C〉(…を)消耗(枯渇)させるもの《+『on』+『名』》 / 〈U〉《時にa~》(富・力などの)消耗,枯渇
drain board	(台所の流しなどに置く)水切り(《英》draining board)
drainage	排水,水抜き / 排水装置,排水路,下水路 / 下水,汚水
drainage basin	(河川の)流域
draining board	=drain board
drainpipe	排水管,下水管
drainpipe trousers	足にぴったりした細い男性用ズボン
drake	雄ガモ
dram	ドラム(重量の単位で常衡は1.772グラム,薬局衡では3.9グラム) / (ウイスキーなどの)微量,一口《+『of』+『名』》 / (一般に)わずか(の…)《+『of』+『名』》
drama	〈C〉『戯曲』,劇文学;脚本 / 〈U〉《しばしばthe~》『演劇』,劇,芝居 / 〈C〉〈U〉劇的事件
dramatic	『劇の』,演劇の,劇に関する / 『劇的な』,感動的な,印象的な / 芝居がかりの
dramatically	劇的に,非常に効果的に
dramatics	〈U〉《単数扱い》演出法,演技 / 《複数扱い》芝居がかったふるまい
dramatis personae	《the~》《複数扱い》(劇の)登場人物 / 《the~》《単数扱い》配役表
dramatist	劇作家
dramatization,dramatisation	戯曲化,脚色;〈C〉戯曲化(脚色)した作品
dramatize,dramatise	〈小説など〉を戯曲化する,脚色する / …を劇的に表現する / 芝居がかりで表現する
drank	drinkの過去,《時に米》過去分詞
drape	…を掛け布でおおう;(垂れ布などで)…を飾る《+『名』+『with』(『in』)+『名』》 / …をぞんざいに置く,だらりと下げる / 〈布・服など〉にゆるい優美なひだをつける / 〈掛け布などが〉優美なひだになって垂れ下がる / 〈C〉《通例複数形で》掛け布,垂れ布;《米》特に左右に開閉する1対の長いカーテン / 〈U〉《またa~》(布などの)たれぐあい
draper	服地屋,反物屋婦人服店
drapery	〈U〉〈C〉(優美なひだのよった)垂れ布,掛け布,衣服 / 〈U〉優美なひだ / 〈U〉《英》=dry goods / 〈U〉《米》(厚地の)カーテン
drastic	思い切った,徹底的な
drastically	徹底的に,猛烈に
drat	=damn
draught	=draft
draught board	=checkerboard
draughts	=checkers
draughtsman	=draftsman
