dueler,dueller	=duelist
duelist,duellist	決闘者
duenna	(スペイン・ポルトガルの家庭で)未婚女性の監督・教育をする年輩の婦人
duet	二重唱,二重奏,二重唱(奏)曲
duff	=plum duff
duffel bag	ダッフルバッグ(衣類・持ち物を入れる円筒形の大きなズックの袋)
duffel coat	ダッフルコート(フードつき羊毛製の外とう)
duffel, duffle	(両面起毛した)目の粗いラシャの一種 / 《米》キャンプ用の衣類と用具一式
duffer	(…の)役立たず,へたくそ《+『at』+『名』》
dug	digの過去・過去分詞 / (母獣の)乳房,乳首
dugong	ジュゴン(インド洋に住むイルカに似た水生哺乳(ほにゅう)動物)
dugout	丸木舟 / (地面や山腹を掘った)待避壕(ごう) / (野球場の)選手控え所,ダッグアウト
duke	(イギリスの)公爵 / (欧州大陸の小国または公国の)君主
dukedom	〈U〉公爵の位 / 〈C〉公国,公爵領
dukes	握りこぶし,げんこつ
dulcet	(音が)美しい,甘美な
dulcimer	ダルシマー(2本のつちで鳴らす琴に似た昔の弦楽器)
dull	(刃・先端が)『鈍い』,なまくらの / (光・音・色などが)『鈍い』,はっきりしない / (天気・空が)どんよりした,曇った,うっとうしい / (感覚が)鈍い / 頭の鈍い,愚鈍な / (痛みが)鈍い / 退屈な,おもしろくない / (人が)元気のない;(商売などが)不活発な / 〈刃など〉を『鈍らせる』,〈痛みなど〉を鈍くする,ある程度まで和らげる,〈光・色など〉を曇らせる / 『鈍くなる』,曇る,ぼんやりする
dullard	のろま,ばか
dullness	鈍さ,鈍感,不活発,退屈
dully	鈍く,のろく,ぼんやりと
duly	正しく,当然に,順当に
dumb	『物の言えない』,口をきくことができない / 口をつぐんでいる,黙っている(silent) / 《名詞的にthe~》口のきけない人々 / 《話》頭の悪い,ばかな
dumb show	無言劇,パントマイム
dumbbell	亜鈴 / 《おもに米俗》ばか
dumbwaiter	(レストランなどで調理場から階上へ料理を運ぶ)小型エレベーター(《英》food lift) / 《おもに英》移動式食品台
dumdum	ダムダム弾(銃弾の先端が鉛などでできており,命中すると傷を大きくする)
dumfound	…を驚きで(あきれて)物も言えなくさせる
dummy	(洋服屋などの)人台(じんだい),ボディー,マネキン人形;(射撃練習の)標的人形 / 模造品,型見本 / (他人の)手先,ロボット / 《おもに米俗》ばか者 / 《英》=pacifier
dummy run	予行練習
dump	〈重い荷物など〉を『どさっと落とす』(降ろす);〈ごみなど〉をどさっと捨てる / (特に外国市場で)〈商品〉を投げ売りする,ダンピングする / ごみ捨て場 / (捨てられた)ごみの山 / (弾薬・軍需品などの)臨時集積場
dump truck	ダンプカー
dumper	《英》(またdumper truck)=dump truck / 荷役人夫
dumping	(ごみなどの)投げ捨て,投げ降ろし,投下 / (特に外国貿易において)商品の投げ売り
dumpling	蒸しだんご / 果物入りプディング / 《話》ずんぐりした人
dumps	憂鬱
dumpy	(人が)ずんぐりした
dun	〈人〉にうるさく借金の催促をする / やかましい借金の催促 / 借金取り / 〈U〉ねずみ茶色(灰色がかったくすんだ茶色) / 〈C〉焦げ茶色の馬 / ねずみ茶色の
dunce	のろまな人,ばか者
dunces cap	ダンスキャップ(円すい形の紙帽子;昔なまけ者の生徒に罰としてかぶせた)
dunderhead	ばか,のろま
dune	(海浜・砂漠の)砂丘
dune buggy	=beach buggy
dung	(家畜の)ふん,こやし
dungaree	〈U〉ダンガリー布(インド産粗製綿布) / 《複数形で》ダンガリー製の作業服(ズボン)
dungeon	(中世の城内にあった)土牢(ろう),地下牢
dunghill	(農場の)ふんの山 / 墜落した状態(場所)
dunk	(コーヒー・ミルクなどに)〈パン・ドーナツなど〉を浸して食べる《+『名』+『in』(『into』)+『名』》 / …に浸す,漬ける
duo	=duet / 《話》一組,一対
duodecimal	12の / 12進法の / 12進法
duodenal	十二指腸の
duodenum	十二指腸
duologue	二人の間の対話 / 対話劇
dup	duplicate
dupe	(他の人に)だまされやすい人《+『of』+『名』》 / 〈人〉をだます;〈人〉をかついで…させる《+『名』〈人〉+『into』 do『ing』》
duple	(音楽が)2拍子の,偶数拍子の
duplex	2倍の,2重の,複式の / =duplex apartment
duplex apartment	(1戸が上下2階にわたって部屋をもつ)重層式アパート
duplicate	(他のものと)『そっくり同じの』,『複製の』 / (同じようなものが)対になっている / (原物とそっくり同じ)『写し』,控え,複写,写本,複製[物](copy) / (2個同時に作製したものの)一方,(そっくり同じものの)片方,片割れ / 〈原本・原作など〉を複写する,複製する / …をそっくり模倣する / …を2重(2倍)にする / 〈同じこと〉を繰り返す
