French door	フランスドア(全面ガラスの通例観音開きのドア)
French dressing	フレンチドレッシング(油・酢・香料を混ぜ合わせたサラダ用ソース)
French fry	フレンチフライ(細く千切りにして油で揚げたポテト;《英》chip)
French horn	フレンチホルン(うず巻き形の金管吹奏楽器)
French kiss	フレンチキス(舌を使った熱烈なキス)
French leave	あいさつや予告なしに出て行くこと,無断退出
French letter	=condom
French loaf	長円形の棒状のパン
French polish	フランスニス(シェラックとアルコールの溶液で家具の仕上げ塗料)
French toast	フレンチトースト(卵入り牛乳に浸してからバターで焼いたパン)
French window	フランス窓(観音開きになっていて,出入りのできるガラスとびら)
French-polish	〈家具〉にフランスニスをかける
Frenchman	『フランス人』,(特に)男のフランス人
Frenchwoman	女のフランス人
Freud	フロイト(『Sigmund』~;1856‐1939;精神分析学の創始者)
Freudian	フロイトの,フロイト学派の / フロイト学派の人,精神分析家
Freudian slip	思わずもらした本音,本音を表す失言
Fri.	Friday
Friday	金曜日(《略》Fr.,Fri.)
Frigid Zone	寒帯
Fris.	Frisian
Frisbee	フリスビー(プラスチックの軽い円盤を向き合って投げ合うゲーム;その円盤)
Frisian	フリージアン種の乳牛(《米》Holstein)
Frisian Islands	フリジア諸島(オランダ・西ドイツ・デンマーク沿岸の列島)
Frog,Froggy	〈C〉カエル / 《俗》《軽蔑》フランス人
Fuehrer	=Fuhrer,Fuehrer
Fuhrer,Fuehrer	《der~》ナチスドイツの総統(Hitlerの称号) / 指導者
Furies	(ギリシア神話で)3人姉妹の復しゅうの女神
f	farad / forte
f-number	エフナンバー(レンズの直径と焦点距離の比率で数値の小さいほど明るい)
f-stop	絞りがf値で示されるカメラレンズ
f.	female / feminine / franc / farthing / foot; feet
f.b.,fb	freight bill運賃請求書 / fullback
f/	f number
fa	ファ(全音階の第4音)
fabaceous	豆科植物の
fable	〈C〉(動物などを擬人化し教訓を含んだ)『寓話』 / 〈C〉伝説;神話 / 〈U〉《集合的に》伝説(legends);神話(myths) / 〈C〉作り話;うそ
fabled	伝説(物語)に名高い,伝説的な / 作り話の,架空の
fabric	〈C〉〈U〉『織物』,編物 / 〈U〉織り方;織地 / 〈U〉構造,組織 / 〈U〉構造物,建造物
fabricate	…を組み立てる,(組み立てて)…を制作(建造)する / 〈うそなど〉を作り上げる;〈文書など〉を偽造する
fabrication	〈U〉組み立て,製作,建造 / 〈U〉偽造,でっち上げ / 〈C〉偽造物,作りごと
fabricator	製作者 / ほら吹き;(文書などの)偽造者
fabulist	寓話作者
fabulous	伝説上の,架空の / 信じられないような,驚くべき / 《話》とてもすばらしい
fabulously	信じられないほど,途方もなく
fac.	facsimile / factor / factory / faculty
facade,façade	(建物の)正面(front) / (物の)外観;見せかけ
