figurative	比喩(ひゆ)的な / 比喩の多い
figure	〈C〉『数字』,(特に)アラビア数字;数量,価格 / 《複数形で》計算,算数 / 〈C〉『姿』,容姿,目立つ姿 / 〈C〉《修飾語句を伴って》(…の)『人』;(…の)名士,大物 / 〈C〉(絵画・彫刻などの)人物像,肖像 / 〈U〉〈C〉形,形状 / 〈C〉『図』,図形;模様,図案 / 〈C〉(…の)印,象徴,典型《+『of』+『名』》 / 〈C〉=figure of speech / 〈C〉(ダンス・スケートの)フィギュア / …を計算する;…を合計する《+『up』+『名,』+『名』+『up』》 / 《おもに米話》…を考える / …を(…の)図形に表す,(…の)模様で飾る《+『名』+『with』+『名』》 / (…で)目立つ,異彩を放つ《+『in』+『名』》
figure eight, figure of eight	(結び目・フィギュアスケートなどの)8の字型[の図形]
figure of speech	比喩(ひゆ)[的表現],言葉のあや
figured	模様入りの,図柄のはいった
figured bass	=continuo
figurehead	船首像(船の水切りを飾る全身・半身または首だけの彫像) / (国・団体などの)名目だけの長
figurine	(金属・陶土などで作った)小立像,人形
filament	(くもの巣などの)細糸 / (電球・真空管内の)フィラメント
filar	糸の,糸飾の
filbert	ハシバミ;ハシバミの実
filch	〈あまり価値のない物〉を盗む,くすねる
file	やすり / …にやすりをかける;…をやすりで切る(削り取る) / 『ファイル』(書類・手紙などを整理保存する紙ばさみ・書類とじ・整理用引き出しなど) / (整理された新聞・書類などの)とじ入み / 〈書類など〉を『ファイルに入れる』,整理する / 〈書類など〉を提出する;…を申し出る / (…を)出願する,申し込む《+『for』+『名』》 / 縦列 / 縦隊で行進する
filet	=fillet2
filet mignon	フィレミニョン(牛のひれ肉)
filial	子としての,子にふさわしい
filial piety	孝行,親孝行
filibuster	〈U〉〈C〉議事の進行妨害 / 〈C〉議事の妨害者 / (長演説などで)議事の進行を妨害する / (長演説などで)〈議事進行〉を妨害する
filigree	金(銀)線細工 / (ブローチなどが)金(銀)線細工の
filing	とじ込み,書類整理 / 〈U〉やすり仕上げ,やすりかけ / 《複数形で》やすりくず
filing cabinet	(引き出し式の)事務用戸棚
filing clerk	(事務所・役所などの)書類整理係,文書係
fill	〈容器など〉を『いっぱいにする』,満たす,につぐ / 〈人・物が〉〈場所・空間〉を『占める』,いっぱいにする / (…で)…を満たす,埋める,ふさぐ《+『名』+『with』+『名』》 / 〈人の要求など〉を満たす,かなえる / 〈注文〉に応じる;〈処方箋〉を調剤する / 〈地位〉を占める;〈職務〉を果たす / (…で)『いっぱいになる』,満る《+『with』+『名』》 / 《ones fill》欲しいだけ,存分 / 《a fill》(…の)1杯の量《+『of』+『名』》 / 〈C〉盛り土(石)
fill-in	埋め合わせ,代用品;補充員
filled milk	脱脂してから代用バター脂を加えた牛乳
filler	(大きさ・量を増すための)詰め物 / (塗料を塗る前に表面の割れ目を埋める)目止め材
fillet	(頭髪を束ねる・飾る)細長いひも,リボン / (また《米》『filet』)フィレ(牛・豚では脂肪の少ない柔らかな腰肉,羊ではももの厚い肉;またそれを料理用に下ごしらえしたもの);(魚の骨なしの)切り身 / 〈頭髪〉をリボンで束ねる(飾る) / 〈魚や肉〉を切り身にする
filling	(歯の)詰め物,充填材 / 詰め物をした食物(パイ,サンドイッチなど)
filling station	=gas station
fillip	〈U〉〈C〉指先をはじくこと,指先をはじいて軽く打つくこと / 〈C〉《話》(…に対する)刺激,(…を)励ますもの《+『to』+『名』》 / …を指先ではじく,はじき飛ばす
filly	雌の子馬
film	〈C〉(…の)『薄皮』,薄膜,薄い層《+『of』+『名』》 / 〈U〉〈C〉(写真の)『フイルム』 / 〈C〉《おもに英》『映画』;《the films》《集合的に》映画 / …を薄膜でおおう / …をフイルムに写す,(映画に)撮影する / 〈小説など〉を映画化する / (ほこり・氷などで)うっすらとおおわれる《+『over with』+『名』》 / 映画化される
film fan	映画ファン(《米》movie fan)
film premiere	新作映画の封切り(初上映)
film star	映画スター(《米》movie star)
film stock	未使用の映画フィルム
film test	カメラテスト(映画俳優としてふさわしいか実際にフイルムに撮って審査すること)
filmable	映画化に適した,映画向きの
filmdom	映画産業,映画界;《集合的に》映画人
filmgoer	映画を見に行く人,映画ファン
filmstrip	フイルムストリップ(長尺のフイルム;おもに教材)
filmy	(カーテン・氷など)非常に薄い,薄い膜のような / (湯気などで)うっすらとおおわれた
filter	『ろ過器』,ろ過装置;ろ過用材料(布・紙・木炭・砂など) / (写真の)フィルター / 〈液体・気体〉を『ろ過する』,こす;…をろ過して取る / ゆっくり進む(通る)
filter tip	(巻きたばこの)フィルター,吸い口 / フィルターつき巻きたばこ
filth	汚物,不潔な物 / 不潔な状態;(道徳的な)腐敗,堕落 / 卑わい;卑わいな言葉
filthily	きたならしく,不潔に / 汚らわしく,下品に
filthiness	きたならしさ,不潔 / 汚らわしさ,下品
filthy	不潔な,きたない / 汚らわしい,下品な
filthy lucre	金,ぜに
filtrate	ろ過水,ろ過液 / =filter
filtration	ろ過,ろ過作用
fin	(魚などの)ひれ / (形・働きが)ひれに似た物 / (飛行機の)垂直安定板 / 《話》手,腕
fin.	finance / financial / finish
finable	罰金を課せられる
finagle	〈人〉をだます;(…を)〈人〉をだまして手に入れる《+『名』〈人〉+『out of』+『名』》 / 〈物〉をだまし取る / ごまかす
final	《名詞の前にのみ用いて》『最終の』,最後の / 『最終的な』,決定的な(decisive);究極の(ultimate) / 《しばしば複数形で》(競技などの)『決勝戦』 / 《米》学期末試験;《英》《複数形で》(大学などの)最終試験 / 《the ~》《話》(新聞のその日の)最終版
finale	(曲の)終楽章,終曲;(劇の)最後の幕(場),フィナーレ
finalist	決勝戦出場選手
finality	〈U〉最後的(決定的)なこと / 〈C〉最終的な言動(事柄)
finalize,finalise	〈計画など〉を完成する,仕上げる
finally	『最後に』(at the end) / 最終的に,決定的に(decisively) / ついに,とうとう(at last)
finance	〈U〉『財政』,財務,財政学 / 《複数形で》『財源』,財力,収入,歳入;経済状態,金回り / 〈人・計画など〉に資金を出す,融資する
finance company	金融会社,《英》保険会社
financial	『財政上の』;財界の;金融上の
financial year	=fiscal year
financier	財政家;財務官 / 金融業者;資本家
finch	スズメ科の小鳥
find	(偶然に)…を『見つける』(進行形にできない) / …を『見つけだす』,捜しだす(進行形にできない) / 〈今まで知られていない事・物〉が『分かる』,知る,気がつく《+『名』+『out,』+『out』+名》 / 《しばしば受動態で》…が存在することを知る / …に届く,達する / 〈評決・判決〉を下す,裁定する / …を支給する;(…を)…に支給する,供給する(provide)《+『名』+『in』+『名』》 / (特に,貴重な)発見物,掘出し物
finder	発見者 / (写真機・望遠鏡の)ファインダー
finding	〈U〉〈C〉発見すること・〈C〉発見物;《しばしば複数形で》拾得物・〈C〉(裁判官による)判決,(陪審の)評決・《複数形で》・(調査・研究などの)結果,結論
fine	罰金 / 〈人〉に罰金を科する / (物・事が)『りっぱな』,みごとな;けっこうな,満足できる / (人が)『優れた』,りっぱな / (天気が)『晴れた』,気持ちのよい / 《補語にのみ用いて》《話》『元気な』,健康な(well) / (人・衣服・態度などが)『洗練された』,いきな,上品な(refined) / (粒・きめなどの)細かい;細い(thin) / 《名詞の前にのみ用いて》微妙な(delicate) / 精巧な / (物が)混じりけのない,(金・銀などが)純度…の / (言葉が)華美な / 《名詞の前にのみ用いて》《皮肉に》けっこうな,ごりっぱな / 細かく / 《話》りっぱに,うまく
fine art	芸術,美術品
fine arts	美術(絵画・彫刻・建築など) / (広義の)芸術(造形芸術のほかに詩・音楽・舞踊・劇などを含める)
fine print	〈U〉非常に小さい活字印刷・《the~》細目(契約書などで本文より小さく印刷された部分)・(契約書などの)細字部分 《特に,契約者に不利な条件などを記した注意事項》
fine toothcomb	目の細かいくし(特に頭髪の中の虫をとる目的で使われる)
fine-drawn	ごく細く(薄く)引き伸ばした / (区別などが)極めて微妙な
fine-spun	極細に紡いだ / (議論などが)微に入れ細をうがった
fineable	=finable
finely	りっぱに,みごとに / 繊細に,微妙に(delicately) / 細かく
fineness	りっぱさ,みごとさ,美しさ / 細かさ,細さ / 繊細,鋭敏 / 純度(purity);(合金中の金銀の)純[分]度
finery	はでな服装,装飾品
fines herbes	細断香草(パセリ・タラゴンなどの乾した葉を混ぜ合わせた香辛料)
finesse	巧妙な処理,手ぎわのよさ,手腕
finger	(手の)『指』 / 指の形をしたもの;(手袋の)指;(メーターなどの)指針 / 指幅(びん入りの酒の量を測るときなど) / …に指で触れる,を指でいじる / 〈楽器など〉を指でひく,つまびく
finger hole	指穴(管楽器を調音する穴)
finger painting	〈U〉フィンガーペイント(指に絵具をつけて絵を描く画法) / 〈C〉その画法で描かれた絵
finger wave	フィンガーウェーブ(ローションや水でぬらした髪を指で押えて作るウェーブ)
fingerboard	(弦楽器の)指板
fingerbowl	フィンガーボール(食事中または食後に指を洗う小ばち)
fingered	指状の;指でいじられた / (楽譜が奏法を指示する)指印のついた
fingering	指で触れる(いじる)こと / (弦楽器をひくときの)運指法;運指記号
fingerling	(指ぐらいの)小魚;サケ(マスなどの)幼魚
fingernail	指のつめ
fingerplate	指板(ドアの取っ手やかぎ穴の近くにつける汚れ防止の板)
fingerpost	指さす手の形をした道標(道しるべ)
fingerprint	指紋 / …指紋をとる
fingerstall	(指を保護するための)指サック
fingertip	指先
finical	ひどくうるさい,好みがやかましい;(…に)ひどくうるさい《+『about』(『in』)+『名』》
finicky	=finical
