fool's mate	チェスの打ち手の一つ
fool's paradise	愚人の天国;幻の幸福,ぬか喜び
foolery	〈U〉愚かなふるまい,愚劣;〈C〉(個々の)ばかげた行為(考えなど)
foolhardily	無鉄砲に,向こう見ずに
foolhardiness	無鉄砲,向こう見ず
foolhardy	無鉄砲な,向こう見ずな
foolish	『愚かな』,思慮分別のない / こっけいな,おかしい / 無意味な,つまらない,ばかばかしい
foolishness	〈U〉愚かであること,ばからしさ;〈C〉愚かな行為
foolproof	だれでも理解できる(安全に扱える)ほど極めて明りょうな(簡単な);絶対に失敗(故障,事故)のない
foolscap	〈U〉(洋紙の)フールスキャップ判,大判 / =fool's cap / 道化師帽(昔道化師が用いたもので,普通,とさか・ロバの耳などの形の垂れ部が数個つき,その先端に鈴がついていた)
foot	〈C〉(人間・動物の)『足』(くるぶしから先の部分);(生物体の)足状の部分 / 〈C〉《通例the~》(高い物・長い物の)『足部』,下部,底部《+『of』+『名』》 / 〈C〉《通例the foot》(階級・地位などの)最下位《+『of』+『名』》 / 〈U〉〈C〉『歩み』,足取り / 〈C〉『フィート』(長さの単位で12インチ,30.48センチ) / 〈C〉詩脚(詩における韻律の単位) / 〈C〉《通例単数形で》(靴下の)足の部分 / 〈勘定など〉を支払う
foot rot	羊の足に潰瘍(かいよう)を起こす病気
foot rule	1フィートの物差し
foot soldier	歩兵
foot-and-mouth disease	口蹄(こうてい)病(家畜の口やひづめに斑点のできる病気)
foot-candle	フィートキャンドル(1フィート離れたろうそくが発する光の照度)
foot-pound	フィートポンド(仕事またはエネルギーの単位;1ポンドの重さのものを1フィートあげる時に必要な仕事量)
footage	(映画フィルム・木材などの)フィート数,全長 / (映画の)場面
football	〈U〉《米》『フットボール』(《英》 American football) / 《英》=soccer / 〈C〉フットボール用ボール
football pools	フットボール懸賞(けんしょう)(試合の結果を予想してかけること;当たると賞金が出る)
footbath	足洗い用たらい / 足を洗うこと
footboard	(列車などの)乗降用ステップ / (ベッドの)足板 / (運転手用)足載せ台
footbridge	歩道橋
footed	(花びん・ゴブレットなどが)足のついた,足のある / 《複合語を作って》「足が…の」の意を表す
footer	文書やウェブページの下端部分,フッター
footfall	歩み / 足音
footfault	(テニスの)フットフォールト(サービスでバックラインを踏む反則) / (テニスで)フットフォールトを犯す
foothill	(山すそ,山脈のふもとの)低い丘,端山《+『of』+『名』》
foothold	(岩場などの)足がかり,足場 / 《単数形で》(成功の)よりどころ;(確実な)立場
footing	《a ~》足もと;足がかり,足場 / 確実な立場,安定した地位,基盤 / (…との)間柄,相互関係《+『with』+『名』》
footle	つまらないことをする,ぶらぶらして過ごす《+『about』(『around』)》
footless	足のない;支え(基盤)のない / 《話》無能な,ぶざまな
footlights	(舞台の)フットライト,脚光
footling	役立たずの,つまらない,くだらない
footlocker	(身の回り品を入れておく)小型トランク
footloose	好きな所に行ける,何をしてもよい,束縛を受けない
footman	従僕(普通制服をつけて来客の案内・食卓の給仕・戸の開閉などをする)
footnote	脚注
footpad	追いはぎ / (月に着陸するための)宇宙船の脚部
footpath	(野・林の中の歩行者用の)小道
footprint	足跡
footrace	徒歩競走
footrest	(理髪台・歯科医の診療台などの)足載せ台
footsie	(男女の)いちゃつき;《米俗》なれあい
footslog	苦労して行進する
footsore	(長い間歩いたりして)足を痛めた,靴ずれのできた
footstep	『足音』 / 『足跡』(footprint) / 歩幅
footstool	(腰掛けているときに用いる)足載せ台
footsure	足取りのしっかりした,足元の確かな
footwear	はき物(靴・スリッパ・サンダル・ブーツなど)
footwork	(ボクシング・ダンスなどの)足のさばき,足の運び,フットワーク
fop	しゃれた男,めかし屋
foppish	気取り屋の,めかしこんだ
for	《時間・距離》『…の間』 / 《利益・貢献》『…のために』 / 《適応・用途》『…向きの(に);』…用の(に);…のための(に) / 《目的・意向》『…のために,』に / 《敬意・記念》『…のために;』…を記念して / 《獲得・追求》『…を得るために』,を求めて / 《行く先・方向》『…あてに;』…[方面]行きの,に向けて / 《交換・報償など》『…に対して』;…と引き換えに;…のお返しに / 《原因・理由》『…のために』,なので / 《代理・代表》『…の代わりに;』…を代表して / 《形容詞の後に用いて》『…にとって,』には / 《比較級の後に用いて》『…の結果として,』…のために / 《対比》『…としては,』のわりには / 《関連》『…について,』の点では / 《資格・属性》『…として』 / 《賛成・支持》…『に賛成して』,を支持して / 《傾向・好み》…『に対する』,には / 《模倣》《おもに米》《英文》…の名を取って(after) / 《割合》…に対して / 《『for』+『名』〈人〉+『to』 doの形で,〈人〉が不定詞to doの意味上の主語を表して》…が(…することは,…するために) / […というのは]…だから
for.	foreign
fora	forumの複数形
forage	〈U〉(牛馬の)飼料,かいば,まぐさ / 〈U〉《a~》食糧あさり / 〈動物などが〉食糧をあさる / (…を)捜し回る《+『about』+『名』》 / 〈食べ物〉をあさる / 〈ある場所〉から食糧を入手する
forage cap	(第二次世界大戦ごろの)英国兵士の略帽
foramen	(骨・植物などの)孔(こう),開口
forasmuch as	【法】 …であるから (seeing that)
foray	(…への)不意打ち,急襲《+『on』+『名』》 / (他の分野への)手出し,冒険《+『into』+『名』》 / (特に略奪のために)(摘の領土などを)侵略する《+『into』+『名』》
forbad,forbade	forbidの過去形
forbear	(…を)『我慢する』《+『with』+『名』》 / (…することを)『差し控える』《+『from』 do『ing』》 / 〈他〉《forbear to do=forbear doing》(…すること)を『慎しむ』,差し控える / =forebear
forbearance	(…を)差し控えること《+『from』+『名』》 / 忍耐;寛容
forbearing	我慢強い / 寛容な
forbid	〈人〉に〈物事〉を『禁じる』,禁止する
forbidden	forbidの過去分詞 / 禁じられた,禁制の
forbidden ground	立ち入り禁止の場所 / 話題にしてはいけないこと
forbidding	こわい,ぞっとする,無気味な,近寄りにくい
forbore	forbearの過去形
forborne	forbearの過去分詞
force	〈U〉(物理的な)『力』,勢い;体力 / 〈U〉『暴力』,腕ずく / 〈C〉《集合的に》(共通の目的・活動のための)集団,隊 / 〈C〉《しばしば複数形で》『軍隊』,部隊 / 〈C〉(社会的)勢力;有力な人物 / 〈U〉(精神あるいは知性の)力 / 〈U〉『影響力』,効果 / 〈U〉(言葉の)意味,真意 / 〈人〉に『強いる』,無理を言う / (…から)…を力ずくで手に入れる《+『名』+『from』(『out of』)+『名』》 / …をむりに押し出す / (容器などに)…をむりに押し込む《+『名』+『into』+『名』》 / (人に)…を『押しつける』《+『名』+『on』(『upon』)+『名』〈人〉》 / 〈植物〉を促成栽培する
force majeure	不可抗力
force-feed	…に無理に食べさせる;無理じいする,強制的に受け入させる
force-march	強行軍
forced	強いられた,強制的な / 強いて作った,不自然な
forceful	力のこもった,力強い
forcefully	力強く
forcefulness	力強さ
forcemeat	フォースミート(詰め物料理などに用いる味付けひき肉)
forceps	(外科・歯科用)かん子(し),ピンセット
forcible	力ずくの / 説得力のある,効果的な
forcibly	力ずくで;効果的に
ford	(川などの)浅瀬 / 〈川〉の浅瀬を渡る
fore	(乗り物の)前部の,前方の / 船首に,(へ) / 前部,前面
fore-and-aft	船首から船尾まで;船の両端に / 船首から船尾に向かう,船を縦断する
forearm	前腕(ひじから手首まで) / …に前もって武装させる;(危険・困難に対して)〈人〉に前もって備えさせる《+『against』+『名』》
forebear, forbear	祖先(ancestor)
forebode	〈物事が〉…の前兆となる / 〈人が〉〈悪いこと〉の予感がする
foreboding	(悪い)予感;(…という)虫の知らせ《+『that節』》
forecast	…を『予測する』,予想する,予報する / 『予想』,予測,(天気の)予報
forecastle	(船の)前甲板 / 船の前甲板下の船員部屋
foreclose	〈抵当物〉を流す / 〈議論など〉を打ち切る / 抵当物を流す
foreclosure	抵当流れ
forecourt	(建物の)前庭 / フォアコート(テニスコートでサービスラインとネットの間の部分)
foredoom	…を前もって運命づける / 前もって定められた運命,予定された運命
forefather	『祖先』,先祖(ancestor)
forefend	=forfend
forefinger	人さし指
forefoot	(四足動物の)前足
