fagoting,faggoting	束つなぎ
faience,faïence	ファイアンス焼き(美しく装飾し堅く焼き上げた陶器)
fail	『失敗する』,しくじる;落第する / 不足する,欠けている / 『衰える』,弱くなる / 〈会社などが〉破産する,倒産する / (いざというときに)〈人〉の『役にたたない』,期待を裏切る,〈人〉を見捨てる / (教師が)〈学生・生徒〉を落とす,に落第点をつける / 〈学科・試験など〉に『落第する』 / =failure
failing	欠点,弱点;失敗,落第;破産 / …がないので,がない場合には
faille	ファイユ(絹・レーヨンなど柔らかくうねのある布地)
failsafe	絶対に安全な,二重安全装置の
failure	〈U〉(…における)『失敗』,不成功《+『in』+『名』(do『ing』)》 / 〈C〉失敗者,落後者;失敗した企て,不できなもの / 〈U〉〈C〉怠慢,不履行 / 〈U〉〈C〉(…の)不足,欠乏《+『of』+『名』》 / 〈U〉〈C〉(…の)破産《+『of』+『名』》 / 〈U〉(…の)『衰弱』,減退《+『in』(『of』+『名』》)
fain	喜んで(…したいのだが)
faint	(音・色・考えなどが)『かすかな』,ぼんやりした / (努力・行動などが)『弱々しい』,熱のない;気の弱い,勇気のない / 《補語にのみ用いて》(で)『気が遠くなって』,目が回りそうで《+『with』(『from』)+『名』》 / (…で)『気が遠くなる』,気絶する《+『with』(『from』)+『名』》 / 気絶,失神
fainthearted	勇気のない,気の弱い,おく病な
faintly	かすかに,ぼんやりと / 弱々しく,熱意なく
fair	《米》(農産物・家畜などの)『品評会』;(一般に)『博覧会』 / 《英》定期市,縁日(特に祭日などに定期的に開かれ,見世物などが出てにぎわう) / 慈善市(bazaar) / 『公平な』,適正なルールに従ったフェアな / (天気が)『晴れた』(clear)(風・潮流が)好都合の(favorable) / 《古》(特に女性が)『美しい』,きれいな / (名声などが)汚点のない(水などが)汚れていない;(筆跡などが)はっきりした / (皮膚が)色白の;金髪の(blond[e]) / 相当な,かなりの;まあまあの,(成績が)可の / ていねいな;まことしなやかな / 公平に,適正に,正々堂々と / きれいに,はっきりと,快く / まともに,まっすぐに
fair ball	フェアボール
fair game	猟が解禁されている獲物 / (人・考えなどが嘲笑・非難の)いいかも,えじき《+『for』+『名』》
fair play	(スポーツで)正々堂々とした態度,フェアプレー / 公正(公平)な扱い
fair sex	女性
fair shake	機会均等
fair trade	公正取引
fair-haired	金髪の
fair-minded	(裁判が)公平な,公正な
fair-spoken	(言葉遣いが)ていねいな;口先のうまい
fair-trade	公正取引[協定価格]の
fair-weather	都合の良い時だけの
fairground	《英》移動遊園が開かれる場所(空地) / 《通例複数形で》《単数扱い》《米》品評会が開かれる場所
fairly	『公平に』,公正に(justly) / 『かなり』,相当に(somewhat) / 全く,すっかり,まさしく
fairness	《古》美しさ / 色白,金髪 / 公平,公正,正々堂々
fairway	(川・港内などの)障害物のない航路 / フェアウエー(ゴルフでティー(tee)とグリーン(putting green)の間の芝生を短く刈り整えた区域)
fairy	『妖精』(ようせい) / 妖精の / 妖精のような,優美な
fairy lights	着色豆電球(特にクリスマスツリーの飾りつけ用)
fairyland	妖精の国,おとぎの国 / (心奪われる)美しい場所,夢の国
fairytale	おとぎ話,妖精物語 / 作り話 / おとぎ話の,架空の
fait accompli	既成の事実(accomplished fact)
faith	〈U〉『信頼』,信用;確信,信念 / 〈U〉(…への)『信仰』,(…に対する)信心(belief)《+『in』+『名』》 / 〈C〉教義,信条(doctrine) / 〈U〉信義,誠実(sincerity) / 〈U〉誓約,約束
faith healing	(祈祷(きとう)による)信仰療法;信仰による治療
faithful	『忠実な』,誠実な;貞節な / 正確な,そのままの / 《名詞的に;the faithful》《集合的に,複数扱い》堅い信者たち;イスラム教徒
faithfully	忠実に,誠実に,正確に
faithless	不誠実な・信頼できない
fake	《話》…のふりをする,を装う / …をでっち上げる;(絵・紙幣など)を偽造する,に手を入れてごまかす / (…に)見せかける,(…の)ふりをする / にせ物,偽造(模造)品 / いかさま師,詐欺師 / にせの,偽造(模造)の
faker	偽造者,ねつ造する人 / 詐欺師,ペテン師
fakery	にせ物[作り],いかさま[行為]
fakir	(イスラム教・バラモン教などの)行者,たくはつ僧
falchion	鎌(かま)形刀(中世の幅広でそり返った刀)
falcon	(タカ狩り用の)タカ,ハヤブサ
falconer	(タカ狩りの)タカ使い,タカ匠
