off-hour	暇な時間,休憩時間 / 人混みの多くない時間[帯]
off-key	音程(調子)のはずれた
off-licence	酒類小売店(小売だけで店内での飲酒は禁止されている)
off-limits	立ち入り禁止の
off-peak	《名詞の前にのみ用いて》最高時を過ぎた,閑散時の
off-putting	不愉快な驚きの,不快感(嫌悪感)を引き起こす
off-season	季節はずれ,閑散期 / 季節はずれの
off-street	《名詞の前にのみ用いて》大通りから離れた,裏通りの
off-the-record	公表されない,記録にとどめない / 公表(記録)されず
off-the-shelf	でき合いの,すぐに役立つ
off-track	場外馬券販売制の
off-white	純白でない, 灰色(黄色)がかった白色の〈U〉灰色(黄色)がかった白色
off.	office / officer / official
offal	(特に殺した動物の)くず肉,臓物,あら / (一般に)くず,がらくた(garbage)
offbeat	オフビート,弱拍(強勢をつけない拍子) / 《話》型破りの,とっ拍子もない
offence	=offense
offend	《しばしば受動態で》〈人〉の『感情を傷つける』,を恐らせる / 〈感覚など〉を不快感を与える,さわる / 罪を犯す / (法律・規則などに)反する,そむく《+『against』+『名』》
offender	(特に法律などの)違反者;犯罪者
offense, offence	〈C〉『罪』;(法律・規則などの)違反《+『against』+『名』》 / 〈U〉『人の感情を傷つけること』,無礼 / 〈C〉(人・感覚などに)不快なもの(こと)《+『to』+『名』》 / 〈U〉『攻撃』 / 〈C〉(フットボール・バスケットボールなどの)攻撃側,攻撃する選手
offensive	『不愉快にする』,無礼な,しゃくにさわる / (感覚的に)『いやな』,不快な(disagreeable) / 『攻撃の』 / (スポーツで)攻撃[側]の / 〈C〉攻撃,攻勢
offer	…を『申し出る』,すすめる,提供する / …を『企てる』 / (品物に)〈値段〉をつける《+『名』〈値段〉+『for』+『名』〈品物〉》 / (ある金額で)…を売りに出す《+『名』+『for』+『名』〈金額〉》 / (神に)…をささげる《+『up』+『名』+『to』+『名』》 / 〈機会などが〉現れる,起こる(occur) / (神に)ささげ物(祈り)をささげる / (女性に)求婚する / 『申し出』,提案 / 付け値
offering	〈U〉(…の)申し出,提供《+『of』+『名』》 / 〈C〉(神への)お供え,ささげ物,(教会への)献金;(一般に)贈り物
offertory	(ミサ・聖餐(せいさん)式における)パンとぶどう酒の奉献 / (教会の礼拝式で集められる)献金;(その時用いられる)祈とう文
offhand	即座の,即席の,準備なしの / 不用意の / 即座(即席)に,準備なしに
office	〈C〉『事務所』,事務室;営業所,会社 / 《集合的に》《単数扱い》事務所(営業所)の全員 / 〈C〉〈U〉(特に政府・会社などの)『公職』,官職,職務 / 〈C〉(一般に)任務,務め,役目(duty) / 〈C〉『官庁』,役所;〈U〉《O-》《米》局,《英》省 / 〈C〉《複数形で》(…の)尽力,親切,世話《+『of』+『名』》 / 〈C〉《時にO-》(宗教上の)儀式,葬儀;(定められた時間の)礼拝
office block	事務所用の大きなビルディング
office boy	(事務所の)給仕,使い走り
office girl	(事務所の)女性の給仕
office hours	勤務(執務)時間 / 営業(診療)時間
officeholder	公務員
officer	『公務員』,役人(会社などの)役員,幹部 / 『将校』,士官 / (商船の)高級船員;船長(master) / 警官,巡査(policeman)
officer of the day	日直士官
official	『公務』[『上』]『の』,職務[上]の / 『公式の』,正式の(formal);公認の / お役所式の / 『公務員』,役人,(会社などの)『職員』,役員
officialdom	《集合的に》官僚,役人 / 《しばしば軽べつして》お役所風なやり方
officialese	官庁用語,お役所言葉
officialism	官庁的形式主義,お役所ふう,官僚主義
officially	公選上,職務がら / 公式に / 形式的には,表面上は
officiant	祭式執行者
officiate	(儀式などで…としての)職務を行う,役目をつとめる《+『as』+『名』+『at』+『名』》
officious	おせっかいな,よけいな世話をやく
offing	(陸から見える)沖,沖合い
offish	よそよそしい
offline	(コンピューターが)オフラインの(親コンピューターから独立して作動する)
offload	=unload
offprint	(雑誌などの)抜き刷り
