outbrave	…に勇敢に立ち向かう,…を物ともしない
outbreak	(戦争・暴動・病気などの)『突発』,ぼっ発,(怒りなどの)爆発《+『of』+『名』》
outbuilding	離れ家,付属建物(母屋から離れた車庫・納屋など;また《英》outhouse)
outburst	(…の)噴出;爆発《『of』+『名』》
outcast	(社会・家続などから)追放された / 〈C〉追放された人,のけ者;浮浪者,宿なし
outcaste	(インドで人が)社会的地位のない
outclass	…の勝る,より優れた
outcome	(…の)『結果』,成り行き(result)《+『of』+『名』》
outcrop	(鉱脈などの)露岩,露床,露頭 / (地面に)露出する
outcry	〈C〉叫び,悲鳴 / 〈U〉〈C〉(…に対する)激しい抗議(反対)《+『against』+『名』》
outdated	=out-of-date
outdid	outdoの過去
outdistance	(競技などで)〈相手〉をはるかに引き離す
outdo	〈他の人〉にまさる,よりうまくする
outdone	outdoの過去分詞
outdoor	『戸外の』,野外の
outdoor relief	(昔,英国で救貧院に収用しきれない者に与えた)院外援助
outdoors	『戸外で(へ)』,野外で(へ) / 《the outdoors》《単数扱い》戸外,野外
outer	外に,外側の,外部の / 中心から遠い
outer ear	=external ear
outer space	(地球の大気圏外の)宇宙,宇宙空間
outermost	最も外側の,最も遠くの
outface	…に勇敢に立ち向かう,物ともせずいどむ / …をにらみつけてたじろがす
outfall	(用水池などの)排水口,はけ口;河口
outfield	(野球・クリケットの)外野;《集合的に》外野手
outfielder	(野球・クリケットの)外野手
outfight	…と戦って勝つ,…を打ち負かす
outfit	(ある特定の目的のための)『装備一式』,道具一式《+『for』+『名』》 / 服装一そろい,アンサンブル / 《話》(1つの)集団,隊,部隊;会社,企業 / (…で)…にしたく(服装)を整えてやる,を装備する,支給する《+『名』+『with』+『名』》
outfitter	装身具商,旅行用品商;運動具商
outflank	〈敵〉の側面に回る / 〈相手〉の裏をかく,を出し抜く
outflow	〈U〉流出すること / 〈C〉流出物,流出量
outfox	…の裏をかく,…を出し抜く
outgeneral	…に作戦勝ちする
outgo	支出,出費;流出 / …より早く行く / …にまさる
outgoing	(人か)外向的な,社交的な / 出て行く,去って行く / 〈U〉〈C〉出て行くこと,出発 / 《複数形で》《おもに英》支出,出費(expenditure)
outgone	outgoの過去分詞
outgrew	outgrowの過去
outgrow	…が合わないほど大きくなる / (年とともに)…から脱する / …より背が高くなる
outgrown	outgrowの過去分詞
outgrowth	(一般に)自然に発生してくる物;若枝,こぶ,はれもの / 自然に生じる結果
outguess	…を出し抜く,の裏をかく
outhouse	《米》屋外便所 / 《英》=outbuilding
outing	遠足,遊山(ゆさん),遠出
outlandish	異国ふうの / (服装・行為・考えなどが)異様な,風変わりな
outlast	…より長く続く,長持ちする;…より長生きする(outlive)
outlaw	常習犯;無頼漢,無法者 / (昔罰として)法律の保護を奪われた人,(社会からの)追放者 / (…の理由で)…を非合法とする,禁止する《+『名』+『for』+『名》 / 〈人〉から法律の保護を奪う,を法の外に置く』
outlay	支出;〈C〉(…の)経費《+『for』(『on』)+『名』》 / (…のために)…を支出する《+『名』+『on』(『for』)+『名』》
