tranquility, tranquillity	平穏,平静
tranquilize, tranquillize, tranquillize, tranquillise	…を静かに(平穏に)する / 静まる,落ち着く
tranquillizer, tranquilliser	精神安定剤,鎮静剤
trans.	transitive / transportation
transact	〈業務など〉を行う,処理する;(…と)〈交渉,取り引きなど〉をする《+名+with+名》
transaction	〈U〉《the ~》(業務などの)『処理』,処置《+of+名》 / 〈C〉業務,商取り引き / 〈C〉《複数形で》(学術協会などの)報告書
transalpine	(比較変化なし)(特にイタリアから見て)アルプスの北側の(から,にある)
transatlantic	大西洋の向こう岸の / 大西洋横断の / 大西洋両岸の国々の(に関する)
transceiver	トランシーバー
transcend	〈の範囲・限界〉を越える;…を超越する / (大きさ・力・質などの点で)…にまさる,をしのぐ《+名+in+名》
transcendence	(神の)超越[性]
transcendency	=transcendence
transcendent	(比較変化なし) / 並みはずれた,卓越した / 超越した
transcendental	人知の及ばない,深遠な,超自然の / (経験などを)超越した,先験的な / 超自然的に,超越して
transcendental meditation	瞑想(内観)による精神修養法
transcendentalism	(カントの)先験論;(エマソンの)超絶論
transcendentalist	先験論者;超絶論者
transcontinental	大陸横断の
transcribe	…を書き写す,複写する,タイプする / 〈速記・録音・記録など〉を書き直す / 〈発音〉を記号で書き表す / (他国語文字に)…を書き直す《+名+into+名》 / (他の楽器などのために)〈曲〉を編曲する / (後日放送するために)〈ラジオ番組など〉を録音する
transcript	写し,コピー,写本,謄本;《おもに米》[学業]成績証明書
transcription	〈U〉(…を)書き写す(書き直す)こと,(…の)転写,謄写《+of+名》 / 〈C〉写し(書き直し)[たもの] / 〈U〉〈C〉編曲[されたもの] / 〈U〉〈C〉(ラジオ・テレビの)録音(録画)
transducer	[エネルギー]変換器
transept	翼廊(十字形をした教会堂の左右に伸びた翼部)
transfer	(…から…へ)〈人・物〉を『移す』,移転させる,乗り換えさせる《+名〈人・物〉+from+名+to+名》 / (…から…へ)〈権利・財産など〉を譲り渡す,移転する《+名〈権利・財産〉+from+名+to+名》 / 〈絵画・デザインなど〉を写す,転写する / 〈人が〉(ある人・場所から他の人・場所などへ)『移る』,移される;転任する,転任させられる《+from+名+to+名》 / (…から…へ)列車(バスなど)を乗り換える《+from+名+to+名》 / 〈U〉〈C〉(…を)『移すこと』,(…が)移転されること《+of+名》;転任,転校 / 〈C〉移る人(物),移される人(物);転校生,転任者 / 〈C〉乗り換え切符 / 〈C〉乗り換え場所 / 〈C〉写し絵
transferability	移動できること;転写できること;譲渡しうること
transferable	移しうる;譲渡しうる
transference	移すこと,移されること,転任,転勤,移転;譲渡;(精神分析で)感情転移
transfiguration	〈C〉〈U〉変形,変貌 / 《the Transfiguration》(カトリックで)キリストの変容
transfigure	…の姿(形)を変える,を変貌させる / …を神々しくする,美化する,理想化する
transfix	(とがったもので)…を突き通す《+名+with+名》 / 《受動態で》(恐れなどで)…を動けなくする,立ちすくませる《+名+with+名》
transform	(別の形・外見・性質・状態などに)…を『変える』,変化させる《+名+into+名》 / (物理・化学で)〈あるエネルギー〉を他のエネルギーに変換する;〈電流〉を変圧する
transformation	変形,変質;変身 / (物理学で)変換;(電流の)変圧 / (言語学で)変形
transformer	変化させる人(物) / 変圧器,トランス
transfuse	〈血液〉を輸血する:transfuse blood 輸血する
transfusion	輸血
transgress	〈限界など〉を越える,過ぎる / 〈法・命令など〉を犯す,破る / 法律(規則など)を破る,罪を犯す
transgression	(法律・規則などに)違反すること,(…の)違反《+of+名》
transgressor	違反者;(道徳・宗教上の)罪人
tranship	=transship
transience	一時的であること,つかの間のこと,はかなさ,無常
transiency	=transience
transient	(また transitory)一時の,つかの間の,はかない / (人が)短期滞在の / (ホテルなどの)短期滞在客
transistor	トランジスター(真空管の代りをする半導体使用の増幅装置) / トランジスターラジオ
transistorize, transistorise	…にトランジスターを付ける
transit	通過,通行 / (…の)輸送,運搬《+of+名》 / 天体が子午線を横切ること,(小天体が)他の天体を横切ること / 〈天体が〉〈太陽面〉を通過する
transition	(…から…へ)移り変わること,変遷;(…から…への)過渡期《+from+名+to+名》
transitional	移り変わりの,過渡期の
transitive	(動詞が)目的語をとる,他動の / 他動詞
transitively	他動詞的に,他動詞として
transitory	=transient 1
transl.	translated / translation
translatable	翻訳できる / 移すことのできる
