tactual	触覚の
tad	(特に)(男の)ちびっ子
tadpole	オタマジャクシ
taffeta	琥珀織り,タフタ(羽二重に似た絹または合成繊維の織物;裏地や婦人服などに用いる)
taffrail	船尾手すり
taffy	タフィー(砂糖・バターなどを煮て固めたキャラメルの一種)
tag	(名前・番号・定価などを記した)札,下げ札,荷札 / (服などの)切れて垂れ下がった端;(靴ひもなどの)先金 / (特にラテン語引用句の)きまり文句 / =question tag / …に下げ札をつける / (…に)…をつける,加える《+名+on(to)+名》 / 〈人〉に(…の)レッテルをはる《+名+as+名(形)》 / 人の後にくっついて行く《+along》;(人の)すぐ後について行く《+after(behind)+名》 / 鬼ごっこ / (野球で)タッチアウトにすること / (鬼ごっこで)〈相手〉を捕まえる / (野球で)〈ランナー〉をタッチアウトにする《+out+名,+名+out》
tag question	付加疑問文(平叙文の後に isn't it?, will you?などのついた疑問文)
taiga	タイガ(亜北極地の常緑針葉樹林)
tail	〈C〉『尾』,しっぽ / 〈C〉『尾に似た物』;(飛行機・車の)尾部 / 〈C〉(…の)『後部』,末端,終り(底)の部分《+of+名》 / 〈C〉コインの裏側 / 《複数形で》燕尾(えんび)服(tail coat) / 〈C〉《俗》しり,けつ / 〈C〉《俗》尾行者 / …に尾をつける / 《話》〈人〉を尾行する / 〈物・音が〉しだいに減ってゆく,消えてゆく《+away(off, out)》
tail end	(…の)最終部分,末尾《+of+名》
tailboard	=tailgate
tailcoat	燕尾(えんび)服
tailgate	(トラック・ワゴン車などの)尾板(荷物の積み降ろしの際,開閉あるいは取りはずしできる) / 〈他の車〉の直後を走る / (他の車の)直後を走る
tailless	尾のない
taillight	(列車・自動車などの,通例赤い)尾灯,テールライト
tailor	(男子服の)『洋服屋』,仕立て屋 / 〈男子服〉を『仕立てる』 / (特定の目的に合うように)〈物・計画など〉を『作る』《+名+to+名》 / 洋服屋(仕立て屋)をする
tailor-made	(特に婦人に服が)ぴったり体に合うように仕立てられた / よく合った,ぴったりした;(…に)よく合う《+for+名》
tailpiece	終りの部分,末端のもの;終りの付加物 / (書物の章末・巻末の)装飾図案
tailpipe	(自動車ジェット機などの)排気管
