roving eye	目移り(次々に異性に対する関心の対象が変わること)
row	(人や物の)(特にまっすぐな)『列』,並び《+『of』+『名』》 / (劇場・教室などの)座席の列 / (両側に建物の並んだ)通り;《しばしば町名として》…通り / 〈船〉を『こぐ』 / 《副詞[句]を伴って》〈人・物〉を船をこいで運ぶ / 『船をこぐ』 / ボートをこいで行くこと / 〈C〉(時に,取っ組み合いの)『騒々しいけんか』 / 〈C〉《単数形で》やかましい音,騒ぎ / 〈C〉叱責(しっせき) / (…と)やかましく口論する《+『with』+『名』》
row house	(壁だけで仕切られている)長屋,団地
rowan	ナナカマド(mountain ash)(バラ科の落葉高木)
rowanberry	ナナカマドの赤い実
rowboat	ボート,手こぎの舟
rowdily	乱暴に,騒々しく
rowdiness	乱暴・騒々しさ
rowdy	(人・行動が)乱暴な,騒々しい / 乱暴者,騒々しい人
rowdyism	乱暴[なふるまい] / 騒々しさ,騒々しい行為
rowel	花車(拍車(spur)の端の小歯車)・(拍車の)歯輪(を当てる)・《獣医》串線打膿条(かんせんだのうじょう)
rower	こぎ手
rowing boat	=rowboat
rowlock	=oarlock
royal	《しばしばR-》『王の』,女王の,王室の / 王(女王)に属する,王(女王)に仕える / 王(女王)から与えられる / 王(女王)にふさわしい,威厳のある,壮麗な,堂々たる
royal blue	紺青色,藤紫色
royal flush	ロイヤルフラッシュ(ポーカーで同一組みの最高の札の5枚続き)
royal jelly	ロイヤルゼリー(働きバチが若い女王バチに与える粘性の食物)
royal prerogative	王(王妃)の特権
royal road	王道 / (…への)楽な道《+『to』+『名』》
royalist	王党員,王政主義者 / 《R-》(国王チャールズ1世を支持した)王党員(Cavalier);(米国独立戦争当時の)王党派(Tory) / 王党派の
royally	王らしく,堂々と,壮麗に / 《話》すばらしく,りっぱに
royalty	〈C〉王室の一員;〈U〉《集合的に》王族 / 〈U〉王位;王権 / 〈C〉《しばしば複数形で》(発明家・著者・作曲家などが受ける)(…の)特許権使用料,上演料,印税,著作権料《+『on』+『名』》
rpm	revolutions per minute毎分回転数
rps	revolutions per second毎秒回転数
rpt.	repeat / report
rt.	right
rte	route
rub	〈物の表面など〉を『こする』,さする / (…に)…をこすりつける《+名+『against(on, over)』+名》;(…に)…をすりこむ《+『名』+『in』(『into, on』)+『名』》 / 〈二つの物〉をこすり合わせる《+『名』+『together,』+『together』+『名』》 / …をこすり落とす《+『名』+『away』(『off』)『,』+『away』(『off』)+『名』》 / …をすりむく,ひりひりさせる / (…の表面を)『こする』,すれる《+『against』(『on』)+『名』》;〈二つの物が〉こすれ合う《+『together』》 / 《単数形で》こすること / 当てこすり / 《the rub》やっかいな事,困難
rubber	(またIndia rubber)〈U〉ゴム / 《複数形で》《米》オーバーシューズ(靴の上にはくゴムの防水靴);《英》(ロッククライミング用の)スニーカー / 〈C〉《英》ゴムの製品,消しゴム / 〈C〉こする物 / 〈C〉マッサージ師 / 〈C〉《米俗》コンドーム / ゴム製の / (カードゲームで)ブリッジの三番勝負 / (三番勝負の)決勝戦
rubber band	輪ゴム
rubber sheath	コンドーム(condom)
rubber tree	ゴムの木
rubberize,rubberise	〈布など〉にゴムを引く
rubberneck	首を伸ばして見る(見回す) / 首を伸ばして物珍しそうに見る人(観光客)
rubberstamp	ゴム印 / 《話》めくら判を押す人 / …にゴム印を押す / 《話》…にめくら判を押す,をまとめて決裁する
rubbery	ゴムのような;弾性のある
rubbing	〈U〉〈C〉こすること,摩擦 / 拓本,すり写し
rubbish	『くず』,がらくた,廃物 / くだらない考え,ばかげたこと(nonsense)
