rainbow trout	ニジマス
range	〈U〉《時にa~》(価格・気温などの変動の)『幅』 / 〈U〉《時にa~》(知覚・知識などの)『範囲』,広がり / 〈U〉《時にa~》(銃砲・ミサイルなどの)着弾距離,射程 / 〈U〉《時a~》(航空機・船舶などの)航続距離 / 〈C〉(銃砲の)射撃場,(ミサイルなどの)試射場 / 〈C〉《米》放牧地域 / 〈C〉(山などの)列,連なり / 〈C〉(料理用の)レンジ / 〈U〉《しばしばa~》(動植物の)生息(分布)区域 / 《副詞句を伴って》(価格・気温などがある範囲内で)『変動する』,動く / (…を)さまよう,歩き回る,(…に)及ぶ《+『over』(『through』)+『名』》 / 一列(一直線)に延びている / (動植物が)分布している / 《副詞[句]を伴って》(ある状態に)…を『並べて置く』,配列する,整列させる / …をさまよう,歩き回る(受動態にできない) / 《米》〈家畜〉を放牧地に入れる
rangefinder	(大砲などの)距離測定器;(カメラの)距離計
ranger	歩き回る人 / 《米》森林警備官;《英》(王立公園の)監視官 / 武装警備兵;《『R-』》《米》(第二次世界大戦中の)突撃隊員,レーンジャー隊員
rangy	(人・動物が)やせて足の長い
rani	=ranee
rank	〈C〉〈U〉『階級』,等級;(相対的な)『順位』,地位 / 〈U〉高い地位(身分) / 〈C〉〈U〉(人・物の)『列』,並び;(兵隊)の横列 / 《the ranks》(また『rank and file』)(将校たちに対して)兵卒,下士官 / …を『並べる』 / …を『位置づける』,評価する / 《米》…より上位にある / 『位置する』・「pull one's rank on 誰々」で「(誰々に)地位を悪用する; (意見が衝突したような場合に)階級をかさに着て(誰々に)命令を押しつける」 / (植物が)おい茂った,はびこった / (土地が)植物をおい茂らせた,肥えすぎた;(土地が)(植物を)おい茂らせた《+『with』+『名』》 / 悪臭を放つ,いやな味のする / 全くの,ひどい
rank and file	(the ～) (単複両扱い) 兵卒; 大衆; 平社員・(指導者を除いた)一般人
rank-and-file	平社員の; (指導者でない)一般組合員の; 庶民・一般大衆の; (将校ではない)一兵卒の
ranker	並べる人,分類(評価)する人 / 《英》下士官上がりの将校
ranking	上位の,一流の,卓越した
rankle	〈つらい思い・怒りなどが〉心をさいなみ続ける;〈苦痛・きずが〉長くうずく / 〈人・心など〉を苦しめる
ransack	(物を求めて)〈物の中・場所など〉をくまなく深す,深し回る《+『名』+『for』+『名』〈物〉》 / 〈町など〉を略奪する;〈場所〉をあさって(物を)奪う《+『名』〈場所〉+『of』+『名』〈物〉》
ransacker	略奪者
ransom	〈C〉身のしろ金 / 〈U〉(身のしろ金の支払いによる人質などの)解放,釈放 / 〈人質〉を身のしろ金を取って釈放する / 〈人質〉を身のしろ金を払って釈放させる
rant	大げさに言う / …を大げさに言う《『out』+『名,』+『名』+『out』》 / 大げさな話
ranter	熱弁家 / 大ぼら吹き
rantingly	熱狂的に / 大げさに
rap	(…を)『コツン』(『トン』)『とたたくこと』(『音』)《+『on』(『at』)+『名』》 / 《話》(人のしたことに対する)非難,とがめ《+『for』+『名』》 / 《俗》おしゃべり / …をコツン(トン)とたたく / 〈命令など〉をぴしゃりと言う《+『out』+『名』,+『名』+『out』》 / (…を)コツン(トン)とたたく《+『at』(on)+『名』》 / 《俗》互いに気持ちよく話す・〔俗〕 非難(する); 叱る; 〔俗〕 告訴[処罰,逮捕](する); 〔俗〕 おしゃべり(する); 〔米俗〕 ラップ(ミュージック); 〔米俗〕 ラップで歌う・「take the rap」で「甘んじて罰を受ける」 / 少しも(…しない)
rap session	(特にある特定の問題についての)グループ討論
rap sheet	(容疑や前科の)警察記録,前科記録
rapacious	強奪(ごうだつ)する;(特に金銭に対して)貪欲(どんよく)な
rapacity	貪欲(greed)
rape	〈婦女〉を暴行する,強姦(ごうかん)する / 婦女暴行,強姦 / セイヨウアブラナ(羊・豚などのえさになる)
raper	強姦者
rapid	『速い』,『すばやい』,敏速な / (坂などが)急な,険しい / 急流,早瀬
rapid transit	(大都市圏で地下鉄などによる)高速輸送
rapid-eye movement	レム(睡眠中,特に夢を見ている間の眼球の敏速な動き;《略》REM)
rapid-fire	速射の / やつぎばやの,立て続けの
rapidity	急速,敏速;速度
rapidly	『速く』,『すみやかに』
rapier	(フェンシングなどに用いる)細身の両刃の剣
rapiered	細身の剣(rapier)で突き刺れた
rapine	略奪,強奪
rapist	強姦犯人
rapper	(とびらの)ノッカー / コツコツとたたく人(物) / おしゃべり[な人] / 毒舌家,厳しい批評家
rapport	(人との)親密な関係,相互の信頼関係《+『with』(『between』)+『名』》
rapprochement	(国家間の)親善回復,和睦
rapscallion	ごろつき,無頼漢(rascal)
rapt	うっとりとした,没頭した;(…に)心奪われた《+『in』+『名』》
rapture	〈U〉『非常に幸福な』(『うれしい』)『気持ち』,大喜び,有頂天 / 《複数形で》(…について)大喜び,有頂天《+『at』(『about, over』)+『名』》
rapturous	大喜びの,有頂天の;熱狂的な
