radiology	X線学,放射線学,(特に)放射線医学
radioman	無線技師
radiometer	ラジオメーター,放射計
radiometric	{形} / 放射線測定器の(による)
radiophone	=radiotelepone
radioscopic	放射線(X線)透視検査の(による)
radioscopy	放射線(X線)透視による検査
radiosonde	ラジオゾンデ(気球からの電波で上空の気象を知らせる装置)
radiotelegraph	無線電信[機]
radiotelegraphy	無線電信法(術)
radiotelephone	無線電話,無線電話機
radiotelephony	無線電話
radiotelescope	電波望遠鏡
radiotherapist	放射線療法専門医
radiotherapy	放射線療法
radish	ハツカダイコン(皮の赤いサラダ用ダイコン)
radium	ラジウム(放射性金属;化学記号は『Ra』)
radium therapy	ラジウム治療法
radius	半径 / (行動・活動・能力なのどの)及ぶ範囲《+『of』+『名』》 / 橈骨(とうこつ)(上腕の骨の一つ)
radome	レーダーアンテナ収納ドーム
radon	ラドン(放射性元素;化学記号はRn)
raffia	〈U〉ラフィア(ラフィアヤシの葉の強い繊維;帽子・かごなどを作る) / 〈C〉ラフィアヤシ(raffia palm)
raffish	下卑た,けばけばしい / 放蕩(ほうとう),ふしだらな
raffle	富くじ販売(品物の代価を何人かで分けて出し,くじにあたった者がそれを得る) / …をくじで売る《+『off』+『名』,+『名』+『off』》
raffler	富くじ(raffle)販売人
raft	いかだ / =life raft / 〈海・川など〉をいかだで渡る;…をいかだで運ぶ / 〈材木〉をいかだに組んで運ぶ / いかだで行く / (…の)多数,多量《+『of』+『名』》
rafter	たる木(むねから軒先に平行に張り渡す木材)
raftered	(屋根や部屋の天井などで)たる木のある
raftsman	いかだ乗り
rag	『布切れ』;(特に)『ぼろ切れ』,ぼろくず / 《複数形で》ぼろ服 / (一般に)(…の)小片,切れ端,かけら《+『of』+『名』》 / 《話》ぼろ新聞 / 《米》〈人〉をしかる / 《英》〈人〉をからかう,〈人〉に悪ふざけする / 悪ふざけ,ばか騒ぎ / 大学生が資金集めのために練り歩く愉快な行列 / ラグタイム(ragtime)の曲
rag trade	(特に)婦人服産業
rag week	ラグ週間(英国の大学の年間行事で学生がばか騒ぎをする1週間)
raga	ラーガ(インド音楽の旋律の一つ;その曲)
ragamuffin	ぼろを着た子供(人)
ragbag	くず布入れ袋,残り布いれ / (…の)ごたごた,混乱《+『of』+『名』》
rage	〈U〉〈C〉『激怒』,憤激 / 〈U〉〈C〉《おもに文》(風・波などの)『猛威』,激しさ《+『of』+『名』》 / 〈U〉〈C〉(感情・欲望などの)激しさ,強烈さ《+『of』+『名』》 / 〈C〉(…に対する)熱望,熱情《+『for』+『名』(do『ing』)》 / 〈C〉《話》(一時的に)『大流行しているもの』 / (…に)『激怒する』,憤激する《+『against』(『about,at,over』)+『名』(do『ing』)》 / 〈風・波などが〉『荒れ狂う』,猛威をふるう
ragged	(衣服などが)『ぼろぼろの』,すり切れた;(人が)『ぼろ[服]を着た』 / 『ごつごつした』,でこぼこの,ぎざぎざの / (仕事・作品など)できが不ぞろいの / (毛・草などが)ぼうぼうの,手入れをしていない / (声などが)不ぞろいの
raglan	ラグランそで(raglan sleeve)のゆったりしたオーバーコート
raglan sleeve	ラグランそで(えりぐりからそで下にかけてゆるやかな裁ち方のそで)
ragout	ラグー(野菜と肉や魚の煮込み料理)
rags-to-riches	(形容詞)貧乏から金持ちになる[大成功する]・無一文[貧乏]から大金持ちになった・卑賎より身を起こした
ragtag and bobtail	社会のくず,ろくでなし
ragtime	ラグタイム(1920年代に米国で黒人の間から流行し始めたジャズのリズム・メロディー)
ragweed	ブタクサ(花粉は花粉熱(hay fever)の原因となることがある)
rah	ふれー,それっ(激励の掛け声)
raid	(…への)『襲撃』,奇襲;(警察の)手入れ《+『on(upon)』+『名』》 / …を急襲する;〈警察が〉…を手入れする / 急襲する
raider	急襲する人,不意の侵入者,不意の侵入軍,侵入機など
rail	〈C〉(かきね・柵(さく)などの)『横棒』,横木;手すり,らんかん,《複数形で》柵,かき / 〈C〉(鉄道の)『レール』 / 〈U〉(輸送機関としての)『鉄道』 / 〈C〉(物を掛けたりするための)横木,横棒 / …を横木(手すり)で囲む,に柵を付ける《+『in(off)』+『名』》 / (…を)ののしる,(…に)毒づく《+『at(against)』+『名』(do『ing』)》 / クイナ[の類](沢に住む短い翼と長い脚の小鳥)
railcar	レイルカー,気動車(ディーゼルあるいは電気で単独でも動かせる鉄道各車)
railhead	鉄道(線路)の終端 / レールの頭部
railing	〈C〉《しばしば複数形で》柵(さく);手すり;ガードレール / 〈U〉《集合的に》レール;レールの材料 / (…に)がみがみ言うこと《+『against(at)』+『名』》
raillery	(悪意のない)ひやかし,からかい
railroad	『鉄道』,鉄道線路 / 『鉄道会社』;鉄道施設 / 《米》…を鉄道で輸送する / 《話》〈法案など〉を大急ぎで(…を)通す《+『名』+『through』+『名』》 / 《米俗》〈人〉をでっち上げの証拠で牢に送りこむ
railroader	鉄道従業員,鉄道職員
railroading	鉄道敷設工事 / 鉄道事業 / 鉄道輸送 / (法律や法案を)強引に通過させること / 《話》強引に決めること
railway	《英》=railroad / 〈C〉《米》(一般に)線路,軌道
raiment	衣服,衣装
rain	〈U〉〈C〉『雨』,雨降り,降雨 / 《the rains》(熱帯地方などの)雨期,雨季 / 〈C〉《比喩(ひゆ)的に》《a ~》(…の)雨《+『of』+『名』〈複数〉》 / 《通例itを主語にして》『雨が降る』 / 雨のように降る / (…に)…を雨のように降らす《+『名』+『on』(『upon』)+『名』》
rain check	雨天引換券(戸外行事で雨天順延のとき渡す券)・(順延された催物やサービス商品売り切れに対して)後日あらためて招待すること・売り切れ特売品後日購買券 《バーゲンセールなどで商品が品切れになった時などに出す引換券や次の機会に同じ条件で買える予約券》・《口語》 (今は辞退しても後で要求する)後日の約束[招待,要求] 〔on〕
rain gauge	雨量計
rainbow	『にじ』
