chinaware	=china2
chinch bug	カメムシ(黒白まだらの小虫で穀類の汁を吸う)
chinchilla	〈C〉チンチラ(リスに似た南米の小動物) / 〈U〉チンチラの毛皮 / 〈U〉外とう用の厚地の毛織物
chine	背骨 / (料理用の)肉付きの背骨
chink	チリン,カチン(ガラス・金属がぶつかる音) / 〈金属やガラス〉をチリンと鳴らす / チリンと鳴る / 細い裂け目,すきま,割れ目 / …のすきまを詰める
chinless	あごのない(小さい,引っ込んでいる) / 《英話》弱い,おく病な
chino	〈U〉あや織り綿布(制服用などのじょうぶな布) / 《通例複数形で》あや織り綿布製のズボン
chinstrap	(帽子・ヘルメットなどの)あごひも
chintz	チンツ(模様を染めた厚地の綿布)
chintzy	チンツ(chintz)で飾った / 《話》安っぽい,ごてごてした
chinwag	気楽な会話,おしゃべり
chip	『木の切れ端』,削りくず;(石・陶器などの)『破片』,かけら / 欠けあと,ひび / 《複数形で》《英》=French fry / (食物の)薄切り / 干からびたもの;無味乾燥なもの / (ポーカーなどのゲームにお金の代りに使われる)チップ,点棒 / …を『欠く』,削る,そぐ《+『off』+『名,』+『名』+『off』》;(…から)…を欠く,そぐ《+『名』+『off』(『from』)+『名』》 / 欠ける,割れる《+『off』》;(…を)欠く,削る《+『at』+『名』》
chipboard	チップボード(材木くずを再加工した新建材の一種)
chipmunk	シマリス(背に縦じまがある;北米産)
chipped beef	くん製牛肉の薄切り
chipper	元気のよい,快活な,活発な
chipping	じゃり,砕石,石くず
chippy	《米話》売春婦 / 《英俗》そうざい屋(煮魚・ポテトチップスなどを売る)
chirography	書法,筆法
chiromancy	手相術
chiropodist	足治療の専門医
chiropody	podiatry
chiropractic	脊柱(せきちゅう)指圧療法,脊柱調整療法
chiropractor	脊柱指圧師
chirp	『チュッチュッ,チッチッ』(虫・小鳥などの鳴き声) / 『チュッチュッ』(『チッチッ』)『と鳴く』《+『away』》 / かん高い声で話す,にぎやかに話す / …をかん高く話す
chirpy	(人が)元気な,活発な
chirr,churr	チリッチリッ,キリッキリッ(コオロギ・キリギリスの鳴き声) / チリッチリッ(キリッキリッ)と鳴く
chirrup	〈小鳥などが〉チュッチュッとさえずる / (馬などを励ますために)チュッチュッとくちびるを鳴らす / チュッチュッ,チッチッ(鳥・虫の鳴き声)
chisel	のみ;(石・金属を彫る)たがね / …をのみで彫る / 《話》〈人〉をかたる,だます / のみで彫る / 《話》かたる
chiseled,chiselled	彫刻を施した / 彫りの深い,よく整った
chiseler, chiseller	彫刻する人 / 《話》詐欺師
chit	(飲食店の)請求伝票 / 短い手紙;メモ / 子供;(特に生意気な)小娘
chitchat	雑談,世間話
chitin	キチン質(節足動物の殻などを構成する角質の成分)
chitlin,chitling	chitterling
chitterling	豚の小腸
chivalrous	騎士道の,騎士道時代の / 騎士道的な;勇気がある;礼儀正しい
chivalry	(中世封建時代の)『騎士道』(knighthood),武士道(勇気・仁愛・礼儀・忠君などを特色としている) / 騎士団(body of knights)
chive	エゾネギ(サラダに用いる)
chivy, chivvy	〈人〉にがみがみ言う
chloral	クロラール(鎮静剤)
chlorella	クロレラ(緑藻(りょくそう)類の一種で食料として栄養価が高い)
chloride	塩化物
chloride of lime	さらし粉
chlorinate	(特に殺菌のために)…を塩素で処理する
chlorination	塩素処理;塩素殺菌
chlorine	塩素(化学記号は『CL』)
chlorite	緑泥石
chloroform	クロロホルム(麻酔薬として用いる) / …にクロロホルムで麻酔する
chloromycetin	クロロマイセチナ(抗生物質の一種;商標名)
chlorophyll,chlorophyl	葉緑素
chm	chairman
choc-ice	チョコアイス(チョコレートでくるんでアイスクリーム)
chock	(たる・車輪などの下にはさむ)止め木,くさび / (ボートを止める)止めくさび,;(甲板上にボートを載せる)敷き台,まくら木 / …をくさび(止め木)で止める
chockablock	(…で)ぎっしり詰まった《+『with』+『名』》
chockfull	ぎっしり詰まった;(…が)ぎっしりの《+『of』+『名』》
chocolate	〈U〉〈C〉『チョコレート』;《複数形で》『チョコレート菓子』 / 〈U〉チョコレート飲料 / 〈U〉チョコレート色 / チョコレート製の,チョコレト入りの / チョコレート色の
choice	〈C〉〈U〉(…を)『選択』,えり好み《+『of』+『名』》 / 〈U〉『選択権』,選択の機会,選択力 / 〈C〉『選ばれた物』(『人』) / 〈C〉えり抜きの物,最上等品 / えり抜きの,精選した
choir	《集合的に》(教会の)『聖歌隊』,(一般に)合唱団 / 《単数形で》教会の聖歌隊席
choir loft	(教会堂の)聖歌隊席
choir school	聖歌隊付属学校(教会で経営し一般教育を行う)
choir screen	教会堂の中で一般席と聖歌隊席を区別する仕切り
choirboy	聖歌隊の少年
choirmaster	聖歌隊の指揮者
choke	…を『息を止める』,を窒息させる / (…で)…をむせさせる,息苦しくする《+『名』+『with』(『by』)+『名』》 / (…で)…をいっぱいにする,ふさぐ,(…を)…にぎっしり詰める《+『名』+『up』(+『up』+『名』)+『with』+『名』》 / …を進行(動き)を止める / 『息が詰まる』,窒息する / (…で)むせぶ,息苦しくなる《+『with』+『名』》 / 〈U〉〈C〉窒息,息が詰まること / (パイプの中などの)閉塞(へいそく)部 / 〈C〉(電気器具の)チョークコイル / 〈C〉チョーク(ガソリンエンジンの空気調整装置)
choker	息を詰まらせる人(物);ふさぐ物 / 《話》チョーカー(首にぴったり巻きつける首飾り,牧師の服の立ちえり,礼装用の白ネクタイなど)
chokey	=choky
