civilized,civilised	『文明開化した』,文明の / 教養のある,上品な
civilly	礼儀正しく,ていねいに / 民法に従って
civvies	(軍服に対して)平服,背広
civvy street	《俗・まれ》(軍隊生活に対して)市民生活
ck.	cash / check / cook
cl	centiliter[s]
cl.	centiliter[s] / class / classification / clause / clearance / clerk
clabber	濃くてすっぱい牛乳・(凝固した)牛乳・〈牛乳が〉濃く固まる・酸敗凝固した牛乳・ 凝固する、酸っぱくなる、酸敗して固まる・固まらせる
clack	(堅いものを打ち合わせるような)カタッ(パチッ)という音 / カタッ(パチッ)と音がする / …にカタッ(パチッ)と音を立てさせる
clad	{形}覆われた / 着た / 被覆された / {動}(clothe の過去・過去分詞形)
claim	〈人が〉(当然の権利として)…を『要求する』,『請求する』,を自分の物だと主張する;(…から)…を要求する《+『名』+『from』+『名』》 / 〈人が〉…と『主張する』,断言する / 〈物事が〉…を必要とする,に値する / (…に対して…の)権利を主張する《+on(for)+名+against+名》 / 〈C〉(…に対する)(当然の)『要求』,請求《+for(to)+名》 / 〈C〉主張,断言,公言 / 〈U〉(物事を)要求する権利(資格),請求権《+『to』+『名』〈物事〉》;(人に)要求する権利《+『on』+『名』〈人〉》 / 〈C〉請求物;(特に入植者に与えられる)一区画の土地;(鉱業権などの設定された)払い下げ精求地
claimant	(権利の)要求者,主張者,(賠償などの)請求者;(裁判の)原告
clairvoyance	千里眼,透視力
clairvoyant	千里眼の,透視力のある / 透視力(千里銀)を持つ人
clam	ハマグリ / ハマグリを取る
clambake	ハマグリ焼き[パーティー](海浜でハマグリなど海の幸を焼いて食べる)
clamber	(両手足を使って)はい回る / よじ登る(はい回る)こと
clammy	冷たくしめっぽい
clamor,clamour	〈U〉〈C〉(…に対する)わいわいという騒ぎ《+『for』(『against』)+『名』》 / 〈C〉(一般に)騒がしさ,やかましさ / わいわいと騒ぎ立てる
clamorous	(抗議・要求・不満などが)大きく騒々しい / (人が)わいわいがやがや騒ぎ立てる
clamour	=clamor
clamp	かすがい,締めくぎ,万力 / {動}〈他〉 / …をかすがい(万力など)で締めつける / (土をかぶせて貯蔵してある)じゃがいも(根菜)の山
clampdown	(突然の)規制取り締まり
clamshell	二枚貝の殻 / ハマグリの殻のように開形する川底さらい機
clan	(特にスコットランド高地人の)氏族 / 《話》一家,一族,一門 / (共通の利害を持つ)一味,一党,閥
clandestine	(特に悪だくみなどで)内密の,内々の,陰での
clang	(鐘・よろい・金づちなどの)カーン(ガーン,ガチン)という音 / …をカーン(ガーン,ガチン)と鳴らす / カーン(ガーン,ガチン)と鳴る
clanger	へま,ぽか,大失策
clangor,clangour	(金属性の)カーンカーン(ガランガラン)という音
clangorous	カーン(ガーン,ガチン)と鳴る
clank	(重い金属などがぶつかって鳴る)ガチッ(ガチャッ,カチン,ガチャリ)という音 / …をガチャッ(ガチャガチャ)と鳴らす / ガチャッ(ガチャガチャ)と鳴る
clannish	氏族の,一族の / 党派的な,同族で固まった,排他的な
clansman	氏族の一員;同氏族の人
clanswoman	(女性の)氏族の一員
clap	(短く鋭い)ピシャリ(パチン,バタン,ガタン)という音 / 《単数形で》平手打ち / 〈手〉を『パチン』(『パチパチ』)『とたたく』 / …をピシャリ(パチン)とたたく(打ちつける) / (激励・あいさつとして)〈人〉をポンとたたく / (ある方向・状態に)…を急に動かす,さっと送る / (…に)手をたたく《+『for』+『名』》 / ピシャン(パチン,バタン)と音を立てる
clapboard	羽目板,下見板(雨が入らないように下から重ねてはる外壁用の板)
clapped-out	《補語にのみ用いて》(人が)疲れ果てた / (物が)使い古した
clapper	たたく人(物),拍手する人 / (鐘・ベルの)舌,(おしゃべりな人の)舌
clapperboard	かちんこ(映画の撮影で一つの場面の撮影ごとにカメラの前で開始の指示をする板)
clappers	拍子木
claptrap	その場かぎりの人気取りの言葉(記事,文章),はったり
claque	(公演の時に)雇われて拍手かっさいする連中
claret	クラレット(フランスのボルドー産赤ぶどう酒) / クラレット色(濃い紫がかった赤) / クラレット色の
clarification	浄化,純粋化 / 明解にすること
clarify	…を明らかにする,理解しやすくする / 〈液体・空気など〉を澄ませる,浄化する / 〈思想・意味などが〉分かりやすくなる,明解になる / 澄む,透明になる
clarinet	クラリネット(木管楽器)
clarinetist,clarinettist	クラリネット奏者
clarion	クラリオン(17‐18世紀の澄んだ音色の小らっぱ) / (クラリオンのように)かん高く澄みわたった
clarity	(思想・文体などの)明快さ,明瞭 / (音色の)清澄
clarts	ぬれた泥
clash	(物がぶつかり合う)『ガチャン』(『ガシャン』,『ジャーン』)『という音』 / (…間の)(意見・利害などの)衝突,抗争《+『between』+『名』》 / 『ガチャン』(『ガシャン』)『と音を立てる』;(…に)ガチャンとぶつかる《+『to』(『against, into』)+『名』》 / (…と)『合わない』,調和しない《+『with』+『名』(do『ing』)》 / (競技・戦闘で)(…と)相打つ,激突する《+『with』+『名』》 / …をガチャン(ジャン)とぶつける
clasp	(通例金属製の)『留め金』,尾錠,締め金 / (手を)『握り締めること』《+『of』+『名』》 / …を留め金で留める / …を握り(抱き)締める
clasp knife	=Jack knife1
