cherubic	ケルビムの[ような],天使のような / 丸ぽちゃでかわいらしい
cherubically	ケルビムのように,天使のように
cherubim	cherub1,2の複数形
chervil	チャービル(セリ科の植物;芳香があり葉はスープ・サラダ用)
chess	チェス,西洋将棋
chessboard	チェス盤(黒白交互に64の目がある)
chessman	チェスのこま
chest	(ふた付きのじょうぶな)『大箱』,ひつ / 《米》たんす(=chest of drawers) / (…の)たんすいっぱい《+『of』+『名』》 / 『胸[部]』,肺
chest of drawers	たんす
chesterfield	ベルベットのえりつき男子コート / 長いすの一種
chestnut	〈C〉クリの実 / クリの木 / 栗色 / 古くさい話
chesty	(特に女性が)胸の大きい / 胸の底から響きわたるような
cheval glass	長方形の姿見,縦鏡
chevalier	勲爵士(フランスのレジオンドヌール勲位(the Legion of Honor)などを与えられた人) / 《古》騎士(最下位のフランス貴族)
cheviot	シェビオット織り(粗いあや織りの毛織物)
chevron	〈C〉山形模様 / 山形の軍曹章(軍服の階級章)
chevy,chevvy	=chivy
chew	〈食物〉を『かむ』,かみくだく / …をかんで作る / かむ,かみこなす / かむこと;〈C〉かみ,一口
chewing gum	『チューインガム』
chewy	ねばっこくてかめない
chg.	change / charge
chi	キー(ギリシア語アルファベットの第22字Χ,χ;英語のchに相当)
chiaroscuro	〈U〉(絵画における)明暗の配分;明暗法 / 〈C〉(単色の)濃淡画
chic	(特に服装が)上品な,いきな / 上品,いき
chicanery	言い逃れ,ごまかし
chichi	いやにきらびやかな / ハイカラな,当世風の
chick	ひよこ,(一般に)ひな鳥 / (親愛の情をこめて)子供 / 《米俗》小娘
chickadee	アメリカコガラ(北米産シジュウカラ属の小鳥)
chicken	〈C〉『ひよこ』,(一般に)ひな鳥 / 〈C〉《米》(一般に)鶏(《英》fowl) / 〈U〉ひな鳥の肉,鶏肉 / 〈C〉《米話》青二才;小娘 / 〈C〉《俗》おくびょう者 / 鶏肉の / 小さい / 《俗》おくびょうな
chicken wire	亀甲(きっこう)金網(柵などに用いる網目が六角形の金網)
chickenfeed	はした金
chickenhearted	おくびょうな,気の弱い,小心の
chickenpox	水ぼうそう,水痘
chickpea	ヒヨコマメ(食用の豆)
chickweed	ハコベ(白い小さな花の咲くナデシコ科の低木)
chicle	チクル(ゴム質の乳状液;チューインガムの原料)
chicory	〈C〉チコリ(ヨーロッパ産の植物;葉はサラダに用いる) / 〈U〉チコリの根(その粉末はコーヒーに加える)
chide	…をたしなめる,叱る / たしなめる,叱る
chief	(組織・集団の)『長』;長官,局(部,課)長;(部族の)長 / 『最高位の』,長である / 『最も重要な』,おもな(most important; main)
chief constable	警察部長
chief inspector	警部
chief justice	裁判長《the Chief Justice》《米》最高裁判所長官
chief master sergeant	(米空軍の)特務曹長(最高位の航空下士官)
chief of staff	陸軍参謀総長 / 《Chief of Staff》《米》陸軍(空軍)参謀総長
chief of state	国家元首
chief petty officer	(米海軍・沿岸警備隊の)一等兵曹
chief superintendent	警視長官
chief warrant officer	(米陸軍の)上級准尉
chiefly	『主として』,おもに(mainly) / まず第一に,とりわけ
chieftain	(部族の)指導者;酋長;(盗賊などの)首領
chieftaincy	=chieftainship
chieftainship	指導者・首領(chieftain)の地位(任期,役目,統治,権威)
chiffon	シフォン(薄い絹または人絹の織物;ベールや婦人帽飾りなどに用いる)
chiffonier	西洋だんす(たけが高く上に鏡があるもの) / 戸棚のついた移動サイドテーブル
chifforobe	引出しつき洋服だんす
chigger	ツツガムシ(ダニの一種) / スナノミ(南米・アフリカ産のノミ)
chignon	シニョン(うなじにまとめて結った女性の束髪)
chigoe	スナノミ(皮膚に食い入る熱帯産のノミ)
chilblain	しもやけ,凍傷(frostbite)
