conviviality	陽気さ,酒宴好き;お祭り気分
coolheaded	冷静な,落ち着いた,沈着な
coolie,cooly	(中国の)苦力(クーリー),最下級労働者
cooling-off period	(労働争議などの)冷却期間
coolly	涼しく,冷たく / 冷静に,冷淡に,よそよそしく
coolness	涼しさ,冷たさ / 冷静,沈着 / 冷淡,よそよそしさ
coon	《話》アライグマ(raccoon) / 《俗》《軽蔑、侮蔑的》黒人
coon's age	長の間
coonhound	クーンハウンド(アライグマ猟用に改良された猟犬)
coonskin	〈U〉アライグマの毛皮 / 〈C〉アライグマの毛皮製品
coop	鶏かご,(家禽(かきん)を入れる)おり / 狭苦しい場所 / 〈家禽など〉をおり(かご)に入れる / 《通例受動態で》〈人〉を(狭い場所に)閉じ込める《+『up』+『名』,+『名』+『up』》 / 生活協同組合,生協(cooperative societyの略) / 生活協同組合売店(cooperative storeの略) / 共同生活自治寮;共同アパート(ビル)
cooperate	『協力する』,共同する
cooperation	『協力』,『協同』 / 協業
cooperative	協力的な,助けになる / 協力の,協同の / 協同組織の / 協同組合 / 共同アパート(コーポ)
cooperator	(共通の目的を持った)協力者,協同者
coordinate	対等の,等位の;(…と)同等の,同位の《+『with』+『名』》 / 同等の人(人物) / (数学の)座標 / 《複数形で》コーディネート(色やデザインを組合せた装い・家具) / 〈各部分〉を調和させる / 調和して動く
coordinate conjunction	等位接続詞(and,but,or,forなど)
coordination, co-ordination	同等[にすること] / (筋肉運動の)整合,釣り合い
coordinator	調和させる人(物)
coot	オオバン(短い翼の水鳥) / 《俗》(特に年取った)まぬけ,とんま
cootie	シラミ
cop	警官,ポリ公 / …を捕らえる
cop out	責任を回避する、逃げる、逃避する、あきらめる、約束を破る、手を引く、ずらかる、やめる、降参する、くたばる / 逮捕される、捕まる、しくじる、失敗する、脱落する、罪に服する、自白する / 自発的に罪状を認めることにより(重罪を逃れて)罪を軽くしてもらおうとする、卑怯なまねをする
cop-out	手を引くこと、責任逃れ、言い訳
cop.	copyright
copartner	(事業などの)協同者仲間
cope	対抗する;(難局に)対処する,打ち勝つ《+『with』+『名』》 / コープ(高位の聖職者が儀式の際に着用するマント)
copeck	=kopeck
copier	複写する人;複写機 / まねする人
copilot	(航空機の)副操縦士
coping	(へい・手すりなどの上に置く)かさ石,かさ木
copingstone	(れんがべいなどの上にかぶせる)笠石 / 《文》(作品・仕事などの)最後の仕上げ
copious	豊富な,多量の / (作家が)多作の
copolymer	共重合体(2種類以上の単量体の重合による高分子化合物)
copout	(決断すべき事の)放棄,断念;破約
copper	〈U〉『銅』(化学記号は『Cu』) / 〈C〉《英話》銅貨 / 〈C〉銅製品,銅器;《英》(洗濯用)銅の大がま / 〈U〉赤銅色 / 銅[製]の / 赤銅色の / …にをかぶせる,銅板を張る / ポリ公
copper beech	赤茶色の葉をもつブナの一種;ヨーロッパ産
copper sulfate	硫酸銅
copper-bottomed	《話》きわめて安全な,絶対間違いのない / (船が長期の航海に耐える)銅張り底の
copperas	緑礬(りょくばん)(青緑色の結晶で毛染め・インクの材料)
copperhead	北米産の毒蛇の一種;頭部が赤銅色 / 《『C-』》(南北戦争当時)南部に同情した北部人
copperplate	〈C〉〈U〉銅版 / 〈C〉銅版刷り
coppersmith	銅細工師
coppery	銅の[ような],銅を含んだ,銅色の
coppice	雑木林
copra	コプラ(ココヤシの胚乳を乾燥したもの)
copse	=coppice
copter	《話》=helicopter
copula	連辞(文の主語と補語をつなぐ語;be動詞のほかにbecome,seem,tasteなどを指することもある)
copulate	(…と)交接(交尾)する《+『with』+『名』》
copulation	性交,交接 / 連結,結合
copulative	連辞の,連辞の役をする / 性交の / 連結詞,繋辞(けいじ)
copy	〈C〉『写す』,複写,(絵などの)模写,複製;謄本,抄本 / 〈C〉(同一書籍・雑誌・新聞などの)『部,冊』 / 〈U〉(印刷の)原稿,草稿 / 〈U〉ニュースねた,原稿材料 / …を『写す,複写する』,模写する / …をまねた / (…から)…をこっそり写す,盗作する《+『名』+『from』(『off』)+『名』》 / (…から…へ)『複写する』《+『from』(『out of』)+『名』+『into』+『名』》 / (…を)こっそり写し取る《+『from』(『off』)+『名』》
copybook	習字の手本帳 / 《米》複写薄
copyboy	(新聞社の)使い走り
copycat	人のまねばかりする人(子供)
copydesk	(新聞社などの)編集チーム / 編集作業を担当する部署
copyedit	〈原稿〉を校正する
copyeditor	=copyreader / (新聞社の)原稿整理係,校正者
copyist	写字生,筆耕,謄写人,模倣者
copyreader	コピー作成者 / コピー担当者
copyright	著作権,版権 / …を著作権(版権)で保護する;…の著作権(版権)を取得する / 著作権(版権)のある
copywriter	原稿を書く人,(特に)広告文案家
coquetry	〈U〉(女が男に)こびを売ること / 〈C〉こび,しな,なまめかしさ
coquette	こびを売る女,男たらし
coquettish	(女が)男にこびを売る,なまめかしい,あだっぽい
cor	(驚いて)わあっ,えっ
cor anglais	=English horn
cor.	corner / cornet / coroner / corpus / correct / corrected / correction / correspondence / correspondent / corresponding
coracle	ヤナギの枝を編み獣皮を張った小船;アイルランドやウェールズの川・湖で用いる
coral	〈U〉サンゴ / 〈C〉サンゴ細工 / 〈U〉サンゴ色,深紅色 / サンゴ[製]の / サンゴ色の,深紅色の
coral reef	サンゴ礁
coral snake	サンゴヘビ(米大陸熱帯地方産の色鮮やかな毒蛇)
corbel	壁の上に設けられた小さな台 / 石造の装飾的な突き出し部
