communication satellite	通信衛星(《略》comsat)
communicative	話好きな,おしゃべりの / 通信の,伝達の
communion	〈U〉《文》親交;霊的交感 / 〈U〉共有 / 〈C〉宗教的な団体 / (また『Holy Communion』)〈U〉《しばしばCommunion》聖餐式,聖体拝領
communique,communiqué	公式発表,公報
communism	『共産主義』
communist	『共産主義者』 / 《しばしばC-》共産党員 / 共産主義[者]の;《しばしばC-》共産党の
communistic	共産主義[者]の,共産主義的な
community	〈C〉(文化的・歴史的遺産を共有する)『共同会社』,地域会社・共同体;(共通の特質・利害を持つ人たちによる)社会,…界 / 《the ~》『一般社会』,公衆(the pubic) / 〈U〉(財産などの)共用,共有(思想・利害などの)共通,一致《+『of』+『名』》 / 〈C〉(植物の)軍落,(動物の)群生
community antenna television	有線テレビ(《略》『CATV』)
community center	公民館
community chest	共同募金[運動]
community college	地域大学(多くは2年制の地域のための大学)
community property	夫婦の共有財産
community singing	(会合などで)みんないっしょに歌うこと
commutable	交換できる,取り替えられる
commutation	〈U〉交換,代替 / 〈U〉(支払い方法の)振替 / 〈C〉〈U〉減刑 / 〈U〉(電気の)整流 / 〈U〉《米》(主として定期券による)長距離通勤
commutation ticket	定期乗車券,回数券(一定の期間内に一定の回数だけ使える方式が普通;《英》season ticket)
commutative	(数式で,数が)置換できる
commutator	電流転換器,整流子
commute	《文》(別のものに)…を振り替える,切り替える《+『名』+『to』(『for』)+『名』》 / 〈刑罰・責務など〉を(軽いものに)代える《+『名』+『to』(『into』)+『名』》 / 〈電流〉を整流する / (…間を)定期(回数)券で通勤する《+『between』+『名』》,(…から…まで)定期で通勤する《+『from』+『名』+『to』+『名』》 / (定期券による)通勤
commuter	定期券使用者,(郊外からの)通勤者
comp.	comparative / compilation / compiled / compiler / compete / composition / compositor / compound
compact	『ぎっしり詰まった』,目詰んだ,緊密な;(体格が)引き締まった / こぢんまりして経済的な,小さくまとまった / (文体などが)簡潔な / …をぎっしり詰める;…を圧縮する / コンパクト(鏡,おしろい,パフの携帯用ケース) / 中型自動車(compact car) / 契約,盟約 / (…と)契約する《+『with』+『名』》
compacted	ぎっしり詰まった,密集した
companion	『仲間』,友 / (偶然の)連れ,相手 / (…の)対の一方《+『to』+『名』》 / 《おもに書名として》(…の)手引き,必携《+『to』+『名』》 / 付添い(住み込みで雇われて主婦・子女・病人などの相手をつとめる婦人) / 《英》《C-》最下位のナイト / (…と)親しくする《+『with』+『名』》
companion case	補助ケース(大型のスーツケースの予備として用いる同型同色の小型ケース)
companionable	人好きのする,つき合っておもしろい
companionship	交際,交わり;友情
companionway	(船の)甲板昇降口の階段
company	〈U〉『来客』,客 / 〈C〉『会社』(《略》(単数)『co.』,(複数)『cos.』;会社名の時は『Co.』) / 〈U〉交際,付き合い / 〈U〉『仲間』,友だち / 〈C〉《集合的に》(…の)『団体』,一行,一座,劇団《+『of』+『名』》 / 〈C〉(陸軍の)歩兵中隊 / 〈C〉《集合的に》(船の)全乗組員
company manners	よそ行きの態度(行儀)
company union	〈C〉企業別労働組合 / 企業内組合
compar	comparative
comparable	比較できる,類似点がある;(…と)比較できる《+『with』(『to』)+『名』》 / 匹敵する,肩を並べられる;(…に)匹敵する《+『with』(『to』)+『名』》
comparably	比較できるほどに,同等に
comparative	『比較の』,比較による / 比較的,かなりの / 比較級の / 比較級
comparatively	『かなり』,割合 / 『比較上』,比較してみて
