elbow grease	力仕事
elbowroom	自由に身動き(行動)できる空間(余裕)
elder	《おもに英》『年上の』,年長の / 上位の,上級の / 『年長者』,先輩 / 《通例the~》(部族・社会の)長老,元老 / (長老教会の)長老 / ニワトコ(白い花と赤・黒の実をつける低木)
elder statesman	(政界の)長老
elderberry	アメリカニワトコの実 / =elder
elderflower	西洋ニワトコの花
elderly	かなり年配の,初老の
eldest	『最も年上の』
elec.	electric / electrical / electricity
elect	(投票で)〈議長・議員など〉を『選ぶ』,『選挙する』 / 《文》…を選択する;(…すること)に決定する(decide)《+『to』 do》 / 《通例‐electの形で名詞に付けて》(まだ就任していないが)選挙された,当選した / 選ばれた / 《the~》選ばれるに値する人たち,エリート / 《時にthe~》選ばれた者,選民
election	『選挙』 / 当選
electioneer	選挙運動をする
electioneering	(戸別訪問・演説などの)選挙運動
elective	選挙で選ばれた,選挙による / 選択の(=optional) / 選択科目
elector	選挙人,有権者 / 大統領および副大統領選挙人
electoral	選挙[人]の;選挙人から成る
electoral college	(大統領および副大統領を選挙する)選挙人団
electoral roll	選挙人名簿
electorate	選挙民,有権者
electric	《名詞の前にのみ用いて》『電気の』;電気が引き起こす / 《名詞の前にのみ用いて》電気で動く,電動の;電気を起こす,発電の / 興奮させる,はらはら(ぞくぞく)させる
electric blanket	電気毛布
electric chair	(死刑用の)電気いす
electric charge	電荷,充電
electric current	電流
electric discharge	放電
electric eel	デンキウナギ
electric eye	光電管
electric fence	電流を通した鉄条網
electric field	電界,電磁場
electric furnace	電気炉
electric guitar	エレキ(電気)ギター
electric heater	電気ストーブ
electric shock	感電,電撃
electric shock therapy	(精神病の)電気ショック療法
electrical	電気と関係のある / 電気を扱う
electrical engineering	電気工学
electrical storm	雷雨
electrician	電気技師,電気工
electricity	『電気』;電流 / 電気学 / 極度の緊張(興奮)
electrification	帯電;充電;感電 / (鉄道などの)電化
electrify	…に電気を流す,を感電させる / …を電化する / …に衝撃を与える,をあっと言わせる
electro analysis	電気分析
electrocardiogram	心電図(《略》『ECG』,『EKG』)
electrocardiograph	心電計
electrochemistry	電気化学
electrocute	…を電気死刑に処する;感電死させる
electrocution	電気死刑;感電死
electrode	電極
electrodynamic	電気力の;電気力学の
electrodynamics	電気力学
electroencephalogram	脳電気図,脳波図
electroencephalograph	脳波計
electrolysis	電気分解,電解 / 電気分解法(腫瘍・毛根などを電気で破壊すること)
electrolyte	電解液;電解質
electrolytic	電気分解の / 電解質の
electrolyze,electrolyse	…を電気分解する
electromagnet	電磁石
electromagnetic	{形} 電磁の / 電磁気学の
electromagnetic wave	電磁波
electromagnetism	電磁気;電磁気学
electrometer	電位計
electromotive	電動の,起電の
electromotive force	起電力,動電力
electron	『電子』,エレクトロン
electron microscope	電子顕微鏡
electron tube	=vacuum tube
electron volt	電子ボルト(《略》Ev,ev)
electronic	『電子の』,エレクトロンの
electronic music	電子音楽
electronic surveillance	盗聴器などによる秘密の監視
electronics	電子工学
electroplate	…に(通例銀の)電気めっきをする
electroshock	電気ショック療法
electrostatic	静電気の
electrostatics	静電学
electrotherapy	電気療法
electrotype	電気版 / …の電気版を作る
eleemosynary	施し物の,慈善による
elegance	優美,上品,気品
elegant	(人・服装・デザインなどが)『優雅な』,上品な;(趣味・習慣などが)『風雅な』,高雅な / みごとな,すばらしい;要を得た,的確な
elegiac,elegiacal	(人が)挽歌(ばんか)形式の詩を書く(書いた);(詩が)挽歌形式で書かれた / 哀愁を帯びた
elegy	エレジー,哀歌,挽歌(ばんか);哀歌調の詩
elem.	element / elementary
element	〈C〉(物質を構成する)元素 / 〈C〉《修飾語[句]を伴って》(…の)(基本的な)『要素』,『成分』;《しばしば複数形で》構成分子 / 〈C〉(生物に固有の)生息場所,環境;(人の)適所,本領 / 〈C〉《古》四大(しだい)[元素](自然界の基本的構成要素と考えられていた地(earth)・水(water)・風(air)・火(fire)の4大要素の一つ) / 《the elements》(雨・風・雪などの)自然力・風雨,(特に)悪天候 / 《the elements》(学問の)原理,初歩,概論
elemental	『自然の力による』,自然の / (感情などが)自然の,抑制されない / 『基本的成分の』,要素の / 《古》四大(element)の
elementary	『初歩の』,基礎の
elementary particle	素粒子
elementary school	小学校
elephant	『ゾウ』 / (共和党の象徴としての)象
elephantiasis	象皮病(皮膚や肉が厚くなる熱帯病)
elephantine	象の / 象のように巨大な;のっそりした
elev.	elevation
elevate	(ある高さに)…を『上げる』,の程度を高める《『名』+『to』+『名』》 / (知的・精神的に)…を向上させる,高める / (…から…に)〈人〉を昇進させる《+『from』+『名』+『to』+『名』》
elevated	『高く上げられた』,高い / (思想などが)高尚な,気品のある / 高架鉄道
elevated railway	高架鉄道
elevation	〈U〉〈C〉《文》(…を…に)『高めること』,昇進(向上)させること《+『of』+『名』+『to』+『名』》 / 〈U〉《文》気高さ,高尚 / 〈C〉《文》隆起したところ;高地 / 《単数形で》(地表・海面からの)『高さ』;地上,海抜 / 〈C〉(建物などの)立面図,正面図 / 《単数形で》仰角
elevator	《米》『エレベーター』,昇降機(《英》lift) / (揚げ下ろしの設備のある)穀物倉庫 / (飛行機の)昇降舵(だ)
eleven	〈C〉(数の)『11』;11を表す記号(11,XIなど) / 〈U〉11時;11歳 / 〈U〉《複数扱い》11人,11個 / 〈U〉《単数扱い》(フットボールのチームなどの)11人(11個)一組 / 『11の』,11人の,11個の / 《補語にのみ用いて》11歳の
eleven-plus	11歳児進学試験(この試験の結果でgrammar schoolに進学するかsecondary modern schoolに進学するかを決める)
elevenses	(朝の)11時ごろにとる茶菓子(軽食)
