unmannerly	無作法な,ぶしつけな / 無作法に,ぶしつけに
unmarked	印(傷跡)のついていない / 注目されていない / 未評価の;未修正の,未添削の
unmarried	未婚の,独身の
unmask	…の仮面(変装)をはぐ / …の真相をあばく / 仮面を取る;正体(真相)を現す
unmatched	{形}比類のない / 無比の / 釣り合わない / 一致しない
unmeaning	無意味な,くだらない・(顔・表情などが)うつろな
unmeasured	無限の,際限のない
unmentionable	口に出せない;口にするのも恥ずかしい / 下着;ズボン
unmerciful	無慈悲な,残酷な
unmindful	(…を)気にかけない,(…に)むとんじゃくな《+of+名(wh-節)》
unmistakable	まぎれもない,明らかな
unmistakably	まぎれもなく,明らかに
unmitigated	和らげられない,軽減されない / 正真正銘の,全くの
unmoral	道徳に関係がない,道徳を超越している
unmoved	(人が)動じない,冷静な;(目的・決意などが)確固とした
unnamed	名のついてない;名ざしされていない
unnatural	不自然な;異常な / 人情に反する,極悪非道の / 人工的な,わざとらしい(artificial)
unnecessarily	不必要に,無用に,よけいに
unnecessary	『必要のない』,無用の,よけいな
unnerve	…の勇気(気力)を失わせる;…の冷静さを失わせる
unnoticed	人目につかない;注目されない;顧みられない
unnumbered	番号の付いていない / 数えきれない,無数の
unobserved	観察されない,気づかれない / (規則・慣習などが)守られない
unobtrusive	控え目な,目立たない
unoccupied	(家・敷地などが)占有されていない,人の住んでない / (人が)暇な,ぶらぶらしている / (領土などが)占領されていない
unofficial	非公式の,公式でない;私的な
unopened	開かれていない;開封されていない;(書籍が)ページを切っていない
unorganized, unorganised	未編成の,まとまっていない / 組合に加入してない
unorthodox	正統でない,伝統に則さない
unpack	開いて…の中身を取り出す / (…から)…を取り出す《+名+from+名》 / …から荷[など]を降ろす
unpaid	未払いの,未納の / 無給の,無報酬の
unparalleled	並ぶもののない,比類(前例)のない
unparliamentary	議院内の慣行に反する,議院内であるまじき言動をとる
unperson	(特に政治的に)失脚した人,左遷された人
unpick	〈ししゅう・編物など〉をほどく;〈着物など〉の縫い目をほどく
unpin	…からピンを抜く,…をピンを抜いてゆるめる / 〈人〉の着物を脱がせる
unplaced	(競技・試合などで)入賞していない,等外の
unplayable	(クリケットで)球がうまく飛んで打ち返されない:(ゴルフボールの位置が)打球不可能な位置の / (競技場が)競技[総行]に不適当な / (破損や録音状態が不良で)レコードが満足にかけられない / (曲が難しすぎて)演奏できない
unpleasant	『不愉快な』,不快感を与える,いやな
unplug	〈電気器具〉のプラグを抜く / …の栓(せん)を抜く
unpopular	人気(人望)のない,不評の;はやらない
unpopularity	不人気,不評判
unpopulated	居住者のいない,人の住んでいない
unpracticed, unpractised	経験の乏しい,技量の足りない,未熟な / 実用にならない,実地に試みていない
unprecedented	先例のない,みぞうの
unpredictable	予言できない,予知不可能な
unprejudiced	偏見のない,公平な
unpremeditated	前もって考えてない,故意でない
unprepared	準備なしの,即席の;(…の)用意(覚悟)ができていない《+for+名》
unpretentious	もったいぶらない,見えを張らない,控え目の
unprincipled	無節操な,定見のない;不道徳な,破廉恥な
unprintable	印刷(出刷)に不適当な
unprofessional	職業の習慣(倫理)に反する / 専門的でない,専門外の,しろうとの
unprofitable	利益がない,もうからない / 成果(実り)のない,むだな
unprompted	(特に言動が)自発的な,自由意志の
unprotected	保護されていない,保護者のない / 無防備の,無装甲の / 神の保護を受けない,保護されていない; (セックスで)コンドームをつけない
unprovoked	(特に悪い行為が)正当な理由(動機)のない,いわれのない
unqualified	《補語にのみ用いて》(…する)資格のない《+to+do》;(…に)不適任な《+for+名》 / 制限されない,無条件の;全くの
unquestionable	疑いのない,明白な;非の打ち所のない
unquestionably	疑いなく,確かに,明白に
unquestioned	疑われない,問題にされない;尋問されない
unquestioning	疑わない;無条件の
unquiet	平静でない,落着きのない,不安な
unquote	引用文を終わる
unravel	〈編物など〉を解く;〈もつれ〉をほどく / 〈難問など〉を解明する / ほどける
unread	(書籍などが)まだ読まれていない / 学識のない
unreadable	読んでおもしろくない,退屈な / 読めない,読みにくい,判読できない
unready	準備ができていない
unreal	実体のない;非現実的な,架空の / 信じられぬほどすばらしい
unrealistic	(作風などが)非現実主義の,非写実的な / (計画などが)現実的(実際的)でない
unreasonable	(人・行為などが)『理性を欠く』,無分別な / 法外な,けたはずれの
unreasonably	無分別に,不合理に,法外に
unreasoning	理性を働かさない,思慮のない
unreconstructed	頭の切替えのできない,旧思想の
unregenerate	悔い改めない,更生しない / 強情な,がんこな
unrelated	無関係の;語られていない
unrelenting	(人・決意などが)ゆるがない,強固な;容赦しない;(…が)ゆるがない《+『in』+『名』》 / (速度・強さなどが)減少しない,緩まない
unreliable	当てにならない,信頼できない
unrelieved	単調さを破るもののない,変化のない
unremitting	休む(絶える)ことがない,根気強い;(…に)根気強い《+in+名》
unrequited	報われない,無報酬の
unreserved	遠慮のない,率直な / 制限(制約)のない,無条件の
unreservedly	遠慮なく,率直に;無条件に
unresponsive	反応(手ごたえ)のない
unrest	(政治的・経済的な)不安,不穏;(心の)落着きのなさ,不安,心配
unrestrained	抑制されない,遠慮のない / 任意の
unrip	…を切り開く,引き裂く;〈織物・編物など〉をほどく 明らかにする
unripe	(果実などが)未熟の / (時機などが)早すぎる;(人が)未発達の
unrivaled, unrivalled	無比の,抜群の;(…では)無比の《+『in』+『名』》(incomparable)
unroll	〈巻いた物〉を広げる,開く / …を現す,明らかにする,明示する / 開く,広がる
unruffled	平静(冷静)な,平穏な;(水面などが)波立たない,静かな
unruliness	従順でないこと,がんこ,気まま,無法
unruly	規則に従わない,気ままな,始末に負えない
unsaddle	〈馬〉から鞍(くら)をはずす / 〈人〉を落馬させる
unsafe	危険な(dangerous)
unsaid	unsay の過去・過去分詞 / 言わない,話さない
unsalted	無塩の
unsanitary	非衛生的な,不潔な
unsatisfactory	(物事が)不満足な,不十分な
unsatisfied	満たされない,満足していない;(…に)満足していない《+『with』(『by』)+『名』》
