umbel	散形花序
umber	アンバー(黄褐色の天然鉱物顔料) / こげ茶色 / こげ茶色の
umbilical	へその
umbilical cord	へその緒,臍帯(さいたい)
umbilicus	へそ
umbra	本影(日食・月食で太陽光線がさえぎられてできる地球または月の影の部分) / (一般に)影がかかった部分,影
umbrage	(特に侮辱されたときの)不快,立腹
umbrella	傘(かさ),こうもり傘,雨傘,日傘 / (一般に,傘状の)保護物,影響力
umiak	ウミアック(エスキモーの木製皮張りの舟)
umlaut	母音変異(後続母音または半母音の影響による母音変化) / ウムラウト符号
umpire	(野球・テニス・バドミントン・バレー・クリケットなどの)審判員,アンパイア / …の審判をする / 審判をする
umpteen	多くの(many)
umpteenth	十何度目か数えられないほどの
un,'un	〈C〉《話》やつ / 奴(= one)(口語)(非標準)
un-American	(風俗・習慣・主義などが)米国ふうでない,非アメリカ的な
unabashed	恥ずかしがらない,平然とした
unabated	衰えない,弱らない
unable	(…することが)『できない』
unabridged	(本などが)省略のない,完全な
unaccented	アクセント(強勢)のない
unaccompanied	連れのない,ただひとりの;(…に)伴われない《+by(with)+名》 / (音楽演奏が)無伴奏の
unaccountable	説明できない,不思議な / (…に)責任がない《+for+名》
unaccountably	説明のできないほど,奇妙に
unaccustomed	《補語にのみ用いて》(…に)慣れない,不慣れの《+to+名》 / 《名詞の前にのみ用いて》普通でない,いつにない
unadopted	採り入れられていない 非管理道路の
unadorned	飾り気のない,素朴な
unadulterated	混ぜ物のない,純粋の
unadvised	無分別な,軽率な
unaffected	心を動かされない,影響を受けない;(…に)影響されない《+by+名》 / 気どらない,ありのままの,心からの
unaided	助けを受けない
unalienable	=inalienable
unalloyed	(感情などが)純粋な(pure),本物の
unalterable	変えられない,不変の
unanimity	(意見などの)完全な一致,合意
unanimous	(人か)『一致の』,同意見の / (票・意見・行動などが)『満場一致の』
unanimously	満場一致で
unannounced	来訪を告げずに,ふいに現われた
unanswerable	答えられない / 反論できない
unapproachable	(人が)話しかけにくい,親しみを持てない
unarmed	武器のない,武装しない;無防備の
unasked	頼まれてもいないで[で]
unassailable	攻撃できない,難攻不落の / 否定できない,反論できない
unassuming	控え目な,謙虚な
unattached	接続(連結)されていない / 婚約(結婚)していない
unattended	付き添いのない / 世話をされていない
unavailing	効果のない,むだな
unavoidable	避けられない,避けがたい
unaware	気づかない,知らない
unawares	不意に,思いがけなく
unbalance	…の平衡を失わせる / 〈心の安定〉をくずさせる;〈人〉を精神的に動揺させる
unbalanced	平衡(バランス)のとれていない,不安定な / (心が)平静さを失った / 未決算の,未清算の
unbar	〈戸・門〉からかんぬきを抜く / 《比喩的に》…を開く
unbearable	耐えられない,がまんできない
unbearably	耐えられないほど[に]
unbeatable	打倒(征服)できない
unbeaten	負けたことのない / 踏まれていない / 打って作られていない;よく混ぜられていない
unbecoming	似つかわしくない,不適当な;(…に)似つかわしくない《+to(for)+名》
unbeknown	(…に)知られない《+to+名》 / (…に)知られずに《+to+名》
unbelief	信じないこと,不信仰
unbelievable	信じられない
unbelievably	信じられないほど
unbeliever	信じない人,信仰のない人
unbelieving	信じない;懐疑的な / 信仰心のない
unbend	〈曲がったもの〉を真っすぐに伸ばす(straighten) / …の緊張を解く,をくつろがせる / 〈帆〉をゆるめる,はずす;〈船のロープ〉をゆるめる / くつろぐ,打ち解ける / 〈曲がったものが〉真っすぐになる
unbending	(性格・意志など)断固とした,がんこな / 曲がらない,堅い / くつろがせる
unbent	unbend の過去・過去分詞
unbiased, unbiassed	偏見のない,公平な
unbidden	招かれない / 命令によらない,自発的な
unbind	〈結んだもの・包帯など〉を解く,ほどく(unfasten, loose) / …を釈放する
unblessed	神の恵みを受けない,祝福されない / 罪深い,邪悪な
unblushing	恥知らずの,ずうずうしい / 赤面しない
unbolt	〈戸・門など〉のかんぬきをはずす,をあける
unborn	まだ生まれない / 後世の
unbosom	(人に)〈悩みなど〉を打ち明ける《+名+to+名〈人〉》
unbound	unbind の過去・過去分詞 / 結ばれていない / (本などが)とじてない,製本されていない
unbounded	果てしない,無限の(boundless)
unbowed	(ひざ・腰が)曲がっていない / 《文》屈服しない
unbreakable	壊れない,割れない
