uracil	ウラシル(核酸の加水分解で得られる針状結晶)
uraemia	=uremia
uranic	ウランの,ウランを含む
uranium	ウラン,ウラニウム(放射性金属元素;化学記号はU)
urb	(隣接の郊外住宅地に対しての)市街地域
urban	都市(都会)の / 都市に住む
urban guerrilla	都市ゲリラ(政治的地下組織で暴動や誘拐(ゆうかい)などに関係する)
urban renewal	都市再開発,都市改造
urban sprawl	スプロール現象(都市が郊外へ向かって不規則に広がっていくこと)
urbane	都会ふうの;洗練された;礼儀正しい
urbanite	都市居住者,都会人
urbanity	〈U〉都会ふう;洗練;礼儀正しさ / 〈C〉《複数形で》礼儀正しい作法(ふるまい)
urbanization, urbanisation	(地方の)都市化;(言葉・態度などの)洗練化,都会化
urbanize, urbanise	〈地方〉を都会化する
urbanology	都市学,都市問題研究
urchin	いたずら小僧,わんぱく小僧 / =sea urchin
urea	尿素(にょうそ)
uremia	尿毒症
ureter	尿管(じん臓から膀胱(ぼうこう)に尿を送る筋肉質の管)
urethra	尿道
urge	〈人・馬など〉を『駆り立てる』,〈進行・活動など〉を急がせる,早める / 〈人〉を『促す』,せきたてる:《urge+名〈人〉+to do》〈人〉をせかして…させる / (人に)…を『力説する』,強く主張する(支持する,すすめる)《+名+upon(on)+名〈人〉》 / 《しばしば an ~》強い衝動,駆り立てる欲望:《urge for(to)+名》…への衝動
urgency	さし迫ったこと,切迫,緊急
urgent	『急を要する』,緊急の / 『しつこい』,うるさく頼む
uric	尿の,尿に関する(含まれている),尿から得られる
urinal	(壁に備えつけた男子用の)小便便器 / しびん
urinalysis	尿検査,検尿
urinary	尿の;泌尿(ひにょう)[器]の
urinary bladder	膀胱(ぼうこう)
urinate	小便する
urine	尿,小便
urn	つぼ,(特に)骨つぼ / (大型の)コーヒー(紅茶)沸かし
urogenital	泌尿生殖器の
urology	泌尿器学,泌尿科学
ursine	クマの,クマに関する,クマに似た
urticaria	じんましん(蕁麻疹)
us	《we の目的格》『我々を(に)』,『私たちを(に)』
usable, useable	使用できる,用いられる
usage	〈U〉(物の)『用い方』,用法 / 〈C〉〈U〉(言語の)『慣用[法]』,語法
use	〈道具など〉を『使う』,用いる / …を『費す』,消費する / 《副詞[句]を伴って》〈人など〉を『扱う』 / …を自分の都合のいいように利用する / 〈U〉『使用』,利用 / 〈U〉『役に立つこと』,効用,利益(usefulness) / 〈U〉使う必要(場合),使用する機会,入り用 / 〈C〉〈U〉使用の目的,用途 / 〈U〉使用する権利 / 〈U〉使い方 / 〈U〉(身体などを)使う能力
useable	=usable
used	『使い古しの』,使用した / (…に)『慣れている』《+to+名(doing)》 / 『…するのが常だった』,よく…したものだ / 『以前は…した』
useful	『役に立つ』,有用な
useless	『無益な』,むだな / 『役に立たない』,使いものにならない
user	使用者,消費者 / 財産権[の使用]
usher	(教会・劇場などの)『案内人』;《おもに英》(法廷などの)門衛 / 《米》(結婚式の)先導役 / (…へ)…を案内する《+名+to(into, in)+名》
usherette	(教会・劇場などの)女子案内係(役)
usu.	usual / usually
usual	『いつもの』,通例の,おきまりの
usually	『普通は』,通例,通常,いつもは
usurer	高利貸し
usurious	高利貸しの;高利をむさぼる
usurp	〈権利・地位など〉を横領する,強奪する
usurpation	(権利・地位などの)強奪,横領
usurper	強奪者,横領者
usury	高利貸し業 / (法外な・違法な)高利
utensil	『用具』,器具;道具
uterine	子宮の / 同母異父の
uterus	子宮(womb)
utile	有益な,役に立つ
utilitarian	功利的な;実用の,実利の / 功利主義の / 功利論者,功利主義者
utilitarianism	功利説(主義)(「最大多数の最大幸福」を主義とする倫理学説)
utility	〈U〉『役に立つこと』 / 〈C〉《しばしば複数形で》(ガス・電気・水道などの)『公益事業』
utilization, utilisation	利用
utilize,utilise	…を『利用する』,役立たせる
utmost	『最大の』,最高の / 『最も遠い』,いちばん端の / (程度・数量・能力などの)最大限度,極限
utter	『全くの』,完全な / 〈音声・言葉など〉を『発する』,口に出す / 〈考え・意見など〉を述べる,表現する
utterance	〈U〉(言葉を)発すること,発声 / 〈U〉発表力,話しぶり / 〈C〉言葉,表現;言説,意見;(言語学で)発話
utterly	『全く』,すっかり,完全に(completely)
uttermost	最も遠く離れた,最もはずれの / 最大限の,極度の / 最大限度,極限
uvula	口蓋(こうがい)垂,のどびこ
uvular	口蓋垂の(に関する),口蓋垂音の 口蓋垂音
ux.	(法律で)wife [ラテン語 uxor より]
uxorious	奥さん孝行の,妻に甘すぎる
