undressed	着物を脱いだ,裸[同然]の
undue	過度の,はなはだしい / 不当な,不法な
undulant	波打つ,波のように動く,波状の
undulate	〈麦畑などが〉波のようにうねる / 〈地面が〉起伏する / …を波立たせる,うねらせる
undulation	〈U〉(水面などの)波動,うねり;(土地の)起伏 / 〈C〉連続する波形(起伏)の一つ
unduly	過度に,はなはだしく;不当に
undying	不死の,永遠の,終りのない
unearned	働いて得たのではない / (賞罰などが)受けるに値しない,不相応な / まだ得ていない,未収の
unearth	…を発掘する,掘り出す / (調査などで)〈事実・証拠など〉を明るみに出す,あばく,明らかにする
unearthly	この世のものとは思われない,超自然的な / 無気味な,怪しい / 《話》途方もない
unease	不安,懸念
uneasily	不安のうちに,心配して;窮屈そうに
uneasiness	不安,心配;窮屈,堅苦しさ
uneasy	(人が)『心の落ち着かない』,不安な,心配な / (物事が)『落ち着きのない』,心地よくない,窮屈な / 『ぎごちない』,不自然な
uneconomic	むだづかいをする,浪費の / 不経済な
uneducated	無教育の,無学の
unemployable	(年齢・欠陥などで)雇えない,雇用できない
unemployed	仕事のない,失業した / 利用してない,遊ばせてある / 失業者
unemployment	失業,失職 / 失業者[数]
unending	果てしない,永遠の
unenlightened	あることによく通じていない / 無学の,無知の / 偏見をもつ
unenviable	あまりうらやましくない,あまり欲しくない
unequal	(量・質・価値などが)等しくない / つり合わない,かたよった,不公平な / (力・能力などが)不適当な;(…に)適さない,耐えられない《+to+名》 / 不規則的な,均一でない
unequaled, unequalled	匹敵するものがない,無比の
unequivocal	あいまいでない,明確な
unerring	誤りのない,的をはずれない,確実な
unessential	本質的(重要)でない / 本質的(重要)でないもの
uneven	まっすぐでない,平行でない / (表面などが)平らでない,なめらかでない,でこぼこのある / (性質・色・形などが)一様でない,むらのある / つり合わない,かたよった,不公平な / 奇数の(odd)
uneventful	波乱のない,平穏無事な
unexampled	前例のない,空前の
unexceptionable	非の打ちどころがない,申し分のない
unexceptionably	申し分なく
unexceptional	例外でない,通例の / 例外を認めない / 《unexceptionableと混同して》非の打ちどころがない
unexpected	『予期しない』,思いがけない
unexpectedly	『思いがけなく』
unexpectedness	思いがけないこと,不意,意外
unexplained	説明されない
unexplored	探検されない,前人未踏の;未調査の
unfailing	尽きることのない,絶えない / 信頼できる / 不変の,一定の
unfair	不公平な,不当な,かたよった / (商取引などが)公正でない,不正の
unfaithful	不誠実な,誠意のない / 不貞の;(…に)不貞な《+to+名》 / 不正確な
unfaltering	とまらない,とどまることを知らない / ちゅうちょしない
unfamiliar	『よく知らない』,未知の見慣ない,聞き慣ない / 《補語にのみ用いて》(物事を)よく知らない,未知の《+with+名》
unfasten	〈結んだもの・締めたもの〉を解く,緩める;開ける / 〈自〉 / 〈結んだものなどが〉解ける,緩む
unfathomable	深さが測れない,底なしの / 不可解な,はかりしれない
unfathomed	測り知れない,深遠な
unfavorable, unfavourable	不利な,都合の悪い,逆の / (批評などが)好意的でない,批判的な / (要求などに)否定的な
unfavorably, unfavourably	不利に;好意的でなく
unfeeling	無感覚の / 無情な,冷酷な(cruel)
unfeelingly	冷淡に,無情に;容赦せずに
unfeigned	偽らない,真実の(genuine)
unfettered	束縛されない,苦労のない;自由な,(責任などから)解放された
unfinished	未完成の / (塗装などの)仕上げをしていない,荒削りの
unfit	《補語にのみ用いて》(物事が)『適当でない』,ふさわしくない / 適任でない,不適格な / (人が)不適当な,欠陥がある / (…に対して)〈人〉を不適当(不適格)にする《+名〈人〉+for+名》
unfix	…をはずす,緩める / 〈心・気持ち〉をぐらつかせる
unflagging	衰えない,疲れを知らない
unflappable	あわててばたばたしない,冷静であわてない
unflappably	ばたばたせずに,あわてずに
unfledged	(ひな鳥が)まだ羽がはえそろっていない / 経験不足の,未熟な
unflinching	ひるまない,しりごみしない;断固たる
unfold	〈折りたたまれたもの〉を『広げる』,開く / 〈計画など〉をしだいに明らかにする(知らせていく) / 〈花びらなどが〉『広がる』,開く / 〈物事が〉(しだいに)はっきりしてくる,分かってくる;展開する
unforeseen	予知しない,思いがけない(unexpected)
unforgettable	忘れられない,いつまでも記憶に残る
unforgettably	忘れられないで,いつまでも記憶に残って
unforgivable	許せない,勘弁できない
unformed	まだ形をなさない,定形のない / 未発達の,未熟の
unfortunate	『不運な』,不幸な / 不適当な,不適切な / 不運な人,不幸な人
unfortunately	『不幸にも』,運悪く,あいにく
unfounded	根拠のない,事実無根の(groundless)
unfrequented	人がほとんど(全然)いない,人通りの少ない,人けのとだえた
unfriendly	友情のない,不親切な / 都合の悪い,不利な
unfrock	(修道士・司祭などから)〈聖位・職権など〉を剥奪する《+名+from+名》
unfurl	〈巻いた物〉を広げる,開く / 〈巻いた物が〉広がる,開く
unfurnished	家具の備えてない
ungainliness	(動作・態度などの)ぶ格好さ,見苦しさ
ungainly	(動作が)ぶかっこうな,ぶざまな
ungenerous	物惜しみをする,けちけちする / 不当な,不正な
unglued	取り乱した;狂気の
ungodly	神を恐れない,不信心の・《話》ひどい,無茶な・(時刻が)とんでもない・罪深い
ungovernable	統御できない,抑えきれない
ungracious	無作法な,粗野な
ungrammatical	文法的に正しくない
ungrateful	ありがたく思わない,恩知らずの / いやな,不快な
ungrudging	物惜しみしない,快く与える,心からの
ungrudgingly	気前よく,けちけちしないで,心から
unguarded	油断した,不注意の,うっかりした / 保護されていない,無防備の
unguent	軟こう;こう薬
unguentary	軟膏の(に関する)
ungulate	ひづめのある,有蹄の / 有蹄類
unhallowed	聖別(祝別)されない,あがめられない / 《文》悪に染まった,邪悪な
unhand	…から手を放す
unhappily	《文全体を修飾して》不運にも,運悪く,あいにく / 不幸に,みじめに
unhappiness	不幸,不運
unhappy	『悲しい』,気の滅入る / (物事が)不幸な,不運な,みじめな / (物事が)適切でない,適当でない,まずい
unharmed	傷害を受けていない,無事な(safe)
unharness	〈馬・ロバなど〉の馬具を取りはずす
unhealthiness	不健康,不健全
unhealthy	(人が)健康でない,病弱の;健康でないことを示す / (場所・気候などが)健康によくない / 道徳上よくない,不健全な
unheard	聞こえない / 聞いてもらえない,弁明を許されない
