handwriting	〈U〉肉筆,手書き / 〈C〉筆跡,書体
handwritten	手で書いた
handy	『取り扱いに便利な』,手ごろな,重宝な / 《話》すぐ手元の,すぐ使える(at hand) / (人が)『器用な』,手先の達者な;(…を)巧みに使う《+『at』(『about, with』)+『名』》
handyman	(特にアパート・事務所などの)雑役夫,便利屋
hang	《通例副詞[句]を伴って》(…に)…を『掛ける』,下げる,つるす / (ちょうつがいなどで)〈ドアなど〉を取り付ける《+『名』+『on』+『名』》 / …を絞殺する;(犯罪で)…を絞首刑にする / 《話》《damnの遠回しな語として,ののしりの言葉や強意表現に用いて》 / 〈頭など〉を垂れる / (絵などで)〈部屋・壁など〉を『飾る』,覆う《+『名』+『with』+『名』》;〈壁紙など〉を壁に張る / 《副詞[句]を伴って》(…に)『掛かる』,垂れる,ぶら下がる / (ちょうつがいなどで)〈戸などが〉取り付けられている《+『on』+『名』》 / 首をつる,首つり自殺をする;(犯罪で)絞首刑になる《+『for』+『名』(do『ing』)》 / 掛かりぐあい,下がりぐあい,垂れ方
hang gliding	大きなたこを利用した空中滑走,ハングライダー
hang-up,hangup	気掛かり,コンプレックス
hangar	(飛行機の)格納車
hangdog	恥じた;しょんぼりした,おどおどした;卑劣な
hanger	物をつるす道具,洋服掛け,つる手 / (…を)つるす(掛ける)人
hanger-on	居候;取り巻き[連中]
hanging	〈U〉〈C〉絞首刑 / 《複数形で》カーテン,幕;壁紙 / 絞首刑に値する / 掛かっている,ぶら下がった
hangman	絞首刑執行人
hangnail	(指の)ささくれ,逆むけ
hangout	たまり場
hangover	二日酔い / 残存[物],遺物
hank	(糸の)かせ / (糸・髪の毛などの)束,輪
hanker	(禁じられたもの・手に入らないものを)切望する,(…に)あこがれる
hankering	(…に対する)切望,あこがれ《+『for』(『after』)+『名』》
hankie, hanky	ハンカチ
hanky-panky	ちょろまかし
hansom	つじ馬車(御者台は後部に一段高くなっている)
hap	運,幸運
haphazard	偶然 / 偶然の;でたらめの / 偶然に;むやみに
hapless	不運な,不幸せな
haploid	(生物の染色体が)単相の(染色体の一組についていう)
haply	多分
haporth	=halfpennyworth / わずか,少量
happen	〈でき事が〉『起こる』,発生する,生ずる / 『偶然(たまたま)…する』 / 《『happen』+『to』+『名』》〈でき事が〉…に起こる,降りかかる / 恐らく
happening	《しばしば複数形で》事件,でき事 / 《おもに米》(劇などで)即興的な展開
happenstance	偶然のでき事
happily	『幸福に』;愉快に,楽しく / 幸いにも,幸運にも(luckily)
happiness	『幸福』,幸運;うれしさ / (表現・用語・翻訳などの)巧妙,適切
happy	『幸福な』,幸せな / 《名詞の前にのみ用いて》(でき事などが)めでたい / 《補語にのみ用いて》楽しい,うれしい / (表現・用語・翻訳などの)適切な,巧みな
happy event	赤ちゃんの誕生
happy medium	中間的な行動,可もなく不可もないやり方
happy-go-lucky	のんきな,その時しだいの
harangue	熱弁,演説,(時に)長い非難攻撃の演説 / …に向かって熱弁をふるう / 熱弁をふるう
harass	〈人〉を悩ませる,苦しめる,困らせる(worry) / 〈敵〉をしつように攻撃する
harassment	悩ませること;悩むこと;悩み[の種]
harbinger	(…の)先駆者; 先触れ,前兆《+『of』+『名』》 / …の先駆者となる,前触れをする
harbor,harbour	港 / 避難所,隠れ場所 / 〈人〉に避難所を与える,〈犯人など〉をかくまう / (心の中に)〈考え・感情など〉を抱く / 〈船が〉港に停泊する
harborage,harbourage	〈C〉(船の)避難所,停泊所,〈U〉避難,保護
harbour,harbor	港 《harbor は自然の地形によって波風を避けるに適した港,port は商船などの出入りする商港》・避難所,隠れ場,潜伏所・〈罪人などを〉かくまう・〈感情・思想などを〉心に抱く・〈船が〉港に避難[停泊]する
