hillbilly	辺境出身者,(特に米国南部の)奥地の住民(出身者);山男
hillock	小さい丘;塚
hillside	丘の斜面
hilltop	丘(小山)の頂上
hilly	丘の多い / 丘(小山)のような,険しい
hilt	(刀剣の)つか,柄
him	『彼を』,『彼に』 / 《話》彼(=he)
himself	《強意用法》 / 《[代]名詞と同格に用いて》『彼自身』,彼自ら / 《再帰用法》《動詞・前置詞の目的語として》『彼自身を』(『に』)
hincty	お高くとまった,うぬぼれた,つんとした, 白人
hind	雌ジカ,(特に)3歳以上の雌のアカシカ / (特に動物の)後ろの,後方の,後部の / 農場労働者
hinder	後方の,後部の / 〈物事〉を『運行を妨げる』;〈人〉を『じゃまする』
hindermost	=hindmost
hindmost	いちばん後ろの,最後部の
hindquarter	(牛・羊などの体の)後四半部の肉・後部・臀部・《複数形で》(動物の足を含めた)腰から下の部分
hindrance	〈C〉(…を)じゃまする人(物),(…の)妨害物《+『to』+『名』》 / 〈U〉妨害,じゃま
hindsight	あと知恵
hinge	(ドアなどの)『ちょうつがい』 / ちょうつがいのような働きをするもの(ひじやひざの関節など);かなめ / …にちょうつがいを付ける,をちょうつがいで取り付ける / チョウツガイで働く / (…に)よる,(…)次第である《+『on』(『upon』)+『名』(do『ing』)》
hinged	ちょうつがいの付いた
hint	『暗示』,ほのめかし / 《しばしば複数形で》(…に)役に立つ情報,(…に対する)心得,(…の)手がかり《+『for』(『on』,『to』)+『名』(do『ing』)》 / (…の)微量,わずか《+『of』+『名』》 / …を『ほのめかす』 / (…を)ほのめかす《+『at』+『名』》
hinterland	後背地(港の背後に横たわる産業上重要な関係をもつ地域) / (都市・町から離れた)奥地
hip	『腰』[の一方の側],ヒップ / = hip joint / 野バラの実 / (最新流行の思想・スタイルなどに)よく通じた《+『to』+『名』》 / 応援などの音頭をとるかけ声
hip huggers	(股上(またがみ)が浅い)しりにぴったりのズボン
hip joint	股(こ)関節
hipbath	腰湯,座浴
hipbone	座骨,無名骨《腸骨・坐骨・恥骨からなる》
hipflask	腰ポケットにはいる酒類の小びん
hipped	腰の(ある) / 《複合語を作って》「腰が…のような」の意を表す / (…に)熱中した,夢中の《+『on』+『名』》
hippie	(また『hippy』)ヒッピー族の人(既成の文化・社会に無関心で,特異な服装をした若者たち)
hippo	= hippopotamus
hippodrome	(古代ギリシア・ローマの戦車競技などの)競技場 / 馬術演技場,曲馬場
hippopotamus	カバ
hippy	=hippie
hipster	〈C〉《俗》最新の流行に敏感な人,いきがっている人 / 《複数形で》しりにぴったりのズボン
hire	〈人〉を『雇う』 / (金を払って)〈物〉を『借りる』,賃借する / 〈物〉を賃貸しする;〈自分〉が金で雇われる《+『out』+『名』,+『名』+『out』》 / 借り賃,使用料;雇い賃,給料 / (物の)『賃貸し』,賃借り;(人の)雇用 / (人が)雇われて
hire purchase	=installment plan
hireling	金目当てに働く人;雇い人 / 金を目当てに働く;雇われて働く
hirsute	毛深い(hairy) / (ひげも髪も)伸ばしほうだいの
his	《heの所有格》『彼の』 / 《heの所有代名詞》『彼のもの』 / 《of hisの形で》彼の
hiss	『シュッと音をたてる』 / (非難などを表して)(…に)シーッという《+『at』+『名』》 / (非難などを表して)〈人〉にシーッという / (人に)〈非難など〉をシーッといって表す《+『名』+『to』+『名』〈人〉》 / シュッ(シーッなど)の音(声)
hist	(注意・沈黙を促して)シーッ
histamine	ヒスタミン(子宮収縮・血圧降下の薬)
histogram	(統計の)度数分布図,柱状図表
histology	組織学(顕微鏡を用いて生物組織の構造を研究する)
histolysis	組織分解
historian	歴史家,歴史学者
historic	『歴史に残る』,歴史的,歴史上有名な / 記録のある,歴史時代の
historic[al] present	(文法で)歴史的現在(過去のでき事を現在起こっているかのように描写するために用いる現在時制)
historical	『歴史の』,史学の / 『史実に基づく』,歴史上の
historically	歴史的に,歴史上
historicity	史的確実性,歴史的実事性,史的典拠
historiographer	(宮廷・機関などの)史料編纂(さん)官,修史官
historiography	歴史学の方法;歴史記述,歴史に関する文献
history	〈U〉『歴史』;歴史学 / 〈C〉『歴史書』 / 〈C〉(人の)『経歴』,来歴;(物事の)過去,由来 / 〈C〉史劇
histrionic	(動作などが)芝居がかった / 演技の;演劇の
histrionically	芝居がかって / 演技(演劇)に関して
histrionics	《複数扱い》芝居がかったしぐさ(言葉) / 《単数扱い》演出,演劇
hit	〈人・物〉を『打つ』,なぐる / …に『ぶつかる』,衝突する / (…に)〈自分の体〉を『ぶつける』《+『名』+『against』(『on』,『upon』)+『名』》 / 《話》…に達する / …にひどい打撃(結果)を与える / 《米》〈事が〉〈人〉にふと思い浮かぶ;〈人が〉…をふと見つける / (野球で)〈安打〉を打つ;(クリケットで)〈…点〉を取る / (武器などで)(…を)『打つ』,攻撃する《+『at』+『名』》 / (…に)『ぶつかる』,衝突する《+『against(on, upon)』+『名』》 / 襲う,急に現れる / 『打撃』,命中 / ヒット,大当たり,大成功 / (野球で)ヒット,安打(base hit) / 風刺,当てこすり
hit man	(プロの)殺し屋
hit parade	ヒット曲レコードの売り上げ順位表
hit the bull's eye beautifully	見事に的のど真ん中に命中する
hit-and-run	〈C〉ひき逃げ(事件) / {形}ひき逃げの / 〈C〉すぐ立ち去る行為
hit-or-miss	成り行きまかせの,行きあたりばったりの
hitch	(かぎ・ロープ・皮ひもなどで)(…に)…をつなぐ《+『名』+『to』+『名』》 / …をぐいと動かす,引き上げる《+『up』+『名』,+『名』+『up』》 / (…に)引っかかる《+『on(onto)』+『名』》 / =hitchhike / 引っかけ結び / (進行などの)思いがけない支障(障害) / 急激な動き,ぐいと引くこと
hitchhike	通りがかりの自動車に無料で便乗して旅行する,ヒッチハイクする
hitchhiker	ヒッチハイクする人
hither	こちらへ(here)
hitherto	今まで,これまで(until now)
hitter	打者
hive	ミツバチの巣箱 / 巣箱に住む一群のミツバチ / 人のおおぜい忙しく集まる所;がやがや集まっている群衆 / 〈ミツバチ〉を巣箱に入れる / 〈みつ〉を蓄える
hives	発しん,じんましん
hm	=hum
ho	ほう(驚き・賞賛・冷笑などの発声);おーい(呼びかけ・注意などの発声) / 娼婦・売春婦:(whoreの発音をくずしたもの)
