well-intentioned	善意の,善意から出た
well-knit	(構造・人間の体格が)がっちりした
well-known	『有名な』,周知の
well-lined	(財布などが)お金でふくらんだ / (胃袋が)食べすぎてふくれあがった
well-made	姿がかっこうのよい;念入りに作られた
well-mannered	行儀のよい,上品な
well-meaning	(人が)善意の,善意をもつ
well-meant	(言葉・行為が)善意から出た
well-nigh	ほとんど
well-off	裕福な / 《補語にのみ用いて》(…が)たっぷりある《+for+名》 / 《補語にのみ用いて》万事好調な
well-oiled	{形}よく油のさされた / 円滑に動く / 《話》酒に酔った
well-ordered	よく整理された,秩序のある
well-preserved	よく保存された / (老人が)年を感じさせない,若々しい
well-read	(人が)多読の,博識の;(…に)精通した《+in+名》
well-rounded	(おもに女性が)ふくよかな / (経験などが)変化に富んだ
well-spoken	(人が)言葉づかいが丁寧な / うまく(適切に)言われた / 《英》許容できる英語発音の
well-thought-of	評判のよい,好評な
well-timed	好機の,適時の
well-to-do	金持ちの,裕福な(rich)
well-tried	何度も実証済みの
well-turned	巧みに表現された
well-wisher	(他人の)幸福を願う人,好意を寄せる人;(主義などの)支援者
well-worn	使い古した,着古した / 月並みの,陳腐な
wellborn	家柄(生まれ)のよい
wellhead	泉,水源 / (物事の)源
wellington	ひざまでのゴム長靴
wellspring	(無限に供給できる)源泉
welsh	(人のかけ金・借金を)踏み倒す《+on+名》 / (人の約束を)破る《+on+名》
welsher	かけ金を踏み倒す人 / 義務を回避する人
welt	(靴の底と上皮との)継ぎ目皮 / 縁飾り,へりかがり / みみずばれ
welter	(泥などの中を)転がり回る,のたうち回る《+in+名》 / 《a welter》(…の)ごたごたした群れ,混乱したもの《+of+名》
welterweight	(ボクシングなどの)ウェルター級選手
wen	(特に頭部の)こぶ,はれもの
wench	(特に田舎の)女の子,娘;淫婦
wend	《文語》[～ one's way で]行く,旅行する 古期英語「まわる」の意; go の過去形はこの過去形 《古》 went から
went	goの過去
wept	weepの過去・過去分詞
were	《be の直説法一,二,三人称複数の過去形および二人称単数の過去形》 / 《be の仮定法過去》
weren't	were not の短縮形
werewolf, werwolf	(ヨーロッパの伝説に出てくる)ときどき狼に変身する人間,狼つき
wert	were(主語が thou のときの be 動詞の直説法および仮定法の過去形)
weskit	チョッキ
west	《the west》『西』;(…の)西方,(…の)西部《+of+名》 / 《the West》『西洋』,西欧,欧米 / 《the West》《米》西部地方 / 《the West》(共産圏に対して)西側[諸国],西側陣営 / 『西の』,西部の,西向きの;西からの / 『西へ』,西に;西方に
westbound	西へ向かう
westerly	《名詞の前にのみ用いて》西への,西向きの / (風が)西からの / 西に,西方へ;(風が)西から
western	『西の』;西へ向かう;(風などが)西からの / 《しばしば Western》『西洋の』 / 《しばしば Western》西部の,(特に)米国西部の / 《通例 Western》(共産圏に対して)西側の / 西部劇;米国の開拓時代を描いた小説
westernmost	最西の,西端の
westward	西に向かう,西方への / 西へ
westwards	=westward
wet	『ぬれた』,湿った,乾いていない / 『雨でぬれた』;雨降りの / 《米》非(反)禁酒主義の / 《英話》《軽べつして》(人が)気が弱い,湿っぽい,からっとしていない / 《the wet》(特に雨後の)湿った地面 / 《the wet》『雨』;雨天 / 《しばしば a wet》《英俗》『酒』 / …を『ぬらす』,湿らせる
wet blanket	(消火用の)ぬれ毛布 / 座を白けさせる人(物),けちをつける人
wet cell	湿電池
wet dock	係船ドック(満潮時に水門を閉め一定水位に保つドック)
wet dream	(夢精を伴う)性的な夢
wet nurse	(他人の子に乳をやる)乳母
wetback	(合衆国への)密入国メキシコ人労働者
wether	去勢した羊
wetsuit	(保温用の,ぴったりした)潜水服
wetting	(雨・波で)じっとりぬれること,びしょぬれ
wetting agent	湿潤剤(布・皮・紙の表面の浸透力を高める薬品)
whack	…をピシッと打つ / ピシッと打つこと,強打;ピシッという音 / 《単数形で》《話》試み / 《単数形で》《話》(公平,平等な)分け前
whacked	疲れ果てた
whacker	とてつもなく大きいもの / 大うそ,大ぼら
whacking	ピシャッと打つこと / たいへんな,すごい
whacky	=wacky
whale	鯨: 捕鯨に従事する 〔話〕 非常に大きい[すごい]もの (a ～ at [for, on] …の得意[熱心]な人) / (棒・むち・手などで)…を打つ,打ちのめす ひどく打つ / …を打ち負かす
whaleboat	(オールでこぐ)海難救助船[もと捕鯨船だった]
whalebone	鯨のひげ
whaler	捕鯨船;捕鯨者
whaling	捕鯨
wham	ドカーン(グァーン)[という音] / 激突;強打 / ドカーンという音を立てる / …をグァーンと強打する
wham, bam, thank you ma'am	女性の満足を考慮せずに行う手短な性行為
whammy	縁起の悪いもの,縁起悪くする力,ジンクス
wharf	波止場,埠頭
wharfage	波止場(埠頭)使用料
wharfinger	波止場の所有者(管理人)
wharves	wharf の複数形
what	《疑問代名詞》 / 《情報・種別・数量などを求めて》『何』,どんなもの(こと) / 《職業・地位・国籍などを尋ねて》どんな人,何をする人 / 《相手の言葉が聞きとれないときなどにその反復を求めて》 / 《関係代名詞》 / 《名詞節を導いて》『…するもの(こと)』 / 《副詞的に働く挿入節を導いて》『…なことには』 / 《A is to B what C is to Dの形で比例関係を表す》…が…に対するごとく / 《疑問形容詞》『何の』,何という,どの,どんな / 《感嘆文で》『何という』 / 《関係形容詞》…『するものは何でも』;…だけの / いかに,どれほど / 《驚き・怒り・当惑など》『なんだって』,なに,えっ,おや
what's	what is, what has の短縮形
whate'er	=whatever
whatever	《関係代名詞 what の強調形》…『するもの(こと)は何でも』 / 《譲歩節を導いて》『いかに…でも』,どんなこと(もの)でも / 《疑問代名詞》《驚きを表して》『いったい何が(を)』 / 《関係形容詞》『どんな…でも』,いかなる…でも / 《譲歩節を導いて》『どんな…でも』 / 《all, any, no などを伴う名詞の後に付けて》『どんな(少しの)…でも』
whatnot	〈U〉《話》何やかや,いろんなもの / 〈C〉(こっとう品・書籍などを置く)飾りだな
whatsoe'er	=whatsoever
whatsoever	whatever の強調形
wheal	(腫れてかゆい)虫さされ,(蚊の)刺し跡 / みみずばれ(=wale)
wheat	小麦
wheat germ	小麦の麦芽(ビタミンが多く,他の食品に添加される)
wheaten	小麦の;小麦[粉]製の
wheedle	〈人〉にうまいことを言って(…)させる《+『名』〈人〉+into doing》 / 〈物〉を(人から)うまいことを言って巻き上げる《+『名』〈物〉+out of+『名』〈人〉》
wheel	『車輪』 / 《the ~》(自動車の)『ハンドル』,(船の)『舵輪』(steering wheel) / (製陶用の)ろくろ(potter's wheel);紡ぎ車(spinning wheel) / 《複数形で》(…の)推進力,原動力;機関,機構《of+『名』》 / 回転[運動],旋回[運動] / 《複数形で》《俗》足,自動車,車 / 《場所を表す副詞[句]を伴って》〈物〉を車で運ぶ / 〈車〉を動かす / 車(車輪)で進む / くるりと回る,向きを変える《+around(about)》 / 〈鳥が〉輪を描く / 《英》〈隊列が〉旋回する
wheelbarrow	(土・砂などを運ぶ1輪の)手押し車,猫車
wheelbase	(車の)ホイールベイス,軸距(前後の車軸間の距離)
wheelchair	〈C〉車いす
wheeler	トラック運搬者 / 《おもに英》車大工 / 使役馬(牛)
wheeler-dealer	(実業界の)策士,やり手
wheelhouse	(小型旧式船の)操舵(そうだ)室
wheeling	(車にとっての)道路状態 / サイクリング
wheelless	車輪のついてない;(船など)舵輪(だりん)のない
wheels	自動車,運搬車
wheelwright	(特に昔の)車大工,車輪製造(修理)人
