water-repellent	(防水でなく)撥水加工の,水をはじく加工の
water-resistant	(完全防水でなく)耐水の
water-skiing	水上スキー
waterbed	ウォーターベッド(水を入れたビニール袋を用いたマットレス)
waterborne	水上に浮かぶ / 水上輸送の
watercolor, watercolour	〈U〉〈C〉水彩絵の具 / 〈C〉水彩画 / 〈U〉水彩画法
watercourse	水流,川,小川 / 運河
watercraft	《集合的に》船,船舶
watercress	オランダガラシ(サラダなどに用いる)
watered silk	波紋織の絹(moire)
waterfall	『滝』,瀑布(ばくふ)(cascade) / (滝のように)どっとくるもの
waterfowl	〈C〉水鳥 / 《集合的に》(特に)狩猟用水鳥(ガン・カモなど)
waterfront	(湖岸・川岸の)土地 / (都市・町の)海岸(河岸(かし))通り;(特に)波止場
waterhole	水たまり,小池 / 酒場
watering can	じょうろ
watering hole	バー,ナイトクラブ
watering place	《英》温泉場;海水浴場 / (動物などの)水飲み場,水たまり
waterline	(船の)喫水線
waterlogged	(土地が)水浸しの,水のしみ込んだ / (材木が)水をたっぷり吸った / (船が)浸水した
waterman	〈C〉船頭;こぎ手
watermark	(川・湖などの)水位標 / (紙の)透かし模様 / 〈紙〉に透かし模様を入れる
watermelon	スイカ
watermill	水車;(水車式)製粉場
waterpower	水力
waterproof	防水の,水を通さない / 〈U〉防水布 / 〈C〉《英》レーンコート / …を防水する
watershed	分水界 / (川の)流域
waterside	(海・湖・川の)水辺,水ぎわ
waterspout	排水管(口),雨どい / たつ巻
watertight	水の漏らない,防水の / (議論などが)水も漏らさない,完ぺきな
waterway	(船の通る)水路 / 水道
waterwheel	水車
waterworks	水道,給水設備 / 給水所
watery	水の;水の関連した;水を含んだ / (色が)薄い,淡い / (食物などが)水っぽい / (目が)涙ぐんだ
watt	ワット(電力の単位)
wattage	ワット量
wattle	〈U〉〈C〉《おもに英》編み枝[細工](垣根・壁・屋根などに使う) / 《複数形で》編み枝材 / 〈C〉(七面鳥などののどにぶら下がっている)肉垂 / 〈垣根など〉を編み枝で作る / 〈小枝など〉を編む
wattle and daub	小舞(網代組みに粘土を塗りつけた昔の壁) = water and dab
wave	(前後左右・上下に)『揺れる』,ひらめく,ひらひらする / (波形に)『起伏する』,うねる / (手・旗などを振って)『合図する』,手を振る;(…のために,…に向かって)手を振る《+in(to, at)+名》 / (に向かって)‘…を'振る,揺り動かす,ひらめかす《+名+at+名》 / 《方向を表す副詞[句]を伴って》(手・旗などを振って)〈人〉に『合図する』 / ‘…を'起伏させる,うねらせる:〈頭髪〉をウエーブさせる / 『波』,波浪 / (…の)『波のような動き』,うねり《+of+名》 / (感情・景気などの一時的な)高まり,強まり;(寒暑の)急激な波《+of+名》 / (手・旗などを)振ること,振ってする合図;(…を)振ること《+of+名》 / (髪の)縮れ,ウエーブ / (光・音・電気などの)波
wave front	(横波・音波などの)等相面(線),波面 波頭 波先
waveband	(ラジオ・テレビなどの)周波帯
wavelength	〈C〉(音・光などの)波長
wavelet	小波,さざ波
