prescriptive	指示する,規定する / 時効による;長年の使用(慣行)によって得られた
presence	〈U〉(人がそこに)『居ること』,(物が)『あること』 / 〈U〉(会合などへの)『出席』,列席;同席,立ち合い / 〈U〉(特に高貴な人の)面前 / 〈U〉《形容詞を伴って》(特に堂々とした)風さい,態度,ふるまい(bearing) / 〈C〉《単数形》(身近に感じられる)気,霊,幽霊,もののけ
present	《通例補語として,また名詞の後に用いて》(…に)『出席している,居合わせている』《+『at(in)』+『名』》 / 《補語にのみ用いて》)ある場所や物の中などに)『ある』,含まれている《+『in』+『名』》 / 《補語にのみ用いて》(心・記憶に)ある,浮かんでいる《+『in』+『名』》 / 《名詞の前にのみ用いて》現在の,今の;当面の差し当たっての / 《the~》『現在』,今 / 〈U〉〈C〉(文法で)現在時制;現在形 / 〈C〉『贈り物』,『プレゼント』(gift) / 〈U〉《the+》ささげ銃(つつ)の姿勢 / 〈贈り物・賞など〉を『象る』,贈呈する;〈人〉に贈る / (…に)〈勘定書・小切手・書類など〉を『提出する』,渡す《+『名』+『to』+『名』》 / (…に)…を出して見せる,示す《+『名』+『to』+『名』》 / (…に)〈人〉を『紹介する』,引き合わせる(introduce)《+『名』+『to』+『名』》 / 〈作品〉を公開する;〈劇・映画など〉を上演(映)する;〈人〉を出演させる / 〈事が〉(…に…を示す,…を原因となる《+『名』+『to』+『名』》 / 〈銃〉をささげ銃(つつにする
present participle	(文法で)現在分詞
present perfect	(文法で)現在完了[形]
present tense	(文法で)現在時制
present-day	《名詞の前にのみ用いて》現代の,今日の
presentable	人前へ出せる(出られる) / 上演(出演)できる
presentably	人前に出して見苦しくないように,体裁よく
presentation	〈U〉〈C〉(…の)贈呈,贈与《+『of』+『名』》 / 〈U〉〈C〉(公式の)紹介,披露(ひろう);(劇・映画などの)上演 / (一般に)発表;提出,提示
presenter	テレビ(ラジオ)ショーの司会者
presentiment	(…の)(悪い)予感,胸騷ぎ《+『that節』》
presently	『やがて,まもなく』 / 《おもに米》現在,目下(at present)
presentment	〈U〉(…の)贈呈,進呈;提出,提示《+『of』+『名』》 / 〈U〉(…の)記述,陳述《+『of』+『名』》 / (劇の)上演,演出
preservable	(食品などが)保存のきく;維持できる
preservation	(…の)保護,保存,保管;(食料などの)貯蔵《+『of』+『名』》
preservation order	文化財建造物等保護法(規則)
preservative	保存の,保存力のある / 防腐剤
preserve	《文》(損傷・危害などから)…を『守る,保護する』(save)《+『名』+『from』+『名』(do『ing』)》 / …を『維持する』,保持する,持続する / (冷凍・かん詰め・化学的処理などで)〈食物〉を保存する / 〈森林・鳥・魚など〉を保護する / 《通例複数形で》(通例びん詰めで保存する)果物の砂糖煮;ジャム / 禁猟区,禁漁地 / (特定の個人・グループの)領分,領域;限定品
preserver	保護に用いる物,防具 / 保護(守護)者
preset	…を前もって調節する(合わせる)
preshrunk	(布が)防縮加工ずみの
preside	(会合などで)『司会をする,議長をつとめる』《+『at』(『over』)+『名』》;(会食などで)主人役をつとめる《+『over』(『at』)+『名』(do『ing』)》 / (事業などを)管理する,支配する,主宰する《+『over』+『名』(do『ing』)》
presidency	《the presidency》大統領(総裁,学長,社長など)の職(任期) / 〈U〉《しばしばPresidency》米大統領の職務(地位)
