proselyte	改宗者;転向者 / =proselytize
proselytize,proselytise	〈人〉を改宗させる,転向させる / 改宗する,転向する
proselytizer	改宗(転向)させる人
prosody	韻律論,作詩法
prospect	〈C〉《通例単数性で》(高い位置からの)(…の)『光景』,眺め《+『of』+『名』》 / 〈U〉(…の)『予想』,展望《+『of(for)』+『名』(do『ing』)》 / 《複数形で》(…の)『成功の見込み(機会)』《+『of(for)』+『名』(do『ing』)》 / 〈C〉見込みのある人,有望な人 / 〈C〉《米》顧客になりそうな人 / (金などを求めて)〈ある地域〉を探査する《+『名』+『for』+『名』》 / (金などを求めて)探査する《+『for』+『名』》
prospective	未来の,将来の / 予想される,見込みのある
prospector	(鉱山などを)探査する人
prospectus	(会社の)設立趣意書;(事業・学校などの)内容説明書;内容見本
prosper	『繁栄する』,成功する / (神が)…を繁栄させる,成功させる
prosperity	『繁栄』,成功
prosperous	『繁栄している』,成功している
prostate	前立腺(せん)
prostatitis	前立腺炎
prosthesis	〈U〉人工補綴(ほてい);〈C〉人工補綴物(義足・義歯など)
prosthetics	《単数・複数扱い》(外科・歯科の)補綴(ほてい)術
prostitute	売春する人 / …に売春させる / 〈名誉など〉を金のために売る
prostitution	売春 / (金のための,…の才能などの)悪用《+『of』+『名』》
prostrate	うつ伏せに[倒れて],身を伏して / 力を失った,疲れはてた / 《文》(国が)疲弊(ひへい)して / …を倒す / 《prostrate oneself》…をひれ伏させる,屈服させる / 《受動態で》…を圧倒する,打ちひしぐ
prostration	〈U〉〈C〉身を投け出すこと,ひれ伏すこと / 〈U〉意気消沈,(体が)ぐったりしていること
prosy	(話・文章などが)だらだらした,退屈な / 散文[体]の,散文的な
protactinium	プロトアクチニウム(放射性金属元素;化学記号は『Pa』)
protagonist	(劇の)主役,(小説の)主人公 / (主義などの)主唱者;(運動などの)指導者
protean	(ギリシア神話の海神Proteusのように)変幻自在な
protect	(危険・損害などから)…を『守る』,『保護する』《+『名』+『from』(『against』)+『名』(do『ing』)》 / 〈国内産業〉を保護する
protection	〈U〉(…から)『保護すること』,『守ること』;保護されていること《+from(against)+名》 / 《単数形で》(…を)防いでくれる人(物),保護者《+『from』(『against』)+『名』》
protection racket	(暴力団の)ショバ代取り立て
protectionism	保護貿易政策
protectionist	保護貿易論者
protective	保護の,保護する;(…を)保護する《+『toward』+『名』》
protective coloration	(動物の)保護色
protective custody	保護拘置
protective tariff	保護関税[率]
protector	(…から)保護する人(物),保護者《+『against』(『of』)+『名』》
protectorate	〈C〉保護国,保護領 / 〈U〉保護関係
protege	被保護者
protein	蛋白(たんぱく)質
protest	(…に対する)『抗議』,異議の申し立て;(少し軽い意味で,…への)反対,不満《+『against』+『名』》 / (…に対して,…について)『抗議をする』,異議を申し立てる《+『about』(『against』)+『名』(do『ing』)+『at』(『to』)+『名』》 / (不信に対して,また不満・反対があって)…を『主張する』,『断言する』 / 《米》…に抗議する(protest against)
protestation	〈U〉(…に)抗議すること《+『against』(『about』)+『名』》 / 〈C〉(…について)主張(断言)すること《+『of』+『名』》,(…であると)主張すること《+『that節』》
protester	異議申し立て人,抗議する人 / 主張(断言)する人
prothalamion	祝婚歌,祝婚詩
protocol	〈U〉外交儀礼 / 〈C〉プロトコル(通信規約など)
proton	プロトン,陽子(素粒子の一つ)
protoplasm	原形質
prototype	(…の)原型;典型,模範《+『of』+『名』》
protozoa	原生動物[類]
protozoan	原生動物 / 原生動物の
protract	(時間的に)…を長引かせる
protraction	(…を)長引かせること《+『of』+『名』》
protractor	分度器
protrude	(…から)突き出る《+『from』+『名』》 / …を突き出す
protrusile	(かたつむりの目などのように)突き出せる,伸ばせる
protrusion	〈U〉突き出すこと,突き出ていること / 〈C〉突き出た部分,隆起
protrusive	突き出た / 出しゃばりな,厚かましい
protuberance	〈U〉隆起,突起 / 〈C〉突起物,こぶ
protuberant	突き出した,隆起した
proud	(人が)『得意な,誇らしげな』 / (人が)『誇りを持った』,自尊心のある / (人が)高慢な,威張った / 《名詞の前にのみ用いて》(物事が)誇るに足る,みごとな
proud flesh	(治った傷口に盛り上がってくる)肉芽(にくが)
proudly	威張って / 誇りをもって / 堂々と
prov.	province / provincial / provisional / provost
provable	証明できる
prove	…を『証明する』 / …を『試す』,検討する / 《『prove』[『to be』]+『名』(『形』)》(…と)『証明される』,わかる・「で」あると判明する
proven	proveの過去分詞 / 《名詞の前にのみ用いて》証明された
provenance	起源,由来,出所
provender	かいば,まぐさ / 《おどけて》(人の)食物
proverb	〈C〉『ことわざ』,格言,金言 / 《Proverbs》(旧約聖書の)箴言(しんげん)(ソロモン訳など賢者の金言の成集)
proverbial	ことわざの;ことわざにある / 評判どおりの,周知の
provide	…を『供給する』,提供する,与える / 《『provide』+『that』『節』》(法律などで)…と『規定する』 / (将来の安全・災害などに)『備える』,用意する / (家族などを)扶養する《+『for』+『名』》
provided	もし…ならば,…という条件で
providence	《しばしばP-》神意,摂理 / 《P-》(God) / 《米》《英古》将来に対する配慮
provident	将来に備える / 節約の,つましい
providential	神慮の,神意による / 神の助けのような,幸運な(lucky)
provider	供給者
providing	=provided
