plodder	とぼとぼ歩く人 / こつこつ働く(勉強する)人
plodding	とぼとぼ歩く / こつこつ導く(勉強する)
plonk	=plunk / 《英・オーストラリア》《話》安ぶどう酒
plop	(…に)ボチャン(ドブン)と落ちる《+『down』『into』+『名』》 / (…に)…をボチャン(ポチャリ)と落とす《+『名』+『into』(『in, onto』)+『名』》 / ボチャン(ポチャリ)と落ちること,その音 / ボチャンと,ポンと
plosive	(音声で)破裂音([p],[b],[t]など) / 破裂音の
plot	『小区画の土地』,小地所 / (小説・劇などの)『筋』,プロット / 『陰謀』,たくらみ / 〈悪事〉を『ひそかに計画する』,たくらむ / (地図・海図などに)…を書き込む;…の図表(図面)を作る / 〈土地〉を区画する《+『out』+『名,』+『名』+『out』》 / (…に対して…の)『陰謀を企てる』,たくらむ《+『against』+『名』+『about』(『toward』)+『名』(do『ing』)
plotter	陰謀者 / 地図(図面)作成者
plough	=plow
ploughboy	=plowboy
ploughman	=plowman
ploughman's lunch	(ビールにパンとチーズ)の簡単な昼食
ploughshare	=plowshare
plover	チドリ(千鳥)
plow,plough	(牛・馬・トラクターが引く耕作用の)『すき』 / すきに似た道具(除雪機(snowplow)など) / 〈土地〉をすきで耕す / (…を切り開いて)〈道〉を押し進む《+『名』+『through』+『名』》 / すきで耕す / (…を)かき分けて進む《+『through』+『名』》
plowboy,ploughboy	(特に昔の)すきをつけた牛馬を引く少年 田舎の若者
plowman, ploughman	すきで耕す人 / 農夫(farm worker)
plowshare, ploughshare	すきの刃
ploy	(相手の先手をとる)手だて,たくらみ,策略
pluck	〈花・果物など〉を『摘む』,もぐ(pick) / (…から)〈羽毛など〉を『むしる』,引き抜く《+『名』+『from』(『off』)+『名』》 / …を羽毛を引き抜く / (指・つめなどで)〈楽器の弦〉をはじく,かき鳴らす / (…を)ぐいと引く,引っ張る《+『at』+『名』》 / 〈C〉ぐいと引くこと / 〈U〉(特に危険や困難に際して見せる)勇気,胆力 / 〈U〉《the~》(動物の)臓物
plucky	(特に思いがけず)勇気のある,勇敢な
