piezoelectricity	ピエゾ電気,圧電気(ある種の石への圧力で生ずる電気)
piffle	たわごと
piffling	むだな,無意味な / 取るに足りない
pig	〈C〉『豚』;子豚 / 〈U〉豚肉(pork) / 〈C〉《話》豚のような人(不潔な人,食いしんぼう,欲張り,非常に太った人など) / 〈C〉なまこ(型に流しこんで作った鉄・鉛などの金属塊);なまこを作る型;銑鉄(せんてつ)(pig iron) / 《俗》《軽べつして》おまわり
pig Latin	(子供が使う)さかさ言葉(語頭の子音を語尾に回し‐ayをつける;speakをeakspayと言うなど)
pig iron	銑鉄(せんてつ)
pig sticking	(スポーツとして馬に乗りやりを使う)イノシシ狩り
pigeon	(野生のまたは飼育されている)『ハト』 / 《俗》だまされやすい人,のろま,かも
pigeon-chested	(人が)はと胸をした
pigeon-toed	内またの
pigeonhole	ハト小屋の巣穴;ハトの巣 / (書類・手紙などを整理するための)区分けだな,分類だな / 〈書類など〉を分類する,整理する / (…に)〈人など〉を種類分けする,を(…の)種類に入れる《+『名』+『as』+『名』》 / 〈計画など〉をあとまわしにする,たなあげする
piggery	《おもに英》=pigsty
piggish	(人が,習慣・ふるまいなどで)豚のような;きたない,どん欲な
piggy	《幼児語》小豚 / (子供が)がつがつする
piggyback	背負って,おんぶして;肩車して / 背(肩)に乗った
piggybank	(特に子供が用いる)豚の形をした硬貨用小型貯金箱
pigheaded	強情な,がん固な
piglet	子豚
pigment	〈U〉〈C〉(おもに粉末の)絵の具,顔料 / 〈U〉色素
pigmentation	色素の沈着
pigmy	=pygmy
pignut	=earthnut
pigpen	=pigsty
pigskin	〈U〉豚の皮;豚のなめし皮 / 〈C〉《米話》蹴球のボール(football)
pigsty	豚小屋 / きたない所
pigswill	(豚にやる)残飯;(特にどろっとした液状の)まずい食物
pigtail	お下げ髪;(昔の中国人の)弁髪
pike	やり,ほこ(17世紀末まで歩兵が武器として用いた) / (やり・ほこの)…を突き刺す / カワカマス / =turnpike
piker	しみったれ,けち
pikestaff	やりの柄 / 先にとがった金属のついたステッキ
pilaf,pilaff	プラフ(肉や野菜や香料を加えたいためご飯)
pilaster	つけ柱,柱形(はしらがた)(壁の一部を張り出させて作った柱)
pilau	=pilaf
pilchard	ニシン科の魚
pile	〈C〉(…の)『積み重ね』《+『of』+『名』》 / 《話》『多数』(…の),たくさん(の…),大量(の…)《+『of』+『名』》 / 《a~》《話》大金 / 〈C〉大建築物[群] / 〈C〉=nuclear reactor / 《副詞[句]を伴って》…を『積み重ねる』,積み上げる / (…を)〈容器〉に積み上げる,盛る《+『名』+『with』+『名』》 / …を蓄積する,ためる《+『up』+『名,』+『名』+『up』》 / 『積み重なる』,積もる《+『up』》 / 《話》《方向・状態を表す副詞[句]を伴って》どやどやと動く / (建物の土台の)くい,パイル / …をくいを打ち込む,くいで補強する / 柔らかい毛,綿毛,むく毛 / (タオル地・じゅうたんなどの)けば;パイル織物
pile driver	くい打ち機 / 強打
piles	痔疾(じしつ)
pileup	積み重ね / 《話》(車の)多重衝突
pilfer	こそとろをする,ちょろまかす / 〈少額・少量〉を盗む,くすねる
pilferage	〈U〉こそどろ,ちょろまかし / 〈C〉盗品
pilferer	こそどろ
pilgrim	(…への)『巡礼者』《+『to』+『名』》 / (一般に)重要な長旅をする人 / 《P-》Pilgrim Fathersの一人
pilgrimage	〈C〉巡礼,巡礼の旅 / 〈C〉(特に重要な意味をもつ)長旅
piling	《集合的に》たくさんのくい / たくさんのくいで作った物
pill	『丸薬』;《the pill》《話》ピル(経口避妊薬) / (耐えなければならない)不快なこと,苦しいこと / 《通例単数形で》《俗》いやなやつ
pillage	(特に戦争における)略奪;〈C〉〈U〉ぶんどり品 / …を略奪する,ぶんどる
pillager	略奪者
pillar	『柱』;『記念柱』 / 柱(状の…)《+『of』+『名』》 / (…の)柱となる人,大黒柱《+『of』+『名』》
pillar-box	《英》(円柱形の)郵便ポスト(《米》mailbox)
pillbox	丸薬入れ(小さな丸い容器) / 銃座を設置した小型の円型トーチカ / 婦人用の小さな円型の帽子
pillion	(馬に同乗する人の)添え鞍 / (オートバイなどの)後部座席
pillory	(罪人の)さらし台(昔,板にあけた穴に首と両手を通して街頭にさらした) / 〈罪人〉をさらし台にさらす;(世間に公表して)〈人〉をさらし者にする
pillow	『まくら』 / (まくらなどに)〈頭〉を載せる《+『名』+『on』(『in』)+『名』》 / 〈頭など〉のまくらになる
pillowcase	まくらカバー
pilot	『水先案内人』,舵手(だしゅ) / (飛行機の)『パイロット』,操縦士 / 案内人,先導者(leader) / =pilot light / 試験的な,実験的な,予備的な / 《方向を表す副詞[句]を伴って》〈船〉の『水先案内をする』 / 〈飛行機〉を操縦する;〈船〉のかじを取る / 《方向を表す副詞[句]を伴って》(…に向けて)〈人〉を案内する,導く
pilot film	(テレビのスポンサー募集に用いる)見本フイルム
pilot fish	サメなどの大きな魚のまわりについて動く小魚
pilot light	(またpilot burner)点火用補助バーナー,種火 / (またpilot lamp)パイロットランプ,表示灯(機械・装置などが作動していることを示す小ランプ)
pilot officer	空軍少尉
pilothouse	(船の)操舵(そうだ)室
pilsener	ピルゼンビール(こはく色の軽い貯蔵ビール) / ピルゼングラス(特にビール用の底が先細りのグラス)
pimento	ピメント,オールスパイス(allspice)(熱帯のアメリカ原産の木,その実;香辛料となる)
pimiento	=pimento
pimp	売春あっせん業者・ポン引き・売春の仲介をする
pimpernel	ルリハコベ(小さな赤や白の花で曇ると花を閉じる)
pimple	にきび
pimpled	=pimply
pimply	にきびのある
pin	『ピン』・留め針・《しばしば複合語を作って》ピンの働きをする物 / (留め針の付いた)『記章』,『バッジ』 / (木・プラスチック・金属などの)留めくぎ,掛けくぎ(peg);(弦楽器の)糸巻き / 《複数形で》《英話》脚(legs) / 《a~》《否定文で》ほんのわずか / (ゴルフ・ボウリングの)ピン / (…に)…を『ピンで留める』《+『名』+『to』(『on』)+『名』》 / (人・物事に)〈望み・信頼など〉をかける《+『名』+『on』+『名』》 / (…に)…を動けなくする《+『名』+『against』(『to, under』)+『名』》 / 《話》〈罪・過失など〉を(人の)せいだとする《+『名』+『on』+『名』〈人〉》
pin money	妻のこづかい銭[pinを買う程度の予備のお金の意から]
pinafore	(特に女児用の)エプロンドレス
pinata	ピニャータ(色を塗って飾りたてた中南米の陶器つぼ)
pinball machine	《米》ピンボール機,パチンコ機(《英》pintable)
pince-nez	鼻めがね(耳にかける柄がない)
pincers	くぎ抜き,やっとこ,ペンチ / (カニなどの)はさみ
pincers movement	(軍隊の作戦での)はさみ打ち,挾撃
pinch	(…で)…を『つねる』,『つまむ』《+『名』+『in』+『名』》 / (靴などが)…を『締めつける』 / 《しばしば受動態で》〈悲しみ・苦痛などが〉〈人・心・体など〉を苦しめる,悩ます / (木などの形を整えたりするために)〈芽・若枝など〉を摘み取る《+『off』(『back』)+『名,名』+『off』(『back』)》 / 《俗》…を盗む,巻き上げる / 《話》《受動態で》…を逮捕する / 〈靴・帽子などが〉『締めつける』,きつく締まる / (…を)けちけちする《+『on』+『名』》 / (…を)『つねる』(『つまむ』)『こと』《+『on』+『名』》;(靴などが)きつくて痛いこと / (…の)一つまみ,少量《+『of』+『名』》 / 《the pinch》(飢え・金銭上の)苦しみ,難儀 / 危機,危急の時 / 《俗》盗み / 《俗》逮捕
pinch hitter	(野球で)ピンチヒッター,代表者 / 《米話》代役,身代り
pinch-hit	(野球で)ピンチヒッターに立つ / 《米話》(…の)代役を勤める《+『for』+『名』》
pinchbeck	ピンチベック(銅と亜鉛の合金;金に見える) / 偽物
pinched	(財政・境遇などが)困って,窮して;(…に)困って《+『for』+『名』》
pinchers	=pincers
pinchpenny	=penny pincher
pincushion	針差し,針山
pine	(また『pine tree』)〈C〉『松』,松の木 / 〈U〉松材 / (悲しみ・切望などで)やつれる,やせ衰える《+『away』(『out』)『from』+『名』》 / 切望する,思いこがれる(yearn)
pine marten	マツテン(ヨーロッパ産の肉食動物)
pineal	松果腺[体]の・松傘状の
pineal body	(脳の)松果腺(せん)・松果体
pineapple	〈C〉〈U〉パイナップル / 〈C〉パイナップルの木
pinecone	松かさ,松ぼっくり
pinewood	〈C〉《しばしば複数形で;単数扱い》松林 / 〈U〉松材
piney	=piny
pinfeather	鳥のうぶ毛
ping	(小銃弾などの)ピュー(ブーン)という音 / ピュー(ブーン)と音がする
pinhead	ピンの頭 / (ピンの頭のように)小さいもの / ばか者,まぬけ
pinhole	針穴;(一般に)ごく小さい穴
pinion	鳥の翼;(特に)翼の先端部,羽先 / (飛べないように)〈鳥〉の羽先を切る(縛る) / 〈人〉をはがい締めにする;(…に)〈人の手足〉をしばりつける《+『名』〈人〉+『to』+『名』》 / (大歯車にかみ合う)小歯車
pink	〈U〉『桃色,ピンク』 / 〈C〉ナデシコ属の植物(ナデシコ・セキチク・カーネーションなど) / 《the pink》《話》最上のもの,極致,粋 / 〈C〉《しばしばPink》《話》左翼的な人,赤がかった人 / 桃色の,ピンクの / 《しばしばPink》左翼的な,赤がかった / (刀・やりなどで)…を軽く突く / (飾りやほつれ防ぎのために)〈布・皮など〉の端をぎざぎざに切る,に飾り穴(模様穴)をあける / (車のエンジンが完全燃焼せずに)ピューンという音を出す(《米》ping)
pink elephant	桃色の象(酔っぱらいに見えるとされる架空の象)
