permissibly	許されて,差し支えなく
permission	『許可』,承諾
permissive	寛大な,甘い / 許可を示す(与える)
permit	〈人が〉…を『許可する』 / 〈物事が〉…の機会を与える,を可能にする / 〈事が〉許す / 許可証(書)
permutation	並べ変えること,順序を変えること / (数学で)順列,置換
permute	…の順序を変える / (数学で)〈数〉を置換する
pernicious	破滅をもたらす,有害な
pernickety	細かいことに口やかましい
peroration	(演説などの)結び,締めくくりの部分
peroxide	過酸化物 / =hydrogen peroxide / 〈髪〉を過酸化水素で漂白する
peroxide of hydrogen	=hydrogen peroxide
perp.	perpendicular / perpetual
perpendicular	直立した,垂直の(vertical) / 〈C〉垂線,垂直面 / 〈U〉垂直の位置(姿勢),垂直
perpetrate	〈罪・過失など〉を犯す,〈悪さなど〉をする
perpetration	悪事を犯すこと;〈C〉犯行,悪事
perpetrator	犯人,加害者
perpetual	『永久の』,『永遠に続く』 / 終身の / 『絶え間のない』
perpetual motion	(理論上不可能な機械の)永久運動
perpetually	永久に(forever) / 絶え間なく
perpetuate	…を永続させる;…を不朽のものにする
perpetuation	(…を)不朽にすること,永続させること《+『of』+『名』》
perpetuity	〈U〉永続,永続性,不滅であること / 〈C〉終身年金
perplex	(…で)〈物事〉を『混乱させる』;〈人〉を混乱させる,当惑させる《+『名』+『with』+『名』》
perplexed	当惑した,まごついた / こみいった,めんどうな
perplexity	〈U〉困惑,当惑;〈C〉困ったこと
perquisite	《話》臨時収入;(合法的な)役得
pers.	person / personal
persecute	(特に宗教上・政治上の理由で)〈人〉を『迫害する』《+『名』+『for』+『名』(do『ing』)》 / (…で)〈人〉をうるさく悩ます《+『名』+『with』+『名』》
persecution	(特に,異教徒・異種族・政治的対抗者などに対する)迫害,虐待;迫害(虐待)されている状態
persecutor	迫害者
perseverance	『がん張ること』,がん張り,ねばり
persevere	(…を)じっとがまんしてする,あくまでもやり抜く《『in』(『at, with』)+『名』(do『ing』)》
persevering	根気のよい,あくまでもやり抜く
persiflage	軽口,ひやかし,茶化し
persimmon	カキの木;その果実
persist	(困難・障害に屈せず)『あくまでも続ける』(『やり抜く』),がん張る,固執する / 『存続する』,生き残る
persistence	(…を)あくまでもやり抜くこと,(…における)ねばり強さ,がん張り;執ようさ《『+in+名(doing』)》 / (…が)永く続くこと,(…の)持続《+『of』+『名』
persistent	(反対・困難にもくじけず)『あくまでもやり抜く』,ねばり強い,執ような / いつまでも続く,持続する(lasting)
persistently	ねばり強く;絶え間なく
persnickety	=pernickety
person	(性別・年齢に関係なく)『人』 / (人間の)『体』,身体 / 《単数形で》『容姿』,身なり / (文法で)人称
person-to-person	指名通話の(で)(長距離電話で,指名した相手が電話口に出た時点から料金が課せられる)
persona	ペルソナ(心理学で他に対して自分を装う仮面) / 《複数形personaeで》(小説・劇などの)登場人物 / 人(person)
persona non grata	歓迎されざる人,好ましくない人物,(特に)駐在国の政府が歓迎しない外交官(複personae non gratae)
personable	容姿のよい,人柄のよい,好感のもてる
personably	容姿(人柄)がよく
personage	『著名人』,名士 / 人 / (劇・小説などの)[登場]人物(character)
personal	『一個人の』,『個人的』;個人のための(private) / 『自分自身で行う』 / 『身体の』,容姿の / 他人の私事にふれる,私事の / 個人攻撃の / (文法で)人称の / (新聞の)個人消息欄
personal assistant	個人秘書
personal call	(電話の)指名通話
personal column	(新聞などの)個人消息欄
personal effects	《複数形》(衣類・化粧道具などの)所持品,身の回り品
personal pronoun	人称代名詞
personal property	(法律で)動産(土地・建物を除いた家財・宝石・有価証券などの財産)
personality	〈C〉〈U〉(他人と区別する)『個性』,性格 / 〈U〉〈C〉『人格』,人柄,風格 / 〈C〉(特にある方面での)著名人,有名人
personality cult	(特に政治的リーダーに対する)個人崇拝
personalize,personalise	…を人格化する / …を自分専用にする,自分の都合のいいようにする
