philander	〈男が〉戯れに恋をする,恋をもてあそぶ
philanderer	戯れに恋をする男
philanthropic,philanthropical	博愛の,慈善の
philanthropist	慈善家
philanthropy	〈U〉博愛,慈善 / 〈U〉博愛思想,慈善活動
philatelic	切手収集の
philatelist	切手収集家,切手研究家
philately	切手収集,切手研究
philharmonic	音楽を愛する / 音楽協会の;交響楽団の / 交響楽団;音楽協会;(音楽協会の催す)音楽会
philhellene	ギリシア[人]支持者,ギリシア[人]びいき
philippic	痛烈な弾劾(だんがい)演説
philol.	philological / philology
philological	文献学の,言語学の;文献(言語)学的な
philologist	言語学者;文献学者
philology	言語学
philos.	philosopher / philosophical / philosophy
philosopher	『哲学者』;賢人 / 困難にも冷静(沈着)な人
philosopher's stone, philosophers' stone	賢者の石,化金石(中世の錬金術で卑金属を金銀に変える力があると信じられていた想像上の物質)
philosophic	哲学の,哲学に関する・冷静な,理性的な
philosophical	=philosophic
philosophize,philosophise	(…について)思索する,哲学的に説明する《+『about』+『名』(do『ing』)》
philosophy	〈U〉『哲学』 / 〈C〉哲学体系 / 〈U〉(学問・知識などの)原理,理論《+『of』+『名』》 / 〈U〉〈C〉人生哲学,人生観;信条 / 〈U〉冷静,沈着;悟り,達観
philter,philtre	ほれ薬,媚薬(びやく)
phizog	顔(face);表情
phlebitis	静脈炎
phlegm	痰(たん) / 冷淡,冷静;鈍感,無気力;粘液質
phlegmatic,phlegmatical	痰(たん)の / 冷淡な,冷静な;鈍感な,無気力な
phloem	師部,師管部(植物の維管束を組織する)
phlox	フロックス,クサキョウチクトウ
phobia	(…に対する)恐怖症,病的恐怖(嫌悪)《+『about』+『名』(do『ing』)》
phoebe	フェーベ(ヒタキ類の北米産の小鳥;その名は鳴き声に由来する)
phoenix	不死鳥,フェニックス(エジプト神話の霊鳥;500年ごとに自ら焼け死んで生まれかわるという)
phone	〈U〉〈C〉『電話』;〈C〉『電話機』,受話器 / …に『電話をかける』 / 『電話をかける』 / 音(おん),音声単音
phone collect	…に先払いで長距離電話をかける
phone-in	テレビ・ラジオの)視聴者が電話で参加する番組(《米》call-in
phoneme	音素(一つの単語を他の単語と区別する役割をはたす最小の音声上の単位)
phonemic	音素の
phonemics	音素論;音素体系
phonetic	音声の;音声学の / 音声記号で表した / (言語について)発音がつづり字に一致した
phonetically	音声学的に;発音どおりに
phonetician	音声学者,発音学者
phonetics	《単数扱い》音声学,発音学
phoney	=phony・〔話〕 にせの; 〔話〕 にせ物; 〔話〕 いかさま師
phonic	音の,音声の
phonics	音声学的教授方法
phonogram	発音文字
phonograph	=record player
phonologist	音韻学者
phonology	音韻論;史的音韻論 / 音韻組織
phonovision	テレビ電話
phony,phoney	にせの,いんちきの・〔話〕 にせ物; 〔話〕 いかさま師・にせ物,まがい物・ペテン師
phooey	(拒絶・軽べつ・嫌悪を表して)へえー,ふーん,そんな馬鹿な
phosphate	〈U〉リン酸塩 / 《複数形で》リン酸肥料
phosphatic	リン酸塩の,リン酸塩を含む
phosphor	リン光物質
phosphorescence	リン光[を出すこと];青光り
phosphorescent	リン光性の;青光りする
phosphoric	リンの,リンを含む
phosphoric acid	リン酸
phosphorous	リンの,(特に)3価のリンを含む
phosphorus	リン(非金属元素;化学記号はP)
photo	『写真』[photographの短縮形]
photo finish	写真判定[を要する決勝場面]
photocell	=photoelectric cell
photochemical	光化学の
photochemical smog	光化学スモッグ[smokeとfogの合成語]
photocompose	〈活字〉を写真植字する,写植する
photocopier	写真複写機
photocopy	〈文書など〉を写真複写する,コピーする / 写真複写
photoelectric	光電の(光によって起こされた電気的影響の)
photoelectric cell	光(ひかり)電池;光電管
photoengrave	…の写真版を作る
photoengraving	〈U〉写真版製作[術] / 〈C〉写真印刷版(物)
photoflash lamp	=flash bulb
photog.	photographer / photographic / photography
photogenic	写真写りのよい,写真向きの
photograph	『写真』,(…の)写真《+『of』+『名』》 / の『写真をとる』 / 写真をとる;《副詞を伴って》写真に写る
photographer	写真をとる人,(特にプロの)写真家
photographic	写真の,写真用の / (写真のように)正確な,精密な
photographically	写真術によって;写真のように
photography	写真術
photogravure	グラビア印刷;〈C〉グラビア写真
photojournalism	グラフ雑誌[編集];報道写真関係の仕事
photometer	光度計;(写真の)露出計
photomicrograph	顕微鏡写真,マイクロ写真
photomural	(装飾・展示用の)壁面写真,写真壁画
photon	光子(光の粒子)
photoplay	劇映画
photosensitive	感光性の
photosensitize,photosensitise	…に感光性を与える
photosphere	光球(太陽や星の表面の白熱光を放つ薄い層)
photostatic	フォトスタットの,複写写真[機]の
photosynthesis	(緑色植物の)光合成
phototaxis	走光性(生物が光源へ向かったり離れたりする運動)
phototropism	(植物の)屈光性,向日性
photovoltaic	光電池の
phr.,phrs.	phrase
phrasal	句の,句からなる
phrasal verb	動詞句(副詞や前置詞を伴って慣用的な意味を持つ動詞)
phrase	〈C〉(文法で)『句』(2語以上の語の集まりで,節(clause)と違って「主語+述語動詞」の構造を持たず,文中で一つの品詞の働きをするもの) / 〈C〉成句,熟語,慣用句;語群,連語 / 〈C〉〈U〉『言葉づかい』,言い回し / 〈C〉簡潔な言葉;名言,寸言,警句 / 〈C〉(メロディーの一単位を構成する)楽句 / …を言葉で表す / 〈曲〉を各楽句に分ける,楽句に区切って演奏する
