poilu	(第一次大戦中の)フランス兵
poinciana	ホクオウボク(オレンジまたは赤い花をつけるマメ科の木)
poinsettia	ポインセチア(クリスマスの装飾に用いる観賞植物)
point	〈C〉(針・鉛筆・剣などの)『とがった先』,(…の)先端《+『of』+『名』》 / 〈C〉岬(みさき) / 〈C〉(小数点・句読点などの)点 / 〈C〉(図形上の)点 / 〈C〉(ある特定の)『地点』(spot),場所(place) / 〈C〉(計器の目盛りなどの)『点』,『度』 / 〈C〉時点,瞬間 / 〈C〉《単数形で》(物語・議論などの)『要点』,核心《+『of』(『in』)+『名』》 / 〈U〉(…の)『目的』,『意義』,ねらっている点《+『of』(『in』)+『名』(do『ing』)》 / 〈C〉(全体の中の)個々の項目,細目(item),細部(detail) / 〈C〉特徴(characteristic),特質(trait) / 〈C〉(競技・学校の成績などの)得点 / 〈C〉ポイント(活字の大きさの単位;約1/72インチの大きさ) / (…に)〈銃・指など〉を『向ける』《+『名』+『at』(『to, toward』)+『名』》 / …に『指し示す』《point+名+to+名》…に…をさし示す / …の先をとがらせる,に先を付ける / …に点を打つ;…に小数点を付ける;…に句読点を付ける / 〈猟犬が〉〈獲物〉を指し示す / (…を)(指などで)『示す』,指し示す《+『at』(『to, toward』)+『名』(do『ing』)》 / 〈猟犬が〉獲物の位置を示す
point duty	(交通巡査の)立ち番
point of no return	(飛行機の)帰還地点(燃料の片道分を使い尽くす地点) / (物事が)あとへ引けない段階
point of order	議事進行に関する問題
point of view	見地,観点(viewpoint) / 考え方,態度
point to point	クロスカントリー競馬(特定地点間で騎手がコースを自由に選べる)
pointblank	(射撃など)至近距離からの,直射の / 至近距離の / あけすけな / 至近距離から,直射で / あけすけに
pointed	『先のとがった』,鋭い / (皮肉など)痛烈な,しんらつな / (ある目標に)向けられた,(はっきりと特定の人に)向けられた,当てこすりの
pointedly	鋭く,しんらつに;目立って
pointer	指す人(もの) / (時計・計器などの)針 / (地図などを指す)むち / ポインター(猟犬の一種) / 《話》助言,忠告(advice)
pointillism	点描画法(フランスの新印象派の画家たちの技法)
pointless	先のとがっていない / 要領を得ない,意味のない(senseless) / 無益な,当てのない
points man	=switchman
poise	…をつりあいをとって置く,…の平衡を保つ / 《まれ》(すぐに使えるように)…を構える / つりあい(平衡)を保っている / つりあい,平衡 / 平静,落ち着き
poised	《補語にのみ用いて》(…に向かって)動き出そうとしている《+『for』+『名』》;…しようとしている《+『to do』》 / 《補語にのみ用いて》(…の間で)ぐらついている,どちらともつかない《+『between』+『名』》 / (空中に)浮かんでいる,舞っている / 軽く腰掛けている / (人が)落ち着いた,自制心のある
poison	『毒』,毒薬 / (…に)害になるもの,害毒《+『to』+『名』》;《俗》酒 / 〈人・動物など〉を『毒殺する』;…に毒を入れる / …を毒する,汚染する / (精神的に)…をだめにする,害する
poison gas	毒ガス
poison ivy	ツタウルシ(北米産の庭木)
poison-pen letter	(通例署名なしの)中傷の手紙
poisoner	毒殺者;害毒を与える人
poisonous	『有毒な』,毒を含む / 有害な;(精神的に)人を害する / 悪意のある,意地の悪い / 不快な,いやな
poke	(とがったもので)…を『突く』,つつく《+『名』+『名』+『with』+『名』》 / (…に)…を突っ込む《+『名』+『into』+『名』》;(…から)…を突き出す《+『名』+『out of』+『名』》 / (…に)〈穴〉をつついて作る《+『名』+『in(through)』+『名』》 / 《話》…をこぶしでなぐる(打つ) / (…を)『突く』,つつく《+『at』+『名』》 / (…から)突き出る《+『out of』+『名』》 / (指ひじ・棒などで)突くこと / 《話》(こぶしで)打つこと / 袋,麻袋 / 前の縁がひさしのように突き出た婦人帽
poker	火かき棒 / 突く人(物) / ポーカー(カードゲームの一つ)
poker face	ポーカーフェイス(ポーカーで大きな手が来ても感情を表に出さないような無表情な顔)
pokey	監獄・刑務所
pokey,poky	(人などが)のろい,ぐずぐず(だらだら)している / (家などが)狭苦しい
pokiness	のろま,ぐず / 狭苦しいこと
pol	《話》政治家
pol.	political / politics
polar	『極地の』;南(北)極の / 正反対の
polar bear	北極グマ,白クマ
polar lights	極光,オーロラ
polarity	(磁石・電池の)両極性;陽(陰)極性 / (性格・傾向などについて)両極端,正反対
polarization,polarisation	〈C〉(思想・意見などの)分裂,対立 / 〈U〉〈C〉分裂(対立)状態 / 〈U〉(光線などの)偏光;(電気の)分極
polarize,polarise	…に極性を与える / 〈光〉を偏光させる / 〈意見・思想など〉を両極に分かれさせる / (…の方向へ)…を向ける,偏向させる《+『名』+『toward』[『s』]+『名』(do『ing』)》 / 分極する
polder	(特にオランダの)干拓地,低地帯
pole	(木製・金属性などの)『棒』,さお / 柱 / (牛車・馬車の)ながえ / ボール(長さの単位,5.03メートル;面積の単位,25.3平方メートル) / …を棒で動かす(押す,突く,たたく) / (地球などの)『極』 / 電極;磁極;(核・細胞などの)極 / (性格・意見などの)相反対
pole vault	〈C〉(一回ごとの)棒高跳び / 《the~》(スポーツとしての)棒高跳び
pole-vault	棒高跳びをする
pole-vaulter	棒高跳びの選手
poleax,poleaxe	(中世の歩兵の)戦斧(せんぷ) / 屠殺(とさつ)用のおの / (頭を強打して)…の気を失わせる / おので…を殺す(打つ)
polecat	ケナガイタチ(ヨーロッパ産の肉食動物;攻撃されると悪臭のある液体を出す) / 《米話》スカンク(skunk)(北米産)
polemic	論争の,議論の / (人が)論争好きな / 〈C〉論争,議論 / 〈U〉《複数形で》《単数扱い》論争術
polestar	北極星・= Polaris
police	《the~》『警察』 / 《複数扱い》『警察官』(policemen) / (警察的な組織をもつ)治安隊,保安隊 / (警察力で)…を取り締まる;〈場所〉の治安を保つ / …を管理する,監視する
police box	交番
