popover	軽焼きマフィン・(軽い焼き菓子の一種)
poppa	おとうちゃん,パパ(papa)
poppet	(かわいがっている)子供(動物);《呼びかけ》かわいい子ちゃん
popping crease	(クリケットの)打手線
poppy	〈C〉ケシ(このエキスはアヘン等の原料) / 〈C〉ケシの花(花は赤・黄・白色など) / 〈U〉ケシ色(黄赤色)
poppycock	ばかげたこと,たわごと
popsy	(人の)ガールフレンド,女
populace	民衆,大衆;(ある地域の)全住民
popular	『人気がある』,評判のよい;好かれている / 《名詞の前にのみ用いて》『一般人の』・『民衆の』,大衆の,人民の / 《名詞の前にのみ用いて》大衆向きの,俗受けする / 一般的な,民間に広まった / 大衆の手の突く,安い
popularity	(人の間での)『人気』,好評,流行《+『with』(『among』)+『名』〈人〉》
popularization,popularisation	大衆化,普及
popularize,popularise	…を大衆向きにする,一般向にする / …を普及させる,広める / …を評判をよくする
popularly	一般に(generally) / 大衆に分かるように,通俗的に / 大衆の手の届くように,安く
populate	(植民のために)…に人を移住させる,植民する / 《しばしば受動態で》〈ある所〉に住む
population	〈U〉〈C〉『人口』,住民の数 / 《the~》《集合的に》(一定地域の)『全住民』 / 《the~》(特定階層の)人々,連中 / 〈U〉〈C〉(一定の区域内にいる)動植物の個体数
populism	(米国の)人民党(Populist Party)の主義(政策)
populous	人口の多い,人口密度の高い
popup	(野球の)ポップフライ
porcelain	(材料としての)磁器 / 《集合的に》磁器製品
porch	ポーチ(母屋(おもや)から張り出した玄関,車寄せ,入り口部分) / 《米》ベランダ
porcine	豚の,豚に似た
porcupine	ヤマアラシ(全身に鋭いとげ状の毛を持つ小動物)
pore	《pore over+名》(…を)熟読する,注意深く考える・没頭する, 熟考[熟視,熟読]する / 気孔,毛穴
porgy	(地中海・大西洋沿岸産の)タイ,タイの類
pork	豚肉
pork barrel	《米》豚肉保存用たる / 《米俗》議員が選挙民に取り入るため政府に支出させる開発事業などの補助金
pork butcher	豚肉屋
porker	(食用に肥らせる)子豚 / 《おどけて》豚
porkpie	《主に英》豚肉パイ
porkpie hat	頂部が丸くて平らな男性用帽子
porky	(人が)丸々とふとった,豚のような
porn	=pornography
porno	=pornography
