paradox	『逆説』(矛盾するようにみえても実際は真理を含んでいる説) / 矛盾;へ理屈
parenthetic, parenthetical	《名詞の前にのみ用いて》括弧でくくられた,括弧に入れることができる / 挿入句の;挿入された
parenthood	親であること,親の立場
parer	皮をむく道具(人)
paresis	不全麻痺,局部的運動麻痺
pareve	=parve
parfait	パフェ(アイスクリームに果物やシロップをかけたデザート)
parhelion	幻日(げんじつ)(太陽の両側に現われる強い輝き)
pari-mutuel	競馬で勝った人々に手数料・税金を引いた残金を分配する方法,パリミューチュエル方式
pariah	《通例P-》インドの最下級民 / 《比喩(ひゆ)的に》のけ者;非人
parietal	頭頂[骨]の / 大学構内居住に関する
paring	〈U〉(皮を)むくこと,削ること / 〈C〉《複数形で》むいた皮,削りくず
parish	教区(専用の教会と専任の牧師をもつ宗教上の一区域) / 《the~》《集合的に》教区の住民 / 《英》村,行政区(行政上の最小区画) / 《米》(持にLouisiana州の)郡
parish-pump	地方根性
parishioner	教区民
parity	同等,均等,類似 / (他国通貨との)等価,平価
park	(町の中の)『公園』,庭園 / 自然公園 / 《米》(観覧席などで囲まれた)競技場;《英》サッカー場 / 《英》(貴族や大地主の邸宅の)広大な敷地,大庭園 / =parking lot / 〈車〉を『駐車する』 / 《話》(ある時間)〈物〉を置く,預ける / 『駐車する』
park keeper	公園管理人
parka	パーカ / エスキモー人のずきんつき毛皮服 / 登山・スキーなどで用いる防寒着(《英》anorak)
parkin	パーキン(しょうが入りの菓子パン)
parking	駐車 / (臨時の)駐車場;空地
parking garage	(通例数階建ての)屋内の有料駐車場
parking lot	駐車場(《英》car park)
parking meter	パーキングメーター(街路上の自動駐車料金計)
parking orbit	(ロケットの)待機軌道
parkland	《英》いなかの大邸宅を囲む草地;木立がある公園
parkway	公園道路(植え込みのある広い自動車道路)
parky	(空気などが)ひんやりとした,冷たい
parl.	Parliament / Parliamentary
parlance	話しぶり,言い方
parlay	〈元金と儲けた金〉を引き続き次のレース(試合)に賭ける(《英》double up)
parley	(戦場で敵側との)和平交渉,停戦会議 / 談義,討論 / (…と)和平交渉をする《+『with』+『名』》
parliament	『議会』,『国会』 / 《通例P-》《英》議会
parliamentarian	議会の法規や慣例に精通している人,議会通
parliamentary	議会の,議会に関する / 議会の規則に従った,議会方式の;議会で制定された
parlor car	特別客車
parlor game	(言葉遊びやクイズのような,座ったままできる)室内ゲーム
parlor,parlour	《英》居間 / 《おもに米》営業客の部屋,店
parlour maid	小間使い
parlous	危険な,危ない
parochial	小教区の;地方区の / 視野の狭い,狭量の
parochial school	教区立学校(教区や宗教団体の経営する学校)
parochialism	考えの狭さ,偏狭;地方根性
