mandarin duck	オシドリ(アジア原産のカモの一種)
mandatary	=mandatory, 代理人, 受任者, 委任統治国
mandate	〈C〉命令,指令 / 〈C〉(上級裁判所から下級裁判所への,または上級官吏から下級官吏への)命令[書] / 《単数形で》(選挙民が選挙によって与える議員・議会への)委任,権能付与 / 〈U〉(国際連盟による)委任統治 / 〈領土・植民地など〉の統治を委任する
mandatory	(命令によって)強制的な / 委任の / 委任を受けた人(国),委任統治の受任国
mandible	(哺(ほ)乳動物・魚の)あご;(特に)下顎骨(かがっこつ)(下あごの骨) / (鳥の)下くちばし;《複数形で》両くちばし / (昆虫の)大あご
mandolin	マンドリン(弦楽器の一種)
mandrake	マンドレーク,マンダラゲ(ナス科の植物で,麻酔性があり有毒;昔は魔力があると信じられていた)
mandrel,mandril	(旋盤などの)主軸;(鋳造用)心金(しんがね)
mandrill	マンドリル(西アフリカ原産のヒヒの一種)
mane	(馬などの)たてがみ
manege,manège	調馬術,乗馬術
manes	死者の霊 / (ローマ神話における)祖先の霊魂
maneuver,manoeuvre	(軍隊・艦隊などの)機動作戦,作戦行動 / 《複数形で》大演習,機動演習 / 〈C〉巧妙な手,策略 / 〈部隊・艦隊・兵など〉を動かす / …を巧みに扱う(処理する),さばく / 〈軍隊・艦隊・兵が〉作戦行動を取る / (…に対して)計略を用いる,たくらむ《+for+名》
maneuverable,manoeuvrable	操作(操縦)できる,機動可能な
manful	男らしい,勇ましい
manganese	マンガン(金属元素;化学記号は『Mn』)
mange	かいせん(犬・牛などがかかる皮膚病)
manger	飼い葉おけ,まぐさおけ
mangle	《しばしば受動態で》〈人・物〉をずたずたに切る,めった切りにする / …をめちゃめちゃにする / (洗濯物などをしぼる)圧搾ローラーにかける
mango	マンゴー;その果実(南洋産の常緑高木で果実は美味)
mangosteen	マンゴスチン[の実](東アジア産の植物)
mangrove	マングローブ,紅樹林(熱帯の川や海辺に密生する)
mangy	(家畜が)かいせんにかかった / 《話》(衣服・場所などが)みすぼらしい,汚い
manhandle	〈機械など〉を人力で動かす / 〈人〉を手荒く扱う
manhole	(下水道などの)マンホール
manhood	『男』(おとな)『であること』,(男子の)『成年』 / 男らしさ,勇気 / 《まれ》《集合的に》男子
manhunt	人間狩り,(特に)犯罪者捜索
mania	躁病(そうびょう)(極度の興奮と,時に狂暴性を伴う錯覚症) / 〈C〉《話》(…への)熱狂,(…)狂,(…)マニア《+『for』+『名』(do『ing』)》
maniac	狂乱の,狂気の / 狂人(madman);(…)狂《+『for』+『名』(do『ing』)》
maniacal	狂気の,狂気じみた
manic	躁病(そうびょう)の,躁病にかかっている
manic-depressive	躁鬱(そううつ)病の / 躁鬱(そううつ)病患者
manicure	(指の)マニキュア / 庭園の手入れ / …にマニキュアを施す / 〈草・木〉を刈り込む
manicurist	マニキュア師
manifest	『明白な』,はっきりした(clear) / …を『はっきり表す』(『示す』),表明する・(税関に提出するための船・飛行機の)積み荷目録;乗客名簿・宣言・声明書・檄文・特に,共産党宣言・政策綱領(イギリスの選挙で政党から公表されるもので,具体性を欠く選挙スローガンや公約と異なり,政策の数値目標,実施期限,財源などを明示する)
manifestation	〈U〉表明,明示;現れ,表現;〈C〉表明されたこと / 〈C〉(霊魂などの)出現
manifestly	明白に,はっきりと
manifesto	(君主・政府・政党などの)宣言[書],声明[書]
manifold	いろいろの,多種多様の / 多方面の / (エンジンの)多岐管(エンジンのガスの吸排をする) / (カーボン紙でとった)写し
manikin,mannikin	小人,一寸法師(dwarf) / =mannequin
manioc	=cassava
