mistletoe	ヤドリギ / ヤドリギの小枝(クリスマスの装飾用)
mistook	mistakeの過去形
mistral	《the~》ミストラル(南フランスに吹く乾燥した冷たい北風)
mistranslate	…を誤訳する / 誤訳する
mistreat	…を虐待する
mistreatment	虐待
mistress	〈C〉(…の)『女主人』,主婦《+『of』+『名』》 / 〈C〉(犬・馬など動物の)女性の所有者,女の飼い主《+『of』+『名』》 / 〈C〉《古・文》《おもに英》女の先生 / 《しばしばthe M-》(…の)女王《+『of』+『名』》 / 《M-》《古》《呼び掛けのとき婦人の姓名につけて》…さん,…様,…夫人,…嬢 / 〈C〉情婦,二号(paramour)
mistrial	(手続き上の誤りによる)無効審理 / (陪審員の意見不一致による)無評決審理,審決不能
mistrust	(…を)信用しないこと,(…への)不信,疑惑《+『of』(『in』)+『名』》 / …を信用しない,疑う
mistrustful	疑い深い
misty	霧の深い,霧に包まれた / (目が涙などで)かすんだ / (輪郭などが)ぼんやりした;(記憶・考えなどが)おぼろげな,もうろうとした(vague)
misunderstand	…を誤解する,思い違いをする / 誤解する
misunderstanding	(…を)誤解すること《+『of』+『名』》
misunderstood	misunderstandの過去・過去分詞
misuse	…を誤用する / …を虐待する,酷使する / (…の)誤用,乱用《+『of』+『名』》
mite	ダニ(動植物や貯蔵品などに寄生する虫) / 〈U〉《時にa ~》(…の)ごく少量,ごく少額,ほんのちょっぴり《+『of』+『名』》 / 〈C〉《話》ごく小さいもの,小動物,小銭;少額の寄付 / 《a ~》《副詞的に》ちょっと
miter,mitre	司教冠,法冠(カトリック教会のbishop(司教)などが儀式のときにかぶる) / (また『miter joint』)(木工で)斜め継ぎ面,斜め継ぎ
mitigate	〈苦痛・怒りなど〉を和らげる,鎮める;〈刑罰など〉を軽くする
mitigating circumstances	(刑期・罰金の)情状酌量
mitigation	(苦痛・怒りなどを)緩和すること;(刑罪を)軽減すること《+『of』+『名』》
mitosis	有糸分裂(一つの細胞が分裂して二つの細胞になること)
mitre	=miter
mitt	(野球で,特にキャッチャー・一塁手用の)ミット / 婦人用の長手袋(絹・レースなどで作られ,指先がなくひじまでおおう) / =mitten / 《俗》《おどけて》手
mitten	ミトン(親指だけ離れて他の4本はいっしょにはいる手袋) / =mitt(婦人用の長手袋(絹・レースなどで作られ,指先がなくひじまでおおう))
mix	〈複数のもの〉を『混ぜ合わせる』,混合する,混同する / …を混ぜ合わせて作る,調合して作る / …を寄せ集める,まとめる / 〈物が〉(…と)混ざる,混合する《+『with』+『名』》 / 〈人が〉(他の人と)交わる,交際する《+『with』+『名』》 / 〈C〉〈U〉混合 / 〈C〉混合物(食品,薬) / 〈C〉〈U〉(水・火を加えて即席にでき上がる)素(もと),ミックス
mix-up	混乱,混乱状態
mixed	(異なった成分(要素)のものが)混ざった,混合の,混成の / 男女混合の / 人種(宗教・国籍など)が違う人々の(から成る)
mixed bag	がらくた
mixed farming	混合農業(畜産と農業など2つ以上を経営する)
mixed grill	いろいろな種類の焼き肉の取り合わせ料理, ミックスグリル, 焼き肉の盛り合わせ
mixed metaphor	混喩(こんゆ)(表現効果を上げるためにいくつかの隠喩を用いること)
mixed number	帯分数
mixer	ミキサー(ジュース・コンクリートなどの混合器) / 《通例形容詞を前に伴って》《話》人付き合いの…な人 / 《話》(人々に交際のきっかけを与えるための)混合パーティー / 録音(録画)の調節者
mixture	〈U〉(…を)『混ぜ合わせること』,(…の)混合《+『of』+『名』》 / 〈C〉『混合した物』,混合薬
mizzen	(3本マスト船の)後帆 / =mizzenmast
mizzenmast	(3本マスト船の)第3マスト,後檣(こうしょう)
mizzle	《話》《方言》《itを主語にして》こぬか雨が降る
mk.,MK.	mark マルク
mks	meter-kilogram-second
mkt.	market
ml.	milliliter[s]
mm.	millimeter[s]
mnemonic	記憶の;記憶を助ける
mnemonically	記憶を助けるために
mnemonics	《単数扱い》記憶術
moa	モア(昔,ニュージーランドにいた飛ぶことのできないダチョウに似た鳥)
moan	〈C〉(悲しみ・苦痛などの)『うめき[声]』《+『of』+『名』》 / 〈U〉《時にa ~》(風・波などの)うめき声に似た音,うなり《『of』+『名』》 / 『うめく』,うめき声をあげる / 〈風・波などが〉うめくような音をてたる,うなる / …をうめくように言う(歌う)《+『out』+『名』,『名』+『out』》
moat	(城壁・とりで・都市の回りの)堀(ほり) / …に堀を巡らす
moated	《名詞の前にのみ用いて》堀で囲まれた(守られた)
