mould	=mold
moulder	=molder
moulding	=molding
mouldy	=moldy
moult	=molt
mound	『盛り土』,塚;土手,古墳 / (自然の)『小さい丘』,小山 / (一般に)盛り上げたもの,堆積 / (野球の投手の)マウンド
mount	…を『登る』(ascend, climb) / 〈馬・車〉に『乗る』,〈台の上など〉に上がる,乗る / (馬などに)〈人〉を『乗せる』《+『名』〈人〉+『on』+『名』》 / (…の上に)…を『載せる』《+『名』+『on』+『名』》 / (…に)…を据え付ける,はめる,取り付ける,はる《+『名』+『in』(『on』)+『名』》 / 〈劇〉に舞台装置や衣装を用意する / 〈攻撃など〉を仕掛ける;〈作戦など〉を展開する / 『登る』,上がる《+『up』》 / 『馬』(乗用の動物)『に乗る』 / (数・量において)ふえる,(程度において)高まる,強まる《+『up』》 / 乗用の動物,(特に)馬 / 台紙;(宝石などの)台;(顕微鏡用の)スライド板 / 〈C〉《文》『山』 / 《『M-』》《固有名詞の前に付けて》…『山』
mountain	『山』 / 《the…Mountains》…『山脈』 / 《a~》山(のような…),(…の)山《+『of』+『名』》 / 《a~》多数(の…),多量(の…)《+『of』+『名』》
mountain ash	ナナカマド(バラ科の落葉低木)
mountain chain	山脈,連山
mountain climbing	登山
mountain goat	ロッキーヤギ(北アメリカ山岳地帯のやぎに似たカモシカ)
mountain laurel	アメリカシャクナゲ
mountain lion	=cougar
mountain range	山脈,連山
mountain sickness	高山病
mountain-high	(波などが)山のように高い,山をなす
mountaineer	登山家,登山者 / 山の住人
mountaineering	登山,登山の仕事
mountainous	『山地の』,山の多い / 『山のような』,巨大な
mountainside	山腹
mountaintop	山頂
mountebank	いんちき薬売り / 山師(やまし),いかさま師
mounted	馬に乗った / 台紙にはった;据えつけた;ちりばめた
mounting	〈U〉据えつけ,装着 / 〈C〉(書・画の)表装;(写真の)台紙,スライド枠;(宝石の)台
mourn	(…を)『悲しむ』,嘆く,いたむ《+『over』(『for』)+『名』(do『ing』)》 / 〈死んだ人,その人の死など〉を『嘆き悲しむ』,哀悼(あいとう)する
mourner	(人の死などを)嘆き悲しむ人,(特に)会葬者
mournful	『悲しみに沈んだ』,悲嘆にくれた / 『痛ましい』,悲しい
mourning	悲しむこと,悲嘆,哀悼 / 喪(も),忌中 / 喪服,喪章
mourning band	(そでに巻く)喪章
mourning border	黒わく
