magnetic	磁石の;磁気の(による,を帯びた) / 人を引き付ける,魅力のある
magnetic field	磁場,磁界
magnetic needle	(羅針盤の)磁針
magnetic north	磁北極
magnetic pole	(磁石の)磁極
magnetic recording	磁気録音
magnetic tape	(録音・録画用)磁気テープ
magnetically	磁気によって,磁気を帯びて;人を引きつけるように,魅力的に
magnetism	磁気,磁性,磁気作用 / 磁気学 / 人を引き付ける力
magnetite	磁鉄鉱
magnetize,magnetise	…に磁気を帯びさせる / 〈人〉を引き付ける,魅する
magneto	磁石発電機(特に内燃機関の点火に用いる)
magnetometer	磁力計(地球の磁場の強さを測定する計器)
magnetosphere	(地球の周囲の)磁気圏
magnification	拡大;(レンズの)倍率 / 誇張;賛美
magnificence	壮大,壮麗,雄大
magnificent	『壮大な』,壮麗な / すばらしい,無類の
magnificently	りっぱに,堂々と
magnifier	虫めがね,拡大鏡 / 物事を誇張する人
magnify	〈レンズなどが〉…を『拡大する』 / 〈危険・問題など〉を誇張する / 〈レンズなどが〉物を拡大して見せる
magnifying glass	拡大鏡,虫めがね
magniloquence	大言壮語,大ぼら
magniloquent	大言壮語の
magnitude	『大きさ』,規模 / 『重要さ』(importance);(精神的な)偉大さ,高潔 / (星の)光度,等級 / マグニチュード(地震の強さなどの数量的単位)
magnolia	マグノリア(モクレン,タイサンボクの類)
magnum	(ぶどう酒などが約2リットルはいる)大びん
magnum opus	(特に本の)代表作,傑作(masterpiece)
magpie	カササギ(黒と白の羽をもち,カチカチと鳴くカラス科の鳥) / 《話》(カササギのような)おしゃべり屋
magus	古代ペルシアの僧 / 《文》魔術師
mahalo	(ハワイの言葉で)ありがとう・マハロ
maharaja, maharajah	マハラージャ(インドで回教君主の位;その位を持つ君主)
maharani,maharanee	マハラージャの妃
mahatma	マハトマ / (バラモン教の)大知識,大聖 / 《Mahatma》インドで高貴な人の名に添える敬称
mahjongg, mahjong	マージャン(麻雀)
mahlstick	=maulstick
mahogany	〈C〉マホガニー(熱帯フメリカ産の赤褐色の堅い木;家具の材料) / 〈U〉赤褐色 / マホガニー製の / 赤褐色の
mahout	(インドの)象使い
mai tai	マイタイ(ラム酒と果物ジュースで作った甘いカクテル)
maid	《文》《古》『少女』,おとめ;処女 / 『未婚の女性』 / 『お手伝いさん』,女中
maid of honor, maid of honour	花嫁の付き添いをする未婚女性 / (女王・王女などに仕える)女官,待女
maiden	少女,娘 / 少女の;娘らしい / 未婚の,処女の / 初めての
maiden name	女の結婚前の姓,旧姓
maidenhair	アジアンタム(ハコネソウ・クジャクソウなどのシダ類)
maidenhead	〈C〉処女膜 / 処女であること,処女性
maidenhood	処女であること,処女性;純潔 / 娘時代
maidenly	処女の / 処女らしい;つつましやかな,しとやかな
maidservant	お手伝いさん,女中(maid)
mail	鎖かたびら,よろい / …に鎖かたびらを着せる,武装させる / 〈U〉(郵便で取り扱われる手紙・小包などを集合的に指して)『郵便』 / 《通例〈U〉で集合的に;時に〈C〉》(1回に配達または投函される)『郵便物』(《英》post) / (また『mails』)〈U〉郵便制度(《英》)post) / (…に)〈手紙など〉を『郵送する』(《英》post《+『名』+『to』+『名』》
mail order	通信販売
mail slot	(ドアにつけた)郵便受け
mail-order	通信販売制の
mailbag	郵便袋;郵便かばん(《英》postbag)
mailbox	郵便箱,ポスト(postbox)(《英》pillarbox);私宅の郵便受け箱(《英》letter box)
mailgram	郵便電報,メールグラム(電報会社に電話で文面を伝えると,きれいな封筒に伝言が収められ,配達される;慶祝用に利用される)
mailing list	(ある団体などが所有する)郵送用会員名簿
maillot	(ワンピース型の)婦人用水着 / (ダンサーなどの着る)タイツ
mailman	郵便配達(集配人)
mailwoman	女性の郵便配達人
maim	(手・足などを切って)…を不具にする
main	《名詞の前にのみ用いて》『おもな,主要な』 / 〈C〉《通例複数形で》(水道・ガスなどの)本管;主電線;(鉄道の)本線,幹線 / 〈U〉《the~》《詩》大海,大海原(おおうなばら)
main chance	(金もうけなどの)可能性,絶好の機会
main clause	主節(複文の中で定動詞を持ち独立した文になることのできる節)
main deck	(船の)上甲板,主甲板
main drag	本通り(main street)
mainframe	主枠 / メンフレーム(コンピューターの中心となる制御装置などを含む装置)
mainland	《通例 the~》本土,大陸(付近の島と区別した)
mainline	(鉄道の)幹線 / 《米俗》(麻薬などを注射する)静脈
mainly	『おもに』,もっぱら(chiefly);大部分は
mainmast	(帆船の)大檣(しょう),メーンマスト
mains	(水道・ガスなどが)本管から送られた,主電線からの
mainsail	大檣の大帆,メーンスル
mainspring	(時計などの)主ぜんまい / 主因,主要動機
mainstay	大檣支索(さく)(mainmastの頂点から前マストの根元に張る支え綱) / (…の)頼みの綱,大黒柱《+『of』+『名』》
mainstream	《the ~》(運動・思潮などの)主流 / (川の)本流
maintain	〈ある状態・動作〉を『維持する』,続ける,保つ / 〈施設など〉を手入れして保存する,保全する / …を『主張する』,と断言する / (…を収入で)〈家族など〉を『扶養する』,養う《+『名』+『on』+『名』》 / (攻撃・危険から)…を擁護する,守る
maintainability	継続(維持)が可能であること / 扶養できること / 主張(断言)できること
maintainable	維持できる / 扶養できる / 主張できる
maintenance	(…の)維持,持続,保全,保守[管理]《+『of』+『名』》 / (…の)維持(持続)された状態《+『of』+『名』》 / 維持費,生活費
maintenance order	扶養命令(特に裁判所が妻子の養育費支払を命ずるもの)
maisonette,maisonnette	〈C〉メゾネット(集合住宅の一戸) / 《英》小さな一戸建て住宅 / フランス語「maison(家)」に小さいを表す接尾辞「-ette」に由来
maize	とうもろこし / とうもろこし色,薄黄色
majestic,majestical	威厳のある,荘厳な,堂々とした,雄大な
majesty	〈U〉(人・態度などの)『威厳』,『尊厳』;(風景などの)威容《+『of』+『名』》 / 〈U〉(…の)至高の力;(…の)最高の権威《+『of』+『名』》 / 〈C〉《M-》陛下
majolica	マジョリカ焼(イタリアの陶器の一種)
major	『大きい』(『多い』)『ほうの』,いっそう重要な / (音階が)長調の,長音階の / 《英》《昔の学校で同姓または兄弟生徒を区別するために姓の後につけて》年長の,兄の / 《しばしばM-》陸軍(空軍)少佐 / 《米》専攻科目;専攻学生 / 《the majors》《米》=major leagues / (科目を)専攻する《+『in』+『名』》
major general	陸軍(空軍)少将
major league	(野球の)大リーグ(American LeagueとNational Leagueのいづれか) / (各種スポーツの)大リーグ
major leaguer	大リーガー(大リーグの選手)
major premise	(論理で)大前提
major scale	(音楽の)長音階
major suit	(ブリッジで)ハート,(または)スペード(クラブ・ダイヤよりも得点・順位が上)
major-medical	高額医療保険の(医療費がかかり過ぎた場合に支払われる保険で)
majordomo	(昔のスペインやイタリヤの貴族・王家などの)召使頭,執事
majorette	=drum majorette
majority	〈U〉《集合的に;時にa majority》《単数・複数扱い》『大多数』,『過半数』 / 〈C〉《単数形で》(下位との)得票の差;(…の)票のひらき《+『of』+『名』》 / 〈C〉《単数形で》成年,成人(英米とも21歳) / 〈C〉《単数形で》陸軍(空軍)少佐の位
majority leader	(上下両院それぞれの)与党の院内総務
make	…を『作る』,製造する,建造する / …を『整える』,用意する / …を生じさせる,もたらす,引き起こす / 〈金など〉を得る,もうける,〈財産など〉を作る / 《行為・動作を表す名詞を目的語にして》…を『する』,行う / (ある状態・形態に)…を『する』 / 《『make』+『名』+do》〈人・動物など〉に強制して(…)させる / …を判断する,解釈する,思う / …を構成する,(計算・合計が)…になる / …に『なる』,となる,の資格(素質)がある / 《話》〈ある距離〉を行く,〈ある速さ〉で進む / 〈目的地など〉に到着する,着く / 〈会社・集会など〉に間に合う;《話》〈乗物〉に間に合う / 〈人・企画〉を成功させる,の成功(幸運,出世)を確実にする / 《話》…の一員になる / (ある状態・形態に)なる,ふるまう / (…の方へ)進む,向かう《+『for』(『to, toward』)+『名』 / 《まれ》《副詞[句]の伴って》作られる,できる / 《まれ》《副詞を伴って》〈かさなどが〉増す,〈雪が〉積もる / 作り,型;製造;種類,銘柄 / 性格,気質;体つき
make love	セックスする、性行為をする、性交する、愛の営みをする : 「make love to 誰々」「誰々とセックスをする」:「make love with」の用法は1990年くらいから少しずつ使われるようになりましたが、「make love to」の方が圧倒的に主流です。
make-believe	〈U〉かこつけ,偽り / 〈C〉ふりをする人 / 偽りの,架空の,ふりをした
make-do	=makeshift
