lockout	ロックアウト,工場閉鎖(労働争議を会社が従業員をしめ出すこと)
locksmith	錠前屋
lockstep	密集行進法(前の者との間隔をできるだけつめて進む行進)
lockstitch	(ミシンの)二重縫い
lockup	留置場;《話》刑務所
loco	《俗》 気の狂った.スペイン語「気の狂った」の意 / ロコ草(米国西部・中部産のマメ科ゲンゲ属およびオヤマノエンドウ属の有毒植物数種の総称; 家畜の中毒を引き起こす)
locomotion	移動,運転
locomotive	『機関車』 / 運動の,移動する,移動力のある
locomotor	運動の,移動の, 運動力のあるもの(人)
locoweed	ロコ草(米国産の有毒なマメ科植物で家畜の脳を冒す)
locum	(医師・牧師などの)代行,代理
locus	(法律用語で)場所,位置 / (数学で,点が描く)軌跡
locus classicus	標準的典拠,標準句(ある語の説明などのためによく引用される句)
locus sigilli	(ラテン語)(文書などの)捺印(なついん)箇所
locust	イナゴ,バッタ;《米》セミ / ハリエンジュ,ニセアカシア(堅い木材)
locution	〈U〉話法 / 〈C〉言い回し / 表現 / a formal locution(形式ばった言い回し)
lode	鉱脈
loden	ローデン(オーバーコートなどに用いる厚い防水布地)
lodestar	(航海などの)道しるべの星;(特に)北極星 / 指導原理
lodestone	天然磁石・ 強い魅力・吸引力のあるもの
lodge	(特に狩猟・登山などで用いる)『小屋』,『ロッジ』 / (公園・大きな建物などの入口にある守衛所),門衛所 / (共済組合・秘密結社などの)支部,支部集会所 / アメリカインディアンの小屋 / (動物,特にビーバーの住む)穴 / (一時的に,臨時に)〈人〉を『泊める』 / 〈人〉を『下宿させる』 / (当局などに)〈苦情など〉を正式に申し出る《+『名』+『with』+『名』》 / (…に)〈弾丸など〉を打ち込む《+『名』+『in』+『名』》 / (一時的に,臨時に)『泊まる』 / (…に)『下宿する』,間借りする《+『at』+『名』〈場所〉,『with』+『名』〈人〉》 / (…に)〈弾丸などが〉入ってとどまる,〈矢などが〉突きささる《+『in』+『名』》
lodgement	=lodgment
lodger	下宿人,間借り人
lodging	〈U〉『宿泊』;〈C〉『宿泊所』 / 〈C〉《複数形で》『貸し間』,下宿家
lodging house	下宿屋,間貸し屋
lodgment,lodgement	宿泊(=lodging)・〈C〉沈積物,たまった(詰まった)物 / 〈U〉(担保の)供託,預け入れ;〈C〉預かり物 / 〈U〉(抗議などの)申し入れ / 敵領内に得た小さな領地
loess	(中国・北米などに見られる)黄土(おうど)
loft	屋根裏 / (馬屋の)干し草置き場 / (教会・講堂の)上階 / (クリケット・ゴルフで)〈ボール〉を高く打ち上げる
lofted	(ゴルフ・クリケットで球が)高く打ち上げられた / (ゴルフクラブが)傾斜のついた
loftily	高々と / 高尚に / 高慢に
loftiness	非常に高いこと / 高尚,高潔 / 高慢,尊大
lofty	(山・塔などが)『非常に高い』,そびえ立つ / (思想・目的・感情などが)高尚な,高潔な
log	『丸太』,丸木 / (また『logbook』)航海(航空)日誌 / 測程儀(船の速力を測る器械) / 〈木〉を丸太に切る / 〈土地〉の立ち木を切り倒す / …を航海(航空)日誌に記入する / (船・飛行機で)〈ある距離・時間〉を航行する,飛ぶ / 木材を伐採する / 丸太の
log cabin	丸太小屋
log.	logarithm / logic
loganberry	ローガンベリー(黒イチゴと黄イチゴとの雑種) / ローガンベリーの実(暗黒色で酸味のある大きな実)
logarithm	対数
logarithmic	対数の,対数に関する
logbook	=log{名} / 《英》=registration book
loge	(劇場の)仕切席,特別席
logger	きこり / 丸太運搬機
loggerhead	アカウミガメ(大西洋産) / 《おもに方言》ばか者
loggia	ロジア,涼み廊下(少なくとも一つの側が外に向かって開放されている廊下)
logging	丸太切り出し
logic	『論理学』 / 『論理』,論法 / 《話》いやおうを言わせぬ力,必然性 / 《話》もっともな考え
logical	論理学の / 論理的な / (論理上)必然の,不可避の
logician	論理学者,論法家
logistic, logistical	兵站(へいたん)学の, 後方支援の, 記号論理学の
logistics	兵站(へいたん)学(調達・補給・宿営などの業務に関する兵学)
logjam	(川の一か所に集った)丸太のつかえ / 《おもに米》行き詰まり
logos	《しばしばL-》(哲学)ロゴス(宇宙の法則・理法),悟性,理性 / (神学で)ロゴス(神の言葉);(三位一体の二位としての)キリスト
logotype	商標,会社の意匠
logrolling	(法案通過の取り引きで)相互に賛成票を投じ合うこと / 丸太ころがし,丸太乗り
loid	〈戸〉のばね錠を薄いセルロイド(プラスチック)片で開ける
loin	《複数形で》腰,腰部 / 〈C〉〈U〉腰肉
loincloth	下帯,腰巻き,ふんどし
loiter	《副詞[句]を伴って》(ある場所を立ち去らないで)ぶらぶらしている《+『about』(『around』)》 / のろのろ(ぶらぶら)動く
loiterer	ぶらぶら歩く人,たむろしている人
loll	《副詞句を伴って》ゆったりとくつろいでいる《+『about』(『abound』)》 / 〈舌などが〉だらりとたれる《+『out』》 / 〈舌など〉をだらりとたらす《+『out』+『名』,+『名』+『out』》 / 〈U〉《俗》金 / 〈C〉《話》=lollipop
lollipop man	《英》学童交通整理員
lollipop, lollypop	ラリポップ(キャンデーを棒の先につけた菓子), ロリポップ
lollop	ぶらぶら(よたよた)歩く
lone	《名詞の前にのみ用いて》 / (人が)『孤独の』,ひとりの / (物が)孤立した / ただ一つの
loneliness	寂しさ;孤独
lonely	(人が)『ひとりの』,孤独の / 『寂しい』,心細い / (物が)孤立した;場所が人里離れた,人があまり行かない
lonesome	『寂しい』,心細い / 『人里離れた』
long	(距離・物の長さが)『長い』 / (時間が)『長い』,長く続く / 《時間・距離などを表す語を伴って》長さが…の / 『長々しい』,あきあきする / (数量が標準よりも)『多い』,長い / (人が)やせてひょろ長い / 長く,長い間,久しく / …じゅう / ずっと(前に,後に) / 長い間 / 『熱望する』
long distance	長距離電話 / 長距離電話の交換局(交換手), 長距離
long division	長除法(割り算の方法の一つ)
long dozen	13,13個
long drink	(ビールなどを)長々と飲むこと / アルコール分の軽い酒類
long face	不きげんな顔,浮かぬ顔つき
long forgotten	とっくに忘れられた
long haul	《単数形で》長丁場,長距離旅行
long johns	(手首・足首まである)長い下着
long jump	=broad jump
long measure	尺度法
long odds	見込みのうすいこと
long play	LP[盤],長時間演奏レコード
long run	(映画・演劇の)長期興行
long ship	(中世にバイキングが用いた)長船
long shot	(映画で)遠写,ロングショット / 成功すれば大きい大胆な企て / (競馬などで)勝ち目のなさそうな選手
long suit	(カードゲームで)同じ印の札の多い持ち札 / 長所
long ton	英トン(2,240ボンド;1,016.047キログラム)
long vacation	(大学の)夏期休暇
long wave	長波
long-ago	昔の
long-distance	長距離の / 《米》長距離電話の / 長距離電話で
long-distance call	長距離電話(《英》trunk call)
long-drawn	長く引いた,長たらしい
long-eared	耳の長い / 《古》愚鈍な
long-lived	長命の;永続する
long-playing	(レコードが)長時間演奏の
long-range	長距離に達する, 遠大な, 長期の
long-sighted	=far-sighed
long-term	長期の,長い目で見ての
long.	longitude
longboat	長艇
longbow	大弓,長弓
longevity	長生き,長寿
