lice	louseの複数形
lifesaver	(特に,水難の)人命救助者 / 《話》危機から救ってくれる物(人) / 輪形救命具
lifestyle	生き方,生きざま
lifetime	『生涯』,一生 / 一生の,終生の
lifework	一生をかけた仕事,ライフワーク
lift	(上の位置まで)…を『持ち上げる』,引き上げる《+『up』+『名,』+『名』+『up』》 / …を『上に向ける』《+『up』+『名,』+『名』+『up』》 / (上の程度・段階まで)…を『高める』,上げる《+『up』+『名』,+『名』+『up』》 / 〈禁止令・税金など〉を撤廃する;〈封鎖・妨害など〉を解除する / 《話》(…から)…を失敬する《+『名』+『from』+『名』》 / 〈雲・霧などが〉晴れる / 『持ち上げる』(『持ち上がる』)『こと』 / (物が)持ち上げられる距離(高さ);持ち上げる重量(分量) / (自動車などに)『乗せること』 / 《通例単数形で》手助け,援助 / 《話》《a~》精神の高揚,感情の高まり / 《英》=elevator / (特にスキーヤーを運ぶ)リフト;起重機 / (飛行機の翼にかかる)揚力 / (靴の)かかとの皮[の1枚]
liftboy	エレベーターボーイ
liftman	=liftboy
liftoff	(ロケット・ミサイルなどの)打ち上げ,離昇
ligament	靱帯(じんたい)(骨と骨を結びつてけ関節の動きを調節する)
ligate	〈動脈など〉を結紮(けっさつ)する, くくる, 縛る
ligature	ひも,縛る糸,(特に手術の)縫合糸 / (音符の)連結線 / (活字の)連字,合字,抱き字
liger	ライガー(雄のライオンと雌のトラの間に生まれた子)
light	〈U〉『光,光線』;明るさ / 〈U〉夜明け;日中;日光 / 〈C〉『明かり』(太陽・灯火など光を出すもの) / 〈U〉《時にa~》光輝(brightness),(目などの)輝き / 〈C〉(点火するための)火,火花 / 〈C〉明かり採り,採光窓 / 〈C〉《通例単数形で》(絵などの)明るい部分 / 〈U〉(…についての)知識,情報,理解《+『on』+『名』》 / 〈C〉(ものを見る)観点,見地;相 / 〈C〉この世に光を与える人;指導的な人物 / …に『火をつける』《+『up』+『名』+『名』+『up』》 / …に『明かりをつける』,を照らす《+『up』+『名,』+『名』+『up』》 / 〈人〉を明かりをつけて案内する / 〈表情など〉を明るくする《+『up』+『名,』+『名』+『up』》 / 〈物が〉火がつく,点火する;明かりがつく《+『up』》 / 明るくなる,晴れ晴れする《+『up』》 / 『明るい』 / (色が)『薄い』 / (重量が)『軽い』 / (いろいろな事について,その程度・量が)軽い,小さい / 『軽快な』 / 軽装の / 肩のこらない;気軽な / 手軽な,骨の折れなし / (食べ物が)消化のよい,もたれない / ふらふらする,目まいのする / アルコール分の少ない / (パンなどが)ふんわりした / (重量が)軽く / (程度が)軽く,容易に;軽装で / (車・馬などから)降りる《+『from』+『名』》(alight) / (木などに)〈鳥などが〉止まる《+『on』(『upon』)+『名』》 / (…に)〈打撃・運などが〉突然ふりかかる《+『on』(『upon』)+『名』》
light adaptation	明順応(明るさに目が慣れる反応)
light aircraft	軽飛行機
light ale	弱ビール
light bulb	[白熱]電球
light heavyweight	(ボクシングの)ライトヘビー級選手(160‐175ポンド(72.5‐79.5kg)級)
light meter	=exposure meter
light opera	軽歌劇,オペレッタ
light-fingered	盗み癖のある / すぐ物を盗む / 手先の器用な(古風で冗談めいた用法)
light-footed	足取り軽い,足の速い;敏しょうな
light-minded	軽率な,浮薄な
light-year	光年(光が1年に進む距離)
lighten	…を『明るくする』,照らす / 〈顔・目など〉を輝かせる / 『明るくなる』 / 〈表情が〉明るくなる,晴れやかになる / 《itを主語にして》いなびかりがする / 〈…の重さ・程度〉を『軽くする』 / 〈人の気持ち〉を軽くする / 〈…の重さ・程度が〉軽くなる / 〈気持ちが〉軽くなる
lighter	(また『cigarette lighter』)(たばこの)ライター / (一般に)点火器 / 火(明かり)をつける人 / はしけ / …をはしけで運ぶ
lighterage	はしけ料金
lightface	肉細活字・ライトフェース
lightheaded	(病気・酔いなどで頭が)ふらふらする / 軽率な,思慮のない
lighthearted	気軽な,気楽な
lighthouse	灯台
lighting	照明,点火 / 照明方法(装置)
lightly	(重さ・力について)『軽く』;そっと / (程度については)『少しばかり』,わずかに / 『軽快に』;軽やかに / 軽率に,軽々しく / 陽気に,快活に
lightness	明るいこと,明るさ / (色の)薄いこと / 軽いこと / 手ぎわのよいこと,敏活,敏速 / 軽率
lightning	『いなずま』,雷光 / いなずまのような,す早い
lightning bug	=firefly
lightning conductor	=lightning rod
lightning rod	避雷針
lightning strike	〈C〉落雷 / 〈C〉予告なしの短時間ストライキ(= 突発的な労働争議)
lights	(羊・豚などの)肺臓
lights-out	消灯時間
lightship	灯台船
lightshow	ライトショー(エレキバンドの伴奏によるライトを使った光のショー)
lightsome	軽快な;快活な,陽気な;上品な,優美な
lightweight	ボクシングの)ライト級の選手(130‐135ポンド(59‐61kg)級) / 標準重量以下の人 / (ボクサーがライト級の / 重量の軽い
